,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22725,AKM 204,Akışkanlar Mekaniği,Physical (Face to face),Necati Erdem Ünal,INB,Wednesday,09:30/12:29,A104,60,62,-,INS_LS,Detail,-
1,22726,AKM 204,Akışkanlar Mekaniği,Physical (Face to face),Hafzüllah Aksoy,INB,Wednesday,09:30/12:29,B104,60,61,-,INS_LS,Detail,-
2,24269,AKM 204,Akışkanlar Mekaniği,Physical (Face to face),Şakir Bal,MEDC,Tuesday,08:30/11:29,1D7,40,20,-,GEM_LS,Detail,-
3,24271,AKM 204,Akışkanlar Mekaniği,Physical (Face to face),Ali Can Takinacı,MEDC,Tuesday,08:30/11:29,2D13,45,48,-,GEM_LS,Detail,-
4,22731,AKM 204E,Fluid Mechanics,Physical (Face to face),Abdüsselam Altunkaynak,INB,Monday,09:30/12:29,A105,60,73,-,"INS_LS, INSE_LS, NAE_LS",Detail,-
5,22734,AKM 204E,Fluid Mechanics,Physical (Face to face),Mehmet Özger,INB,Thursday,09:30/12:29,B103,60,80,-,"INS_LS, INSE_LS, NAE_LS",Detail,-
6,23241,AKM 204E,Fluid Mechanics,Physical (Face to face),Zerefşan Kaymaz,MEDC,Wednesday,08:30/11:29,ZA4,85,82,-,"IBM_LS, MTO_LS, MTOE_LS",Detail,-
7,24340,AKM 204E,Fluid Mechanics,Physical (Face to face),Murat Çakan,MKB,Thursday,14:30/17:29,D376,60,92,-,"TEK_LS, TEKE_LS",Detail,-
8,24857,AKM 204E,Fluid Mechanics,Physical (Face to face),Melek Ertogan,DZB DZB,Thursday Thursday,08:30/10:29 18:30/19:29,-- --,60,65,-,"MEN_LS, MTM_LS",Detail,-
9,24988,AKM 204E,Fluid Mechanics,Physical (Face to face),Veysel Şadan Özgür Kırca,MDB,Friday,08:30/11:29,A103,80,49,-,"PET_LS, PETE_LS",Detail,-
10,24104,AKM 205,Akışkanlar Mekaniği,Physical (Face to face),Şafak Nur Ertürk Bozkurtoğlu,MEDC MEDC,Tuesday Wednesday,14:30/17:29 09:30/11:29,ZA2 2D18,100,82,-,DEN_LS,Detail,-
11,22983,AKM 219,Akışkanlar Mekaniği,Physical (Face to face),Nuriye Leman Okşan Çetiner Yıldırım,MEDC,Tuesday,08:30/11:29,1D6,50,40,-,UCK_LS,Detail,-
12,22986,AKM 219E,Fluid Mechanics,Physical (Face to face),Fırat Oğuz Edis,MEDC,Tuesday,08:30/11:29,ZA1,50,74,-,"UZB_LS, UZBE_LS",Detail,-
13,22987,AKM 219E,Fluid Mechanics,Physical (Face to face),Ayşe Gül Güngör,MEDC,Tuesday,08:30/11:29,ZD1,50,72,-,"UZB_LS, UZBE_LS",Detail,-
