,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23719,BBF 103E,Discrete Mathematics,Physical (Face to face),Şule Öğüdücü,BBB,Wednesday,08:30/11:29,Z-18,96,90,EHB_LS/2/0 | EHBE_LS/2/0 | KOM_LS/2/0 | KOME_LS/2/0 | Diğer/88/90,"BLG_LS, BLGE_LS, EHB_LS, EHBE_LS, KOM_LS, KOME_LS, SECE_LS, YZVE_LS",-,-
1,23721,BBF 103E,Discrete Mathematics,Physical (Face to face),Mehmet Akif Yazıcı,BBB,Wednesday,12:30/15:29,Z-18,103,139,EHB_LS/2/0 | EHBE_LS/2/1 | KOME_LS/2/1 | KOM_LS/2/1 | Diğer/95/136,"BLG_LS, BLGE_LS, EHB_LS, EHBE_LS, KOM_LS, KOME_LS, SECE_LS, YZVE_LS",-,-
2,23722,BBF 103E,Discrete Mathematics,Physical (Face to face),Tuğçe Bilen,BBB,Wednesday,08:30/11:29,Z-16,96,89,EHB_LS/2/1 | EHBE_LS/2/2 | KOM_LS/2/0 | KOME_LS/2/0 | Diğer/88/86,"BLG_LS, BLGE_LS, EHB_LS, EHBE_LS, KOM_LS, KOME_LS, SECE_LS, YZVE_LS",-,-
3,23980,BBF 201E,Probability and Statistics,Physical (Face to face),"Behçet Uğur Töreyin , Ahmet Hamdi Kayran",BBB BBB,Wednesday Friday,08:30/10:29 14:00/15:59,104 Z-19,70,64,-,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",-,-
4,23724,BBF 202E,Numerical Methods in Computer Engineering,Physical (Face to face),Yusuf Yaslan,BBB,Tuesday,09:30/12:29,Z-18,90,92,-,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",Detail,-
5,23725,BBF 202E,Numerical Methods in Computer Engineering,Physical (Face to face),Behçet Uğur Töreyin,BBB,Tuesday,09:30/12:29,Z-19,90,90,-,"BLGE_LS, CES_LS, SECE_LS, YZVE_LS",Detail,-
6,25080,BBF 202E,Numerical Methods in Computer Engineering,Physical (Face to face),Muhammet Alkan,BBB,Tuesday,09:30/12:29,102,80,32,-,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",Detail,-
7,23740,BBF 203E,Object Oriented Programming,Physical (Face to face),Cihan Topal,BBB,Monday,09:30/12:29,Z-17,80,80,-,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",Detail,-
8,23742,BBF 203E,Object Oriented Programming,Physical (Face to face),Feza Buzluca,BBB,Monday,09:30/12:29,Z-19,80,81,-,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",Detail,-
9,23743,BBF 203E,Object Oriented Programming,Physical (Face to face),Sanem Kabadayı,BBB,Monday,09:30/12:29,Z-20,100,53,EHB_LS/10/3 | EHBE_LS/10/1 | KOME_LS/10/0 | KOM_LS/10/0 | Diğer/60/49,"BLG_LS, BLGE_LS, EHB_LS, EHBE_LS, KOM_LS, KOME_LS, SECE_LS, YZVE_LS",Detail,-
10,23744,BBF 204E,Formal Languages and Automata,Physical (Face to face),Tolga Ovatman,BBB,Friday,09:30/12:29,Z-17,82,92,-,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",Detail,-
11,23747,BBF 204E,Formal Languages and Automata,Physical (Face to face),Gökhan Seçinti,BBB,Friday,09:30/12:29,Z-19,82,82,-,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",Detail,-
12,23749,BBF 204E,Formal Languages and Automata,Physical (Face to face),Mehmet Tahir Sandıkkaya,BBB,Friday,09:30/12:29,Z-18,84,99,-,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",Detail,-
13,23890,BBF 304E,Learning From Data,Physical (Face to face),Berna Kiraz,BBB,Thursday,09:30/12:29,Z-20,70,60,-,YZVE_LS,Detail,-
