,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21497,CAB 106,Tar II,Physical (Face to face),Ahmet Serhat Turunç,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
1,21498,CAB 108,Bağlama II,Physical (Face to face),Ali Kazım Akdağ,-,-,-/-,-,5,2,-,"CAB_LS, CEB_LS",Detail,-
2,21190,CAB 1102,Keman II,Physical (Face to face),Ahmet Hakan Şensoy,TMB,Monday,13:30/15:29,--,5,4,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",Detail,-
3,21193,CAB 1102,Keman II,Physical (Face to face),Pınar Tezişçi Özmenay,MSB,Monday,13:30/15:29,B02,5,1,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",Detail,-
4,21499,CAB 114,Ney II,Physical (Face to face),Ali Tüfekçi,-,-,-/-,-,5,2,-,"CAB_LS, CEB_LS",Detail,-
5,21500,CAB 126,Kudüm II,Physical (Face to face),Erkan Kanat,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
6,21501,CAB 128,3 Telli Kemençe II,Physical (Face to face),Hatice Doğan Sevinç,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
7,21503,CAB 130,4 Telli Kemençe II,Physical (Face to face),Lale Akay,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
8,21507,CAB 134,Viyolonsel II,Physical (Face to face),Cenk Öztürk,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
9,25069,CAB 134,Viyolonsel II,Physical (Face to face),Yelda Özgen Öztürk,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
10,21511,CAB 142,Piyano II,Physical (Face to face),Devlet Devrim Öztaş,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
11,21582,CAB 144,Yrd.Çalgı Piyano II,Physical (Face to face),Devlet Devrim Öztaş,TMB,Tuesday,15:30/17:29,--,20,19,-,"BST_LS, CAB_LS, CEB_LS, KMP_LS",-,-
12,21512,CAB 146,Kanun II,Physical (Face to face),Safinaz Rizeli,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
13,21194,CAB 152,Kanun II,Physical (Face to face),Serkan Mesut Halili,TMB,Monday,13:30/15:29,--,5,3,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
14,21196,CAB 152,Kanun II,Physical (Face to face),Safinaz Rizeli,TMB,Monday,13:30/15:29,--,5,3,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
15,21198,CAB 154,Tanbur II,Physical (Face to face),Göknil Bişak Özdemir,TMB,Monday,13:30/15:29,--,5,3,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
16,21201,CAB 158,Bağlama II,Physical (Face to face),Engin Şafak Gürler,TMB,Monday,13:30/15:29,--,6,6,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
17,21212,CAB 158,Bağlama II,Physical (Face to face),Metin Eke,TMB,Monday,13:30/15:29,--,5,4,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
18,21216,CAB 158,Bağlama II,Physical (Face to face),Adnan Koç,TMB,Monday,13:30/15:29,--,5,5,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
19,21220,CAB 158,Bağlama II,Physical (Face to face),Cihangir Terzi,TMB,Monday,13:30/15:29,--,6,6,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
20,21225,CAB 160,Ud II,Physical (Face to face),Sarper Eroğlu,TMB,Monday,13:30/15:29,--,5,5,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
21,21229,CAB 160,Ud II,Physical (Face to face),Buse Sever,TMB,Monday,13:30/15:29,--,5,3,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
22,21234,CAB 162,Ney II,Physical (Face to face),İdris Melih Berse,TMB,Monday,13:30/15:29,--,5,2,-,"MTR_LS, MUZ_LS",Detail,-
23,21236,CAB 166,Kaval II,Physical (Face to face),Cihan Yurtcu,TMB,Monday,13:30/15:29,--,5,1,-,"MTR_LS, MUZ_LS, THO_LS",Detail,-
24,21241,CAB 168,Klarnet II,Physical (Face to face),Özlem Kolat Çakmaksoy,TMB,Monday,13:30/15:29,--,5,3,-,"MTR_LS, MUZ_LS, THO_LS",Detail,-
25,21247,CAB 170,3 Telli Kemençe II,Physical (Face to face),Neva Özgen Kösoğlu,TMB,Monday,13:30/15:29,--,5,2,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",Detail,-
26,25316,CAB 172,4 Telli Kemençe II,Physical (Face to face),Lale Akay,TMB,Monday,13:30/15:29,--,5,1,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",Detail,-
27,21158,CAB 178,Piyano II,Physical (Face to face),Sıtkı Kandemir Basmacıoğlu,TMB,Wednesday,08:30/10:29,--,20,10,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
28,21162,CAB 178,Piyano II,Physical (Face to face),Alper Rumelioğlu,TMB,Friday,08:30/10:29,--,20,20,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
29,21165,CAB 178,Piyano II,Physical (Face to face),Alper Rumelioğlu,TMB,Monday,08:30/10:29,--,21,21,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
30,21167,CAB 178,Piyano II,Physical (Face to face),"Sıtkı Kandemir Basmacıoğlu , Sedef Durmak",TMB,Tuesday,15:30/17:29,--,16,16,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
31,21171,CAB 178,Piyano II,Physical (Face to face),Sıtkı Kandemir Basmacıoğlu,TMB,Friday,16:00/17:59,--,20,19,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
32,25070,CAB 180,Asmalı Davul II,Physical (Face to face),Eyüp Uzunkaya,TMB,Monday,13:30/15:29,--,5,1,-,THO_LS,Detail,-
33,21251,CAB 182,Kudüm II,Physical (Face to face),Erkan Kanat,TMB,Monday,13:30/15:29,--,5,1,-,"MTR_LS, MUZ_LS",Detail,-
34,21254,CAB 188,Gitar II,Physical (Face to face),Tufan Kurdoğlu,TMB,Monday,13:30/15:29,--,6,6,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",Detail,-
35,21256,CAB 188,Gitar II,Physical (Face to face),Tolgahan Çoğulu,TMB,Monday,13:30/15:29,--,6,6,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",Detail,-
36,21183,CAB 190,Çalgılama II,Physical (Face to face),"Barış Kerem Bahar , Yelda Özgen Öztürk , Cem Önertürk , Serkan Mesut Halili",TMB,Wednesday,08:30/10:29,--,10,3,-,"BST_LS, KMP_LS",-,-
37,21432,CAB 196,Viyolonsel II,Physical (Face to face),Cenk Öztürk,TMB,Monday,13:30/15:29,--,5,5,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",Detail,-
38,21434,CAB 2102,Keman IV,Physical (Face to face),Ahmet Hakan Şensoy,TMB,Monday,15:30/17:29,--,5,1,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",Detail,-
39,21517,CAB 214,Ney IV,Physical (Face to face),Burak Malçok,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
40,21520,CAB 216,Mey IV,Physical (Face to face),Cem Ekmen,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
41,21535,CAB 228,3 Telli Kemençe IV,Physical (Face to face),Neva Özgen Kösoğlu,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
42,21538,CAB 232,Keman IV,Physical (Face to face),Ibragım Orazov,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
43,21540,CAB 236,Viyola IV,Physical (Face to face),Barış Kerem Bahar,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
44,21541,CAB 240,Kemane IV,Physical (Face to face),Kadir Verim,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
45,21581,CAB 244,Yrd.Çalgı Piyano IV,Physical (Face to face),Sıtkı Kandemir Basmacıoğlu,TMB,Friday,10:30/12:29,--,20,9,-,"BST_LS, CAB_LS, CEB_LS, KMP_LS",-,-
46,21543,CAB 246,Kanun IV,Physical (Face to face),Ayşegül Kostak Toksoy,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
47,21544,CAB 248,Tanbur IV,Physical (Face to face),Bedriye Gamze Ege Yıldız,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
48,21436,CAB 252,Kanun IV,Physical (Face to face),Serkan Mesut Halili,TMB,Monday,15:30/17:29,--,7,3,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
49,25639,CAB 253,Tanbur III,Ek Sınav,Göknil Bişak Özdemir,-,-,-/-,-,0,1,-,-,Detail,-
50,25638,CAB 254,Tanbur IV,Ek Sınav,Göknil Bişak Özdemir,-,-,-/-,-,0,1,-,-,Detail,-
51,21437,CAB 258,Bağlama IV,Physical (Face to face),Engin Şafak Gürler,TMB,Monday,15:30/17:29,--,5,5,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
52,21438,CAB 258,Bağlama IV,Physical (Face to face),Metin Eke,TMB,Monday,15:30/17:29,--,5,5,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
53,21440,CAB 258,Bağlama IV,Physical (Face to face),Adnan Koç,TMB,Monday,15:30/17:29,--,5,1,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
54,21442,CAB 258,Bağlama IV,Physical (Face to face),Cihangir Terzi,TMB,Monday,15:30/17:29,--,5,4,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
55,21443,CAB 260,Ud IV,Physical (Face to face),Buse Sever,TMB,Monday,15:30/17:29,--,7,6,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
