,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25052,CEV 104,Yer Bilimi,Physical (Face to face),Şaziye Özge Dinç Göğüş,INB,Monday,08:30/10:29,B104,80,78,-,CEV_LS,-,-
1,25053,CEV 104E,Earth Science,Physical (Face to face),Şule Gürboğa,INB,Thursday,11:30/13:29,B104,70,40,-,"CEV_LS, CEVE_LS",-,-
2,20896,CEV 202E,Enviromental Chemistry II,Physical (Face to face),Kübra Altuntaş,INB,Tuesday,08:30/11:29,B303,20,7,-,"CEV_LS, CEVE_LS",Detail,-
3,20897,CEV 202EL,Enviromental Chemistry II Lab.,Physical (Face to face),Gökşin Özyıldız,INB,Friday,14:00/15:59,--,20,3,-,"CEV_LS, CEVE_LS",Detail,-
4,25650,CEV 205,Çevre Ekolojisi,Ek Sınav,"Naciye Esra Ateş Genceli , Fatma Gülen İskender",-,-,-/-,-,0,1,-,-,-,-
5,20898,CEV 212,Çevre Kimyası II,Physical (Face to face),"Ayşe Yüksekdağ , Derya Yüksel İmer",INB INB,Tuesday Wednesday,10:30/12:29 10:30/12:29,A103 A103,35,36,-,CEV_LS,Detail,-
6,20899,CEV 212,Çevre Kimyası II,Physical (Face to face),"Nuray Işık Kabdaşlı , Serdar Doğruel",INB INB,Tuesday Thursday,10:30/12:29 13:30/15:29,B306 A104,35,27,-,CEV_LS,Detail,-
7,20900,CEV 212E,Enviromental Chemistry II,Physical (Face to face),"İdil Arslan Alaton , Elif Pehlivanoğlu",INB INB,Monday Tuesday,08:30/10:29 11:30/13:29,A101 A101,35,32,-,"CEV_LS, CEVE_LS",Detail,-
8,20901,CEV 212E,Enviromental Chemistry II,Physical (Face to face),"Tuğba Ölmez Hancı , Serdar Doğruel",INB INB,Monday Friday,08:30/10:29 14:00/15:59,A103 B305,35,33,-,"CEV_LS, CEVE_LS",Detail,-
9,25562,CEV 214,Çevre Ekolojisi,Ek Sınav,"Naciye Esra Ateş Genceli , Fatma Gülen İskender",-,-,-/-,-,0,0,-,-,-,-
10,22316,CEV 216,Çevre Müh. Bilg. Uyg.,Physical (Face to face),"Alpaslan Ekdal , Onur Yılmaz Özcan",INB,Friday,08:30/12:29,D101,60,36,-,CEV_LS,Detail,-
11,22320,CEV 216E,Comp. App. in Environment.Eng.,Physical (Face to face),"Hazal Gülhan Eksin , Onur Yılmaz Özcan",INB,Monday,13:30/17:29,D101,39,39,-,"CEV_LS, CEVE_LS",Detail,-
12,22322,CEV 216E,Comp. App. in Environment.Eng.,Physical (Face to face),"Meltem Ağtaş , Mehmet Sadık Akca",INB,Monday,13:30/17:29,D103,60,55,-,"CEV_LS, CEVE_LS",Detail,-
13,25243,CEV 234E,Soil Mechanics,Physical (Face to face),Merve Akbaş,INB,Thursday,11:30/13:29,A103,45,45,-,"CEV_LS, CEVE_LS",-,-
14,25563,CEV 242,Çevre Müh. İçin Hidroloji,Ek Sınav,Çiğdem Gömeç,-,-,-/-,-,0,1,-,-,Detail,-
15,25602,CEV 242E,Hydrlgy.for Environmental Eng.,Ek Sınav,Alpaslan Ekdal,-,-,-/-,-,0,1,-,-,Detail,-
16,24323,CEV 243E,Environmental Chemistry,Physical (Face to face),Hüseyin Cem Kılıçlar,MKB,Tuesday,13:30/16:29,D368B,40,33,-,"TEK_LS, TEKE_LS",-,-
17,22342,CEV 246E,Marine and Lake Sciences,Physical (Face to face),"Melike Gürel , Elif Pehlivanoğlu",INB,Thursday,13:30/15:29,B306,35,22,-,"CEV_LS, CEVE_LS, OSN_YD",-,-
