,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25530,DAN 101,Akademik Danışmanlık,Ek Sınav,Elif Karaosmanoğlu,-,-,-/-,-,0,1,-,-,-,-
1,21817,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Kamil Karaçuha,EEB,Wednesday,15:30/17:29,--,500,151,-,"EHB_LS, EHBE_LS",-,-
2,21818,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Suat İlhan,EEB,Wednesday,15:30/17:29,--,500,136,-,"ELK_LS, ELKE_LS",-,-
3,21822,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Müjde Güzelkaya,EEB,Wednesday,15:30/17:29,--,500,92,-,"KOM_LS, KOME_LS",-,-
4,22319,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Emre Avunduk,MDB,Wednesday,15:30/17:29,A204,120,51,-,MAD_LS,-,-
5,22321,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Himmet Karaman,INB,Wednesday,15:30/17:29,--,200,118,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
6,22370,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),"Faiz Muhaffel , Murat Baydoğan",KMB,Wednesday,15:30/17:29,D301,150,118,-,"MET_LS, METE_LS",-,-
7,22417,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Zeynep Döner,MDB,Wednesday,15:30/17:29,A302,100,46,-,JEO_LS,-,-
8,22515,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Osman Atilla Arıkan,INB,Wednesday,15:30/17:29,--,300,108,-,"CEV_LS, CEVE_LS",-,-
9,22787,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Ömer İnanç Türeyen,MDB,Wednesday,15:30/17:29,A102,80,50,-,"PET_LS, PETE_LS",-,-
10,22817,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Ümit Avşar,MDB,Wednesday,15:30/17:29,A105,50,32,-,JEF_LS,-,-
11,22988,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Nuriye Leman Okşan Çetiner Yıldırım,MEDC,Wednesday,15:30/17:29,ZA1,300,147,-,"UCK_LS, UZBE_LS",-,-
12,23044,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Kudret Tahsin Perek,MDB,Wednesday,15:30/17:29,A103,200,40,-,CHZ_LS,-,-
13,23065,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Deniz Şahin,FEB,Wednesday,15:30/17:29,--,150,56,-,"BIO_LS, BIOE_LS",-,-
14,23167,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Fatma Elif Genceli Güner,KMB,Wednesday,15:30/17:29,D201,300,82,-,KMM_LS,-,-
15,23248,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),"Hüseyin Toros , Barış Çaldağ",MEDC,Wednesday,15:30/17:29,ZD1,75,65,-,"IBM_LS, MTO_LS",-,-
16,23256,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Celale Kırkın Gözükırmızı,KMB,Wednesday,15:30/17:29,D304,140,52,-,GID_LS,-,-
17,23274,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Berna Morova,FEB,Wednesday,15:30/17:29,--,60,60,-,"FIZ_LS, FIZE_LS",-,-
18,23411,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Sinan Çakır,DZB,Wednesday,15:30/17:29,--,80,59,-,GMI_LS,-,-
19,23481,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),İzzet Göksel,FEB,Wednesday,15:30/17:29,D204,160,88,-,MAT_LS,-,-
20,23549,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),İbrahim Özçeşmeci,FEB,Wednesday,15:30/17:29,--,150,93,-,"KIM_LS, KIME_LS",-,-
21,23663,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Elif Bal Beşikçi,DZB,Wednesday,15:30/17:29,--,60,53,-,DUI_LS,-,-
22,23665,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Zehra Atik,MSB,Wednesday,15:30/17:29,--,80,38,-,ECNE_LS,-,-
23,23760,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Ayşe Elvan Bayraktaroğlu,MSB,Wednesday,15:30/17:29,--,500,198,-,"END_LS, ENDE_LS",-,-
24,23913,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Gökhan Seçinti,BBB,Wednesday,15:30/17:29,KON1,200,191,-,"BLG_LS, BLGE_LS, SECE_LS",-,-
25,23953,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Ömer Faruk Beyca,BPB,Wednesday,15:30/17:29,--,30,26,-,IEBE_LS,-,-
26,23971,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Mehmet Ali Ergün,MSB,Wednesday,15:30/17:29,--,40,40,-,VBAE_LS,-,-
27,23995,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Gözde Ünal,BBB,Wednesday,15:30/17:29,KON1,70,61,-,YZVE_LS,-,-
28,24078,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Ömer Kemal Kınacı,MEDC,Wednesday,15:30/17:29,1D10,132,92,-,DEN_LS,-,-
29,24093,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),"Elif Karaosmanoğlu , Kaya Tokmakçıoğlu",ISB,Wednesday,15:30/17:29,--,150,84,-,"ISL_LS, ISLE_LS",-,-
30,24261,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Selma Ergin,MEDC,Wednesday,15:30/17:29,3D20,85,80,-,GEM_LS,-,-
