,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23210,DFH 112,Denizde Güvenlik II,Physical (Face to face),"Hakan Çap , İsmail Kandemir",DZB,Monday,08:30/11:29,--,60,12,-,"DUI_LS, GMI_LS",-,-
1,23257,DFH 112,Denizde Güvenlik II,Physical (Face to face),Sinan Çakır,DZB,Monday,11:30/14:29,--,60,59,-,"DUI_LS, GMI_LS",-,-
2,23657,DFH 112,Denizde Güvenlik II,Physical (Face to face),"Hakan Çap , İsmail Kandemir",DZB,Monday,14:30/17:29,--,60,39,-,"DUI_LS, GMI_LS",-,-
3,24804,DFH 112E,Maritime Safety II,Physical (Face to face),Hakan Çap,DZB,Friday,08:30/11:29,--,35,35,-,"MEN_LS, MTM_LS",-,-
4,24805,DFH 112E,Maritime Safety II,Physical (Face to face),Yusuf Nejat Koçar,DZB,Friday,14:00/16:59,--,35,14,-,"MEN_LS, MTM_LS",-,-
5,23659,DFH 172E,Maritime English I,Physical (Face to face),Seda Çınar Alabay,DZB,Friday,08:30/10:29,--,25,4,-,DUI_LS,-,-
6,23661,DFH 172E,Maritime English I,Physical (Face to face),Seda Çınar Alabay,DZB,Friday,10:30/12:29,--,25,9,-,DUI_LS,-,-
7,23662,DFH 172E,Maritime English I,Physical (Face to face),Seda Çınar Alabay,DZB,Tuesday,13:30/15:29,--,36,31,-,DUI_LS,-,-
8,24806,DFH 172E,Maritime English I,Physical (Face to face),Seda Çınar Alabay,DZB,Tuesday,08:30/10:29,--,60,22,-,"MMD_LS, MTM_LS",-,-
9,25397,DFH 172E,Maritime English I,Physical (Face to face),Seda Çınar Alabay,DZB,Monday,14:30/16:29,--,25,14,-,DUI_LS,-,-
10,23666,DFH 184,Denizcilik Gelenekleri,Physical (Face to face),Gizem Çevik,DZB,Monday,11:30/14:29,--,30,21,-,DUI_LS,-,-
11,24807,DFH 186E,Shipping Applications,Physical (Face to face),Orhan Gönel,DZB,Thursday,12:30/15:29,--,60,13,-,MTM_LS,-,-
12,23726,DFH 202,Gemilerde Acil Durum. Müdahale,Physical (Face to face),Orhan Gönel,DZB,Tuesday,10:30/12:29,--,30,17,-,DUI_LS,-,Detail
13,23736,DFH 202,Gemilerde Acil Durum. Müdahale,Physical (Face to face),Ahmet Lutfi Tunçel,DZB,Tuesday,13:30/15:29,--,40,41,-,DUI_LS,-,Detail
14,25279,DFH 202,Gemilerde Acil Durum. Müdahale,Physical (Face to face),Ahmet Lutfi Tunçel,DZB,Tuesday,10:30/12:29,--,30,10,-,DUI_LS,-,Detail
15,24849,DFH 202E,Ship Emergency Response,Physical (Face to face),Orhan Gönel,DZB,Thursday,16:30/18:29,--,60,41,-,"MEN_LS, MTM_LS",-,Detail
16,24890,DFH 203,Temel Yüzme Becerisi,Physical (Face to face),Hakan Çap,DZB,Wednesday,08:30/10:29,--,25,7,-,"DUI_LS, GMI_LS",-,-
17,24891,DFH 203,Temel Yüzme Becerisi,Physical (Face to face),Hakan Çap,DZB,Wednesday,13:30/15:29,--,25,10,-,"DUI_LS, GMI_LS",-,-
18,24888,DFH 212,Denizcilikte İnsan Kaynak.Yön.,Physical (Face to face),Hakan Çap,DZB,Tuesday,11:30/13:29,--,15,9,-,DUI_LS,-,-
19,23669,DFH 225,Türk Denizcilik Tarihi&Kültürü,Physical (Face to face),Muhsin Kadıoğlu,DZB,Thursday,11:30/13:29,--,20,2,-,DUI_LS,-,-
20,24935,DFH 226E,Economic Geography,Physical (Face to face),Muhsin Kadıoğlu,DZB,Thursday,08:30/11:29,--,30,24,-,MMD_LS,-,-
21,23838,DFH 228,Denizcilik Psikolojisi,Physical (Face to face),Leyla Tavacıoğlu,DZB,Wednesday,08:30/11:29,--,25,23,-,"DUI_LS, GMI_LS",-,-
22,24850,DFH 232E,Business Logistics,Physical (Face to face),Banu Evrim Taşyar,DZB,Wednesday,11:30/13:29,--,60,44,-,MTM_LS,-,-
23,23681,DFH 254E,Maritime Conventions,Physical (Face to face),Gizem Kayişoğlu,DZB,Thursday,09:30/11:29,--,40,31,-,DUI_LS,-,-
24,23685,DFH 254E,Maritime Conventions,Physical (Face to face),Gizem Kayişoğlu,DZB,Thursday,15:30/17:29,--,40,36,-,DUI_LS,-,-
25,24845,DFH 254E,Maritime Conventions,Physical (Face to face),Fırat Bolat,DZB,Thursday,14:30/16:29,--,60,44,-,"MEN_LS, MTM_LS",-,-
26,23701,DFH 278E,Maritime Economics,Physical (Face to face),Levent Kırval,DZB,Wednesday,09:30/11:29,--,30,12,-,DUI_LS,-,-
27,23704,DFH 278E,Maritime Economics,Physical (Face to face),Levent Kırval,DZB,Wednesday,11:30/13:29,--,30,25,-,DUI_LS,-,-
28,24848,DFH 278E,Maritime Economics,Physical (Face to face),Sinan Çakır,DZB,Friday,10:30/12:29,--,60,50,-,"MMD_LS, MTM_LS",-,-
29,23798,DFH 282,Akışkanlar Mekaniği,Physical (Face to face),Melek Ertogan,DZB,Monday,09:30/11:29,--,45,41,-,DUI_LS,-,-
30,23801,DFH 282,Akışkanlar Mekaniği,Physical (Face to face),Melek Ertogan,DZB,Monday,11:30/13:29,--,45,38,-,DUI_LS,-,-
31,23828,DFH 414E,Port Management,Physical (Face to face),Tanzer Satır,DZB,Tuesday,13:30/15:29,--,25,6,-,DUI_LS,-,-
32,24912,DFH 414E,Port Management,Physical (Face to face),Tanzer Satır,DZB,Monday,13:30/15:29,--,30,29,-,"MMD_LS, MTM_LS",-,-
33,24887,DFH 422,Deniz Kazaları&Emniyet Kültürü,Physical (Face to face),Cemil Yurtören,DZB,Tuesday,13:30/15:29,--,20,4,-,DUI_LS,-,-
34,23835,DFH 472E,Commercial Ship Management,Physical (Face to face),Pelin Bolat,DZB,Tuesday,08:30/11:29,--,25,7,-,DUI_LS,-,-
35,24904,DFH 472E,Commercial Ship Management,Physical (Face to face),Gizem Çevik,DZB,Tuesday,10:30/13:29,--,60,26,-,"MMD_LS, MTM_LS",-,-
36,23841,DFH 476,Etkili İletişim,Physical (Face to face),Özcan Arslan,DZB,Friday,08:30/11:29,--,25,8,-,DUI_LS,-,-
37,23839,DFH 478E,Ro-ro / Passenger Ship Operat.,Physical (Face to face),Gizem Elidolu,DZB,Monday,14:30/16:29,--,25,6,-,DUI_LS,-,-
38,23829,DFH 482E,Cargo Handling Simulator,Physical (Face to face),Yunus Emre Şenol,DZB,Monday,08:30/10:29,--,25,20,-,DUI_LS,-,-
39,23830,DFH 482E,Cargo Handling Simulator,Physical (Face to face),Yunus Emre Şenol,DZB,Monday,11:30/13:29,--,25,26,-,DUI_LS,-,-
40,24892,DFH 482E,Cargo Handling Simulator,Physical (Face to face),Yunus Emre Şenol,DZB,Monday,14:30/16:29,--,60,38,-,MTM_LS,-,-
41,23831,DFH 484,Deniz Sigortaları,Physical (Face to face),Arda Özkan,DZB,Tuesday,11:30/13:29,--,25,6,-,DUI_LS,-,-
42,23832,DFH 486E,Chartering,Physical (Face to face),Emre Akyüz,DZB,Thursday,11:30/13:29,--,25,13,-,DUI_LS,-,-
