,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23645,DUI 102E,Introduction to Navigation,Physical (Face to face),Tuba Keçeci,DZB,Monday,08:30/11:29,--,36,34,-,DUI_LS,-,-
1,23647,DUI 102E,Introduction to Navigation,Physical (Face to face),Elif Bal Beşikçi,DZB,Tuesday,14:30/17:29,--,30,6,-,DUI_LS,-,-
2,24798,DUI 102E,Introduction to Navigation,Physical (Face to face),Tuba Keçeci,DZB,Thursday,15:30/18:29,--,60,25,-,MTM_LS,-,-
3,25337,DUI 102E,Introduction to Navigation,Physical (Face to face),Gizem Elidolu,DZB,Monday,08:30/11:29,--,25,22,-,DUI_LS,-,-
4,24909,DUI 103E,Seamanship,Physical (Face to face),Orhan Gönel,DZB,Tuesday,13:30/17:29,--,30,5,-,MMD_LS,-,-
5,23648,DUI 112E,Watchkeeping I,Physical (Face to face),Oğuzhan Gürel,DZB,Wednesday,09:30/11:29,--,30,21,-,DUI_LS,-,-
6,23651,DUI 112E,Watchkeeping I,Physical (Face to face),Oğuzhan Gürel,DZB,Wednesday,11:30/13:29,--,42,40,-,DUI_LS,-,-
7,24799,DUI 112E,Watchkeeping I,Physical (Face to face),Selim Aksoy,DZB,Tuesday,10:30/12:29,--,60,21,-,MTM_LS,-,-
8,25354,DUI 113E,Int.toMarit.Trnsp.Mng.Eng.&Eth,Physical (Face to face),Selim Aksoy,DZB-DG,Tuesday,08:30/10:29,--,10,1,-,MTM_LS,-,-
9,23756,DUI 208E,Cargo&Crew Safety,Physical (Face to face),Tanzer Satır,DZB,Monday,09:30/11:29,--,30,21,-,DUI_LS,-,-
10,23757,DUI 208E,Cargo&Crew Safety,Physical (Face to face),Tanzer Satır,DZB,Monday,11:30/13:29,--,36,36,-,DUI_LS,-,-
11,24854,DUI 208E,Cargo&Crew Safety,Physical (Face to face),Tanzer Satır,DZB,Tuesday,11:30/13:29,--,60,33,-,MTM_LS,-,-
12,23753,DUI 214,Astronomi,Physical (Face to face),Orhan Gönel,DZB,Monday,15:30/17:29,--,40,35,-,DUI_LS,-,-
13,23755,DUI 214,Astronomi,Physical (Face to face),Orhan Gönel,DZB,Wednesday,13:30/15:29,--,40,31,-,DUI_LS,-,-
14,25278,DUI 214,Astronomi,Physical (Face to face),Orhan Gönel,DZB,Monday,13:30/15:29,--,30,7,-,DUI_LS,-,-
15,24851,DUI 214E,Astronomy,Physical (Face to face),Orhan Gönel,DZB,Friday,08:30/10:29,--,60,43,-,MTM_LS,-,-
16,23690,DUI 231EL,Marine Communication Lab.,Physical (Face to face),Oğuzhan Gürel,DZB,Tuesday,10:30/12:29,--,18,15,-,DUI_LS,-,-
17,23693,DUI 231EL,Marine Communication Lab.,Physical (Face to face),Oğuzhan Gürel,DZB,Tuesday,08:30/10:29,--,22,22,-,DUI_LS,-,-
