,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23672,ECN 102E,Principles of Macroeconomics,Physical (Face to face),Mete Han Yağmur,ISB,Monday,08:30/12:29,108,80,68,EFN_LS/25/21 | Diğer/55/47,"ECNE_LS, EFN_LS",-,-
1,25618,ECN 104E,Markets and Ethics,Ek Sınav,Umut Kuruüzüm,-,-,-/-,-,0,1,-,-,-,-
2,23675,ECN 105E,Principles of Microeconomics,Physical (Face to face),Shourjo Chakravorty,MSB,Thursday,14:30/18:29,109,60,30,EFN_LS/10/9 | Diğer/50/21,"ECNE_LS, EFN_LS",-,-
3,23682,ECN 201E,Intermediate Microeconomics,Physical (Face to face),Aysun Hızıroğlu Aygün,ISB,Monday,14:30/18:29,104,60,49,EFN_LS/15/15 | VBAE_LS/3/0 | ENDE_LS/5/2 | END_LS/5/2 | Diğer/32/30,"ECNE_LS, EFN_LS, END_LS, ENDE_LS, VBAE_LS",Detail,-
4,23684,ECN 202E,Intermediate Macroeconomics,Physical (Face to face),Umut Kuruüzüm,MSB,Tuesday,14:30/18:29,101,90,91,ECNE_LS/5/1 | Diğer/85/90,"ECNE_LS, END_LS, ENDE_LS, VBAE_LS",Detail,-
5,23676,ECN 208E,Public Economics,Physical (Face to face),Aysun Hızıroğlu Aygün,ISB,Wednesday,09:30/12:29,203,90,79,ECNE_LS/11/2 | Diğer/79/77,"ECNE_LS, ISL_LS, ISLE_LS",Detail,-
6,23687,ECN 210E,Financial Accounting,Physical (Face to face),Havva Nur Çiftci,MSB,Thursday,09:30/12:29,101,90,89,-,ECNE_LS,-,-
7,23679,ECN 211E,Statistical Meth. in Economics,Physical (Face to face),Gülen Derya Zayim Gider,MSB,Tuesday,08:30/12:29,109,60,21,EFN_LS/10/4 | Diğer/50/17,"ECNE_LS, EFN_LS",-,-
8,23689,ECN 301E,Econometrics I,Physical (Face to face),Osman Doğan,ISB,Tuesday,14:30/18:29,108,60,35,EFN_LS/10/7 | Diğer/50/28,"ECNE_LS, EFN_LS",Detail,-
9,23692,ECN 302E,Econometrics II,Physical (Face to face),Osman Doğan,MSB,Monday,14:30/18:29,216,80,77,END_LS/5/2 | ENDE_LS/5/3 | Diğer/70/72,"ECNE_LS, END_LS, ENDE_LS",Detail,-
10,23697,ECN 308E,Competition Law and Policy,Physical (Face to face),"Shourjo Chakravorty , Çiçek Ersoy Kekevi",MSB,Wednesday,09:30/12:29,113,80,43,ISL_LS/2/0 | ISLE_LS/3/1 | Diğer/75/42,"ECNE_LS, ISL_LS, ISLE_LS",Detail,-
11,25619,ECN 311E,International Trade,Ek Sınav,Serdar Altay,-,-,-/-,-,0,1,-,-,Detail,-
12,23700,ECN 312E,International Finance,Physical (Face to face),Serdar Altay,MSB,Friday,14:30/17:29,104,90,96,-,ECNE_LS,Detail,-
13,23696,ECN 314E,Financial Economics,Physical (Face to face),Erhan Çetinkaya,MSB,Friday,09:30/12:29,104,90,91,-,ECNE_LS,Detail,-
14,23703,ECN 402E,Project Appraisal,Physical (Face to face),Zehra Atik,MSB,Tuesday,14:30/17:29,109,80,12,-,ECNE_LS,Detail,-
15,23717,ECN 407E,Time Series Econometrics,Physical (Face to face),Bülent Güloğlu,MSB,Tuesday,09:30/12:29,212,60,13,-,"ECNE_LS, EFN_LS",Detail,-
16,23715,ECN 410E,Energy Economics,Physical (Face to face),Sinan Ertemel,MSB,Thursday,14:30/17:29,103,60,21,END_LS/2/0 | ENDE_LS/3/2 | Diğer/55/19,"ECNE_LS, EFN_LS, END_LS, ENDE_LS",Detail,-
17,23712,ECN 412E,Environmental Economics,Physical (Face to face),Umut Kuruüzüm,MSB,Wednesday,09:30/12:29,104,60,22,END_LS/2/0 | ENDE_LS/3/2 | Diğer/55/20,"ECNE_LS, EFN_LS, END_LS, ENDE_LS",Detail,-
18,25621,ECN 413E,Health Economics,Ek Sınav,Aysun Hızıroğlu Aygün,-,-,-/-,-,0,1,-,-,Detail,-
19,25623,ECN 420E,Behavioural Economics,Ek Sınav,Tolga Yuret,-,-,-/-,-,0,1,-,-,Detail,-
20,23710,ECN 421E,Experimental Economics,Physical (Face to face),Tolga Yuret,MSB,Thursday,09:30/12:29,B13-A,60,54,END_LS/1/0 | ENDE_LS/5/4 | Diğer/54/50,"ECNE_LS, EFN_LS, END_LS, ENDE_LS",Detail,-
21,23708,ECN 430E,Income Distribution & Poverty,Physical (Face to face),Umut Kuruüzüm,ISB,Monday,14:30/17:29,203,60,63,-,"ECNE_LS, EFN_LS",Detail,-
22,23705,ECN 432E,Labor Economics,Physical (Face to face),Şerife Genç İleri,MSB,Monday,09:30/12:29,101,90,91,-,ECNE_LS,Detail,-
23,25622,ECN 433E,Regulatory Econ.& Reg. Markets,Ek Sınav,Matthıas Peter Fınger,-,-,-/-,-,0,1,-,-,Detail,-
24,23720,ECN 4902E,Graduation Project,Physical (Face to face),Bülent Güloğlu,-,-,-/-,-,80,62,-,ECNE_LS,Detail,Detail
25,23718,ECN 492E,Graduation Project,Physical (Face to face),Bülent Güloğlu,-,-,-/-,-,80,3,-,ECNE_LS,-,Detail
