,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21435,EEF 110E,Intr. to Prog. Language (C),Virtual (Online),Yusuf Yaşa,EEB EEB,Friday Friday,08:30/10:29 10:30/11:29,-- --,110,95,-,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",-,-
1,21439,EEF 110E,Intr. to Prog. Language (C),Virtual (Online),Aydın Tarık Zengin,EEB EEB,Tuesday Tuesday,08:30/10:29 10:30/11:29,-- --,90,89,-,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",-,-
2,21441,EEF 110E,Intr. to Prog. Language (C),Virtual (Online),Osman Kaan Erol,EEB EEB,Tuesday Tuesday,08:30/10:29 10:30/11:29,-- --,90,51,-,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",-,-
3,21445,EEF 110E,Intr. to Prog. Language (C),Virtual (Online),Bora Döken,EEB EEB,Wednesday Wednesday,08:30/10:29 10:30/11:29,-- --,100,100,-,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",-,-
4,21451,EEF 110E,Intr. to Prog. Language (C),Virtual (Online),İbrahim Çatalkaya,EEB EEB,Wednesday Wednesday,08:30/10:29 10:30/11:29,-- --,100,83,-,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",-,-
5,21455,EEF 110E,Intr. to Prog. Language (C),Virtual (Online),Ali Bahadır,EEB EEB,Wednesday Wednesday,08:30/10:29 10:30/11:29,-- --,100,100,-,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",-,-
6,21460,EEF 205,Lojik Tasarıma Giriş,Physical (Face to face),Ali Bahadır,EEB,Thursday,12:30/15:29,4102,75,73,-,"EHB_LS, ELK_LS, KOM_LS, ROS_LS",-,-
7,21466,EEF 205E,Introduction to Logic Design,Physical (Face to face),Ahmet Can Erten,EEB,Thursday,12:30/15:29,5101,70,53,-,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",-,-
8,21471,EEF 206,İşaret İşleme ve Lineer Sist.,Physical (Face to face),Bilge Günsel,EEB EEB,Wednesday Thursday,10:30/12:29 12:30/14:29,5304 5304,85,85,-,"EHB_LS, ELK_LS, KOM_LS, ROS_LS",-,-
9,21478,EEF 206,İşaret İşleme ve Lineer Sist.,Physical (Face to face),Emine Ayaz,EEB EEB,Wednesday Thursday,10:30/12:29 12:30/14:29,4102 5307,85,53,-,"EHB_LS, ELK_LS, KOM_LS, ROS_LS",-,-
10,21483,EEF 206,İşaret İşleme ve Lineer Sist.,Physical (Face to face),Işın Erer,EEB EEB,Wednesday Thursday,10:30/12:29 12:30/14:29,5102 5102,85,88,-,"EHB_LS, ELK_LS, KOM_LS, ROS_LS",-,-
