,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25656,ELK 107E,Int to Sci.&Eng.Comp. (Python),Ek Sınav,Ali Sinan Çabuk,-,-,-/-,-,0,1,-,-,Detail,-
1,25510,ELK 214,Elektromek. Enerji Dönüş.Tem.,Ek Sınav,Duygu Bayram Kara,-,-,-/-,-,0,1,-,-,-,-
2,21659,ELK 221,Elektrik Mühen. Temelleri,Physical (Face to face),Fatma Gül Bağrıyanık,EEB,Monday,12:30/15:29,5205,40,12,-,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",-,-
3,21660,ELK 221,Elektrik Mühen. Temelleri,Physical (Face to face),Ali Sinan Çabuk,EEB,Wednesday,08:30/11:29,4104,40,3,-,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",-,-
4,21661,ELK 221E,Fundamentals of Electric. Eng.,Physical (Face to face),Cavit Fatih Küçüktezcan,EEB,Thursday,12:30/15:29,1303,50,20,-,"CHZE_LS, GID_LS, GIDE_LS, IML_LS, IMLE_LS, ISL_LS, ISLE_LS, KMM_LS, KMME_LS, MAK_LS, MAKE_LS, MET_LS, METE_LS, PETE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS",-,-
5,21664,ELK 221E,Fundamentals of Electric. Eng.,Physical (Face to face),Ali Sinan Çabuk,EEB,Friday,08:30/11:29,2102,50,42,-,"CHZE_LS, GID_LS, GIDE_LS, IML_LS, IMLE_LS, ISL_LS, ISLE_LS, KMM_LS, KMME_LS, MAK_LS, MAKE_LS, MET_LS, METE_LS, PETE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS",-,-
6,21678,ELK 221E,Fundamentals of Electric. Eng.,Physical (Face to face),Zehra Elif Batman,EEB,Wednesday,08:30/11:29,5101,60,47,-,"CHZE_LS, GID_LS, GIDE_LS, IML_LS, IMLE_LS, ISL_LS, ISLE_LS, KMM_LS, KMME_LS, MAK_LS, MAKE_LS, MET_LS, METE_LS, PETE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS",-,-
7,21681,ELK 226,Elektrik-Elektronik Müh. Tem.,Physical (Face to face),Ali Saffet Altay,EEB,Wednesday,08:30/11:29,5103,60,59,-,"IML_LS, MAK_LS",Detail,-
8,21683,ELK 226,Elektrik-Elektronik Müh. Tem.,Physical (Face to face),Ali Sinan Çabuk,EEB,Tuesday,08:30/11:29,6309,60,58,-,"IML_LS, MAK_LS",Detail,-
9,21687,ELK 226,Elektrik-Elektronik Müh. Tem.,Physical (Face to face),Murat İmeryüz,MKB,Friday,08:30/11:29,A363,80,85,-,"IML_LS, MAK_LS",Detail,-
