,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23765,END 112E,Intr. to Manufacturing Systems,Physical (Face to face),Vehbi Tufan Koç,MSB,Thursday,09:30/12:29,103,80,71,KOME_LS/3/0 | KOM_LS/3/3 | Diğer/74/68,"END_LS, ENDE_LS, KOM_LS, KOME_LS",-,-
1,23767,END 112E,Intr. to Manufacturing Systems,Physical (Face to face),Vehbi Tufan Koç,MSB,Thursday,14:30/17:29,101,80,80,-,"END_LS, ENDE_LS",-,-
2,23768,END 201E,Industrial Engineering Applications in Python,Virtual (Online),Ömer Faruk Beyca,MSB,Monday,09:30/12:29,--,170,144,-,"END_LS, ENDE_LS",Detail,-
3,25402,END 201E,Industrial Engineering Applications in Python,Virtual (Online),Ömer Faruk Beyca,MSB,Wednesday,12:30/15:29,--,50,50,-,"END_LS, ENDE_LS",Detail,-
4,24751,END 210,End. Müh.için Doğrusal Cebir,Physical (Face to face),Cafer Erhan Bozdağ,MSB,Friday,09:30/12:29,113,60,42,-,END_LS,-,-
5,23775,END 210E,Linear Algebra for Indust.Eng.,Physical (Face to face),Erkan Işıklı,ISB,Friday,09:30/12:29,103,60,60,ENDE_LS/32/31 | VBAE_LS/14/14 | IND_LS/8/8 | Diğer/6/7,"END_LS, ENDE_LS, IND_LS, VBAE_LS",-,-
6,23776,END 232,İşbilim,Physical (Face to face),Ayşe Elvan Bayraktaroğlu,MSB,Monday,14:30/17:29,B13-A,80,55,-,END_LS,-,-
7,23777,END 232E,Ergonomics,Physical (Face to face),Fethi Çalışır,MSB,Wednesday,09:30/12:29,B13-A,80,57,-,ENDE_LS,-,-
8,23778,END 308,Kalite Mühendisliği,Physical (Face to face),Hüsnü Bülent Cerit,MSB,Thursday,09:30/11:29,216,90,86,-,END_LS,Detail,-
9,23779,END 308E,Quality Engineering,Physical (Face to face),Seda Yanık Özbay,MSB,Thursday,10:30/12:29,104,90,93,END_LS/5/2 | Diğer/85/91,"END_LS, ENDE_LS",Detail,-
10,23780,END 311,İstatistik,Physical (Face to face),Cengiz Kahraman,MSB,Tuesday,09:30/12:29,216,80,88,-,END_LS,Detail,-
11,23781,END 311E,Statistics,Physical (Face to face),Seda Yanık Özbay,MSB,Tuesday,09:30/12:29,B13-A,80,65,END_LS/10/2 | Diğer/70/63,"END_LS, ENDE_LS",Detail,-
12,23782,END 312,Mühendislik Ekonomisi,Physical (Face to face),Cengiz Kahraman,MSB,Monday,09:30/12:29,216,80,64,-,END_LS,-,-
13,23783,END 312E,Engineering Economics,Physical (Face to face),Kenan Mengüç,MSB,Friday,14:30/17:29,216,90,84,-,ENDE_LS,-,-
14,23784,END 318,Sistem Dinamiği,Physical (Face to face),Cafer Erhan Bozdağ,MSB,Friday,14:30/17:29,109,60,14,-,END_LS,Detail,-
15,23785,END 322,Sistem Simülasyonu,Physical (Face to face),Cafer Erhan Bozdağ,ISB,Tuesday,14:30/17:29,204,80,79,-,END_LS,Detail,-
16,23787,END 322E,System Simulation,Physical (Face to face),Emine Yaylalı,ISB,Tuesday,14:30/17:29,203,80,82,END_LS/5/7 | Diğer/75/75,"END_LS, ENDE_LS",Detail,-
17,25610,END 327E,Decision Theory,Sınırsız Sınav,Burhaneddin Sandıkçı,-,-,-/-,-,0,1,-,-,Detail,-
18,23788,END 331,Yöneylem Araştırması I,Physical (Face to face),Özgür Kabak,MSB,Wednesday,09:30/12:29,216,90,96,END_LS/83/84 | Diğer/7/12,"END_LS, MAT_LS",Detail,-
19,23790,END 331E,Operations Research I,Physical (Face to face),Hatice Tekiner Moğulkoç,MSB,Friday,09:30/12:29,101,90,86,ENDE_LS/77/65 | MAT_LS/5/4 | Diğer/8/17,"END_LS, ENDE_LS, MAT_LS",Detail,-
20,23791,END 332E,Operations Research II,Physical (Face to face),Tuğberk Tunçinan,MSB,Monday,14:30/17:29,101,60,72,-,"END_LS, ENDE_LS",Detail,-
21,23792,END 339,Proje Yönetimi,Physical (Face to face),Ayberk Soyer,MSB,Wednesday,09:30/12:29,103,60,44,-,END_LS,-,-
