,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24421,ENT 212E,Society&Sustain. in Ind.Design,Physical (Face to face),Çiğdem Kaya,MMB,Tuesday,08:30/12:29,216,80,62,-,"ENT_YD, ENTE_LS, EUTE_LS",-,-
1,24502,ENT 230E,Parametric Solid Model.&Design,Physical (Face to face),Cemal İrfan Çalışkan,MMB,Tuesday,08:30/11:29,BIM2,28,28,-,"ENT_LS, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",-,-
2,24786,ENT 237E,Structure in Industrial Design,Physical (Face to face),Demet Günal Ertaş,MMB,Thursday,08:30/11:29,217D,28,31,-,"ENT_YD, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",-,-
3,24510,ENT 334E,Design and Form,Physical (Face to face),Aysun Ateş Akdeniz,MMB,Thursday,13:30/16:29,231,33,35,-,"ENT_LS, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS, ICM_LS",-,-
4,25106,ENT 348E,Jwlry & Mnml Prdct Dsgn & Tech,Physical (Face to face),Nazire Öykü Kaya,MMB,Tuesday,08:30/11:29,TAKIATÖLYE,15,10,-,"ENT_LS, ENT_YD, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",-,-
5,24513,ENT 354E,Emotional Design,Physical (Face to face),Pelin Efilti,MMB,Thursday,13:30/16:29,320,35,30,ARC_LS/5/0 | Diğer/30/30,"ARC_LS, ENT_LS, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",-,-
6,24514,ENT 356E,Color in Design,Physical (Face to face),Hatice Kübra Yıldız,MMB,Thursday,13:30/16:29,307,28,32,ARC_LS/5/2 | Diğer/23/30,"ARC_LS, ENT_LS, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",-,-
7,24516,ENT 433E,Street Furniture,Physical (Face to face),Seçil Şatır,MMB,Friday,09:30/12:29,3404,33,24,-,"ENT_LS, ENT_YD, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",-,-
8,24711,ENT 434E,Seeing in Design,Physical (Face to face),Seçil Şatır,MMB,Thursday,13:30/16:29,302,33,20,-,"ENT_LS, ENT_YD, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",-,-
9,24790,ENT 436E,Visualization Techniques,Physical (Face to face),Nazım Erdem Aykam,MMB,Monday,09:30/12:29,315,33,25,-,"ENT_LS, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",-,-
10,24519,ENT 446E,Multimedia Design Studio,Physical (Face to face),Ahmet Hamurcu,MMB,Thursday,13:30/16:29,BIM2,28,28,-,"ENT_YD, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",-,-
11,24712,ENT 453E,Basic Princip. of Yacht Dsgn,Physical (Face to face),Layıka Ney Ece Arıburun Kırca,MMB,Tuesday,09:30/12:29,307,30,21,GEM_LS/10/1 | Diğer/20/20,"ENT_LS, ENT_YD, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS, GEM_LS, GEM_YD",-,-
