,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24262,GEM 102,Gemi Geometrisi,Physical (Face to face),Cihad Delen,EEB,Monday,13:30/16:29,6307,45,45,-,"GEM_LS, GEM_YD",-,-
1,24267,GEM 102,Gemi Geometrisi,Physical (Face to face),Münir Cansın Özden,INB,Monday,13:30/16:29,D201,45,39,-,"GEM_LS, GEM_YD",-,-
2,24275,GEM 201E,Dynamics,Physical (Face to face),Mustafa Erden Yıldızdağ,MEDC MEDC,Monday Wednesday,08:30/10:29 08:30/10:29,1D7 1D7,40,27,-,GEM_LS,Detail,-
3,24358,GEM 203,Mukavemet I,Physical (Face to face),İsmail Yalçın,MEDC MEDC,Monday Tuesday,13:30/15:29 13:30/15:29,2D13 ZD1,50,46,-,GEM_LS,-,-
4,24282,GEM 204,Termodinamik,Physical (Face to face),Oğuz Salim Söğüt,MEDC MEDC,Wednesday Thursday,10:30/12:29 10:30/12:29,2D15 ZD2,40,40,-,GEM_LS,Detail,-
5,24364,GEM 204,Termodinamik,Physical (Face to face),Halil Saraçoğlu,MEDC MEDC,Wednesday Thursday,10:30/12:29 10:30/12:29,2D16 1D3,50,31,-,GEM_LS,Detail,-
6,24991,GEM 204E,Thermodynamics,Physical (Face to face),Murat Durmaz,MEDC,Friday,08:30/12:29,1D10,60,42,-,NAE_LS,Detail,-
7,24367,GEM 214E,Engineering Measurements,Physical (Face to face),Emin Korkut,MEDC,Thursday,13:30/16:29,1D4,50,52,-,"GEM_LS, GEME_LS",-,-
8,24373,GEM 216E,Heat Transfer In Engineering,Physical (Face to face),Selma Ergin,MEDC,Friday,09:30/12:29,2D11,50,39,-,"GEM_LS, GEME_LS",-,-
9,24993,GEM 216E,Heat Transfer In Engineering,Physical (Face to face),Murat Durmaz,MEDC,Tuesday,13:30/16:29,ZA4,60,42,-,NAE_LS,-,-
10,24380,GEM 312,Gemi Yardımcı Makinaları,Physical (Face to face),Osman Azmi Özsoysal,MEDC,Monday,10:30/13:29,1D7,45,45,-,GEM_LS,-,-
11,24382,GEM 312,Gemi Yardımcı Makinaları,Physical (Face to face),"Murat Emre Demir , Halil Saraçoğlu",MEDC,Monday,10:30/13:29,1D8,45,22,-,GEM_LS,-,-
12,24995,GEM 312E,Marine Auxiliary Machinery,Physical (Face to face),Ahmet Ergün Palaz,INB,Thursday,12:30/15:29,A105,70,67,-,NAE_LS,-,-
13,25624,GEM 322,Gemi Mukavemeti,Ek Sınav,Ertekin Bayraktarkatal,-,-,-/-,-,0,1,-,-,Detail,-
14,24385,GEM 324,Gemi Mukavemeti,Physical (Face to face),Ertekin Bayraktarkatal,MEDC MEDC,Monday Wednesday,08:30/10:29 08:30/10:29,1D10 ZA3,60,44,-,GEM_LS,Detail,-
15,24994,GEM 324E,Strength of Ships,Physical (Face to face),Ahmet Ergin,MEDC MEDC,Tuesday Friday,10:30/12:29 14:00/15:59,2D17 2D13,50,28,-,NAE_LS,Detail,-
16,24383,GEM 325,Gemi Yapı Elemanları,Physical (Face to face),Gökhan Tansel Tayyar,MEDC MEDC,Wednesday Thursday,08:30/10:29 15:30/17:29,2D16 2D14,40,28,-,"GEM_LS, GEM_YD",Detail,-
17,25060,GEM 325E,Ship Construction,Physical (Face to face),İbrahim Tuğrul Ardıç,MEDC,Friday,08:30/12:29,2D14,50,10,-,NAE_LS,Detail,-
18,24387,GEM 326E,Ship Design,Physical (Face to face),Devrim Bülent Danışman,MEDC MEDC,Tuesday Wednesday,11:30/13:29 13:30/15:29,ZD1 1D10,90,85,-,"GEM_LS, GEM_YD, GEME_LS",Detail,-
19,24996,GEM 326E,Ship Design,Physical (Face to face),Cihad Delen,BBB,Tuesday,13:30/17:29,Z-17,50,33,-,NAE_LS,Detail,-
20,24389,GEM 328E,Ship Hydrodynamics(Propulsion),Physical (Face to face),Emin Korkut,MEDC,Tuesday,08:30/11:29,1D10,90,86,-,"GEM_LS, GEM_YD, GEME_LS",Detail,-
21,24999,GEM 328E,Ship Hydrodynamics(Propulsion),Physical (Face to face),Şakir Bal,MEDC MEDC,Wednesday Thursday,08:30/10:29 09:30/10:29,2D15 2D12,50,28,-,NAE_LS,Detail,-
