,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22323,GEO 108E,Fundamentals of Programming,Virtual (Online),Volkan Özbey,INB INB,Wednesday Wednesday,08:30/09:29 10:30/12:29,-- --,50,49,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
1,22326,GEO 108E,Fundamentals of Programming,Virtual (Online),Hasan Tonbul,INB INB,Wednesday Wednesday,08:30/09:29 10:30/12:29,-- --,50,46,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
2,22347,GEO 108E,Fundamentals of Programming,Virtual (Online),Muhammed Enes Atik,INB,Wednesday,12:30/15:29,--,80,79,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
3,22353,GEO 114,Yersel Ölçme Don. Ve Yaz.,Physical (Face to face),Serdar Erol,INB,Thursday,08:30/11:29,A204,40,14,-,"GEO_LS, HTA_LS",Detail,-
4,22358,GEO 114E,Terr. Surv. Equip. and Soft.,Physical (Face to face),Ramazan Alper Kuçak,INB,Thursday,08:30/11:29,D201,50,46,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",Detail,-
5,22366,GEO 114E,Terr. Surv. Equip. and Soft.,Physical (Face to face),Turan Erden,INB,Thursday,11:30/14:29,A204,65,65,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",Detail,-
6,23649,GEO 203,Koord. Sist. Ve Jeodezi I,Physical (Face to face),Serdar Erol,INB,Wednesday,08:30/12:29,B304,40,21,-,"GEO_LS, HTA_LS",-,-
7,22334,GEO 203E,Coordinate Sys. and Geodesy I,Physical (Face to face),Volkan Özbey,INB,Monday,08:30/12:29,B206,50,50,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
8,22372,GEO 204,Hata Teo ve Dengeleme,Physical (Face to face),Orhan Akyılmaz,INB,Thursday,13:30/17:29,A201,70,27,-,"GEO_LS, HTA_LS",Detail,-
9,22378,GEO 204E,Th.of Err. And Ad. C.,Physical (Face to face),Mustafa Tevfik Özlüdemir,INB,Monday,13:30/17:29,A205,70,60,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",Detail,-
10,22383,GEO 208,Uzaktan Algılama I,Physical (Face to face),Şinasi Kaya,INB,Monday,10:30/12:29,A101,30,11,-,"GEO_LS, HTA_LS",-,-
11,22386,GEO 208,Uzaktan Algılama I,Physical (Face to face),Çiğdem Göksel,INB,Monday,10:30/12:29,B302,30,30,-,"GEO_LS, HTA_LS",-,-
12,22393,GEO 208E,Remote Sensing I,Physical (Face to face),Ayşe Filiz Sunar,INB,Thursday,15:30/17:29,B206,38,32,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
13,22400,GEO 208E,Remote Sensing I,Physical (Face to face),Uğur Algancı,INB,Thursday,15:30/17:29,B204,38,38,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
14,22409,GEO 210,Yükseklik Ölçmeleri,Physical (Face to face),Hasan Hakan Yavaşoğlu,INB,Tuesday,15:30/17:29,B104,60,55,-,"GEO_LS, HTA_LS",Detail,-
15,22421,GEO 210E,Fundamentals of Levelling,Physical (Face to face),"Mahmut Oğuz Selbesoğlu , Mustafa Fahri Karabulut",INB,Thursday,13:30/15:29,B103,60,52,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",Detail,-
16,22427,GEO 212,Mühendislik Ölçmeleri,Physical (Face to face),"Mustafa Yanalak , Mehmet İşiler",INB,Monday,13:30/16:29,B101,60,37,-,"GEO_LS, HTA_LS",Detail,-
17,22434,GEO 212E,Engineering Surveying,Physical (Face to face),Mehmet İşiler,INB,Monday,09:30/12:29,A302,70,67,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",Detail,-
18,22439,GEO 216,Bilgisayar Dest. Harita Tas.,Physical (Face to face),Mehmet Ufuk Özerman,INB,Thursday,08:30/12:29,D103,30,30,-,"GEO_LS, HTA_LS",-,-
19,22443,GEO 216,Bilgisayar Dest. Harita Tas.,Physical (Face to face),Adalet Dervişoğlu,INB,Thursday,08:30/12:29,--,30,12,-,"GEO_LS, HTA_LS",-,-
20,22446,GEO 216E,Computer Aided Map Design,Physical (Face to face),Ahmet Özgür Doğru,INB,Thursday,08:30/12:29,D104,35,34,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
