,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23343,GMI 115,Bilgisayar Dest. Teknik Resim,Physical (Face to face),Emre Kahramanoğlu,DZB,Wednesday,08:30/11:29,--,40,22,-,GMI_LS,-,-
1,23392,GMI 115,Bilgisayar Dest. Teknik Resim,Physical (Face to face),Emre Kahramanoğlu,DZB,Wednesday,12:30/15:29,--,45,39,-,GMI_LS,-,-
2,25351,GMI 118E,Introduction to Marine Engineering and Ethics,Physical (Face to face),Cumali Seçkin Mengeçin,DZB,Thursday,15:30/18:29,--,20,5,-,MEN_LS,-,-
3,23445,GMI 132E,Numerical Analy. of Eng.Syst.,Physical (Face to face),Ata Bilgili,DZB,Thursday,11:30/13:29,--,70,68,-,GMI_LS,Detail,-
4,24810,GMI 132E,Numerical Analy. of Eng.Syst.,Physical (Face to face),Ata Bilgili,DZB,Monday,10:30/12:29,--,60,20,-,MEN_LS,Detail,-
5,23292,GMI 171E,Maritime English I,Physical (Face to face),Müjgan Özenir,DZB,Tuesday,10:30/12:29,--,30,16,-,GMI_LS,-,-
6,23301,GMI 171E,Maritime English I,Physical (Face to face),Müjgan Özenir,DZB,Tuesday,13:30/15:29,--,40,41,-,GMI_LS,-,-
7,23364,GMI 171E,Maritime English I,Physical (Face to face),Müjgan Özenir,DZB,Wednesday,10:30/12:29,--,30,7,-,GMI_LS,-,-
8,24812,GMI 171E,Maritime English I,Physical (Face to face),Müjgan Özenir,DZB,Tuesday,15:30/17:29,--,60,20,-,MEN_LS,-,-
9,23617,GMI 209,Bilg. Destekli Katı Modelleme,Physical (Face to face),Emre Kahramanoğlu,DZB,Thursday,15:30/17:29,--,45,24,-,GMI_LS,-,-
10,23339,GMI 210,Titreşimin Temelleri,Physical (Face to face),İsmail Çiçek,DZB,Tuesday,15:30/17:29,--,25,8,-,GMI_LS,-,-
11,23300,GMI 213,Termodinamik,Physical (Face to face),Veysi Başhan,DZB,Tuesday,10:30/13:29,--,35,25,-,GMI_LS,Detail,-
12,23613,GMI 213,Termodinamik,Physical (Face to face),Yalçın Durmuşoğlu,DZB,Thursday,12:30/15:29,--,35,33,-,GMI_LS,Detail,-
13,24858,GMI 213E,Thermodynamics,Physical (Face to face),Yalçın Durmuşoğlu,DZB,Tuesday,11:30/14:29,--,60,28,-,MEN_LS,Detail,-
14,23246,GMI 214,Hidrolik ve Pnömatik,Physical (Face to face),Çağlar Karatuğ,DZB,Monday,11:30/14:29,--,45,42,-,GMI_LS,-,-
15,25281,GMI 214,Hidrolik ve Pnömatik,Physical (Face to face),Çağlar Karatuğ,DZB,Monday,08:30/11:29,--,40,18,-,GMI_LS,-,-
16,24859,GMI 214E,Hydraulic and Pneumatic,Physical (Face to face),Kemal Demirel,DZB,Tuesday,14:30/17:29,--,60,36,-,MEN_LS,-,-
17,23304,GMI 223,Makine Elemanları,Physical (Face to face),Hakan Demirel,DZB,Tuesday,13:30/15:29,--,45,41,-,GMI_LS,-,-
18,24863,GMI 223E,Machine Elements,Physical (Face to face),Çağlar Karatuğ,DZB,Monday,14:30/16:29,--,60,28,-,MEN_LS,-,-
19,23278,GMI 225,Gemi Dizel Makineleri I,Physical (Face to face),Burak Zincir,DZB,Monday,14:30/17:29,--,40,36,-,GMI_LS,-,-
20,23380,GMI 225,Gemi Dizel Makineleri I,Physical (Face to face),Cengiz Deniz,DZB,Wednesday,12:30/15:29,--,35,28,-,GMI_LS,-,-
21,24860,GMI 225E,Marine Diesel Engines I,Physical (Face to face),Cumali Seçkin Mengeçin,DZB,Monday,09:30/12:29,--,60,44,-,MEN_LS,-,-
22,23231,GMI 228,Temel Elektronik,Physical (Face to face),Tayfun Uyanık,DZB,Monday,08:30/10:29,--,45,43,-,GMI_LS,-,-
23,25280,GMI 228,Temel Elektronik,Physical (Face to face),Tayfun Uyanık,DZB,Tuesday,08:30/10:29,--,40,13,-,GMI_LS,-,-
24,24861,GMI 228E,Basic Electronics,Physical (Face to face),Tayfun Uyanık,DZB,Thursday,12:30/14:29,--,60,30,-,MEN_LS,-,-
25,23625,GMI 243,Denizel Çevre Kimyası,Physical (Face to face),Emrah Şık,DZB,Friday,14:30/17:29,--,55,63,-,GMI_LS,-,-
26,24864,GMI 243E,Marine Environmental Chemistry,Physical (Face to face),Yasin Arslanoğlu,DZB,Tuesday,08:30/11:29,--,60,51,-,MEN_LS,-,-
27,25390,GMI 254E,Marine Auxiliary Machinery I,Physical (Face to face),Kemal Demirel,DZB,Tuesday,08:30/11:29,--,20,6,-,MEN_LS,-,-
28,23418,GMI 256,Elektroteknik,Physical (Face to face),Tayfun Uyanık,DZB,Thursday,08:30/11:29,--,55,54,-,GMI_LS,Detail,-
29,25294,GMI 256,Elektroteknik,Physical (Face to face),Tayfun Uyanık,DZB,Friday,08:30/11:29,--,30,23,-,GMI_LS,Detail,-
30,24862,GMI 256E,Electrotechnics,Physical (Face to face),Tayfun Uyanık,DZB,Thursday,15:30/18:29,--,60,29,-,MEN_LS,Detail,-
31,23347,GMI 261E,Fluid Mechanics,Physical (Face to face),Ata Bilgili,DZB,Wednesday,08:30/11:29,--,65,65,-,GMI_LS,Detail,-
32,25393,GMI 320E,Naval Architecture&Stability,Physical (Face to face),İsmail Çiçek,DZB,Wednesday,17:30/19:29,--,20,26,-,MEN_LS,-,-
33,23641,GMI 393E,Long Term Sea Training (6 ay),Physical (Face to face),İsmail Çiçek,-,-,-/-,-,150,60,-,GMI_LS,Detail,-
34,24871,GMI 393E,Long Term Sea Training (6 ay),Physical (Face to face),Cumali Seçkin Mengeçin,-,-,-/-,-,60,32,-,MEN_LS,Detail,-
35,25389,GMI 454E,Marine Auxiliary Machinery II,Physical (Face to face),Kemal Demirel,DZB,Monday,08:30/11:29,--,20,7,-,MEN_LS,Detail,-
36,23302,GMI 462,Buhar & Gaz Türbinleri Operas.,Physical (Face to face),Yalçın Durmuşoğlu,DZB,Tuesday,15:30/17:29,--,35,30,-,GMI_LS,Detail,-
37,25191,GMI 462,Buhar & Gaz Türbinleri Operas.,Physical (Face to face),Yalçın Durmuşoğlu,DZB,Thursday,15:30/17:29,--,35,27,-,GMI_LS,Detail,-
38,24897,GMI 462E,Oper.of Steam&Gas Turbines,Physical (Face to face),Yalçın Durmuşoğlu,DZB,Wednesday,10:30/12:29,--,60,23,-,MEN_LS,Detail,-
39,24898,GMI 471E,Refrigeration and HVAC Systems,Physical (Face to face),Yasin Arslanoğlu,DZB,Tuesday,13:30/15:29,--,60,12,-,MEN_LS,-,-
40,25388,GMI 473E,Marine Diesel Engines III,Physical (Face to face),Cumali Seçkin Mengeçin,DZB,Monday,14:30/16:29,--,20,11,-,MEN_LS,Detail,-
41,23428,GMI 474E,Quality&Safety Management Sys.,Physical (Face to face),Metin Çelik,DZB,Thursday,08:30/10:29,--,20,12,-,GMI_LS,-,-
42,24899,GMI 476E,Deck Machinery,Physical (Face to face),Cumali Seçkin Mengeçin,DZB,Friday,08:30/10:29,--,60,6,-,MEN_LS,-,-
43,23372,GMI 481E,Marine Insurance,Physical (Face to face),Arda Özkan,DZB,Wednesday,12:30/14:29,--,30,23,-,GMI_LS,-,-
44,23238,GMI 484E,Engine Room Simulator (ERS) II,Physical (Face to face),İsmail Çiçek,DZB,Monday,08:30/11:29,--,16,8,-,GMI_LS,Detail,-
45,23280,GMI 484E,Engine Room Simulator (ERS) II,Physical (Face to face),Samet Biçen,DZB,Monday,14:30/17:29,--,16,16,-,GMI_LS,Detail,-
46,23354,GMI 484E,Engine Room Simulator (ERS) II,Physical (Face to face),Samet Biçen,DZB,Wednesday,08:30/11:29,--,16,17,-,GMI_LS,Detail,-
47,23388,GMI 484E,Engine Room Simulator (ERS) II,Physical (Face to face),Samet Biçen,DZB,Wednesday,12:30/15:29,--,16,16,-,GMI_LS,Detail,-
48,24894,GMI 484E,Engine Room Simulator (ERS) II,Physical (Face to face),Kemal Demirel,DZB,Thursday,08:30/11:29,--,15,11,-,MEN_LS,Detail,-
49,24895,GMI 484E,Engine Room Simulator (ERS) II,Physical (Face to face),Kemal Demirel,DZB,Thursday,12:30/15:29,--,15,15,-,MEN_LS,Detail,-
50,23440,GMI 485E,Envir.Manag.in Ship Operations,Physical (Face to face),Kadir Çiçek,DZB,Thursday,10:30/12:29,--,20,7,-,GMI_LS,-,-
51,23357,GMI 486E,Shipping Finance,Physical (Face to face),Sinan Çakır,DZB,Wednesday,09:30/11:29,--,30,6,-,GMI_LS,-,-
52,25353,GMI 487E,Occupational Health & Safety,Physical (Face to face),Selim Aksoy,DZB,Monday,11:30/13:29,--,20,8,-,MEN_LS,-,-
53,23453,GMI 488E,Surveying Procedures,Physical (Face to face),Fırat Bolat,DZB,Thursday,12:30/14:29,--,25,18,-,GMI_LS,-,-
54,23638,GMI 4901,Gemi Mak. İşl. Müh. Tasarımı I,Physical (Face to face),Çağlar Karatuğ,-,-,-/-,-,100,31,-,GMI_LS,Detail,Detail
55,25247,GMI 4901E,Marine Engineering Design I,Physical (Face to face),Selim Aksoy,-,-,-/-,-,20,3,-,MEN_LS,Detail,Detail
