,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24554,ICM 104,İç Mimarlıkta Tarih ve Kuram I,Physical (Face to face),"Ahmet Erdem Tozoğlu , Deniz Çalışır Pençe",MMB,Tuesday,13:30/16:29,216,60,52,-,ICM_LS,Detail,-
1,24555,ICM 205,İç Mimarlıkta Tarih &Kuram III,Physical (Face to face),"Ahmet Erdem Tozoğlu , Deniz Çalışır Pençe",MMB,Tuesday,09:30/12:29,303,60,35,-,ICM_LS,Detail,-
2,24556,ICM 206E,Surv andRepr.Tch.in Intr.Arch.,Physical (Face to face),Orkan Zeynel Güzelci,MMB,Friday,08:30/12:29,107,60,52,-,"IAD_LS, ICM_LS",-,-
3,24557,ICM 209E,Inter.Arch.Design Fund.Studio,Physical (Face to face),Ahmet Erdem Tozoğlu,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203A 203A,2,1,-,"IAD_LS, ICM_LS",Detail,-
4,24558,ICM 246E,Interior Arch. Design Studio I,Physical (Face to face),Emine Görgül,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203A 203A,14,14,-,"IAD_LS, ICM_LS",Detail,-
5,24559,ICM 246E,Interior Arch. Design Studio I,Physical (Face to face),Demet Arslan Dinçay,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203A 203A,15,15,-,"IAD_LS, ICM_LS",Detail,-
6,24560,ICM 246E,Interior Arch. Design Studio I,Physical (Face to face),Ahmet Erdem Tozoğlu,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,217B 217B,16,16,-,"IAD_LS, ICM_LS",Detail,-
7,24561,ICM 349E,Interior Arch.Design Studio II,Physical (Face to face),Emine Görgül,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203B --,3,2,-,"IAD_LS, ICM_LS",Detail,-
8,24562,ICM 349E,Interior Arch.Design Studio II,Physical (Face to face),Demet Arslan Dinçay,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203B 203B,3,1,-,"IAD_LS, ICM_LS",Detail,-
9,25508,ICM 355,İç Mimarlıkta Renk ve Işık,Ek Sınav,Ethem Gürer,-,-,-/-,-,0,1,-,-,Detail,-
10,24563,ICM 366E,Interior Arch.Desgn Studio III,Physical (Face to face),Ervin Garip,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203B 203B,17,17,-,"IAD_LS, ICM_LS",Detail,-
11,24564,ICM 366E,Interior Arch.Desgn Studio III,Physical (Face to face),Seniye Banu Garip,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203B 203B,17,18,-,"IAD_LS, ICM_LS",Detail,-
12,24565,ICM 366E,Interior Arch.Desgn Studio III,Physical (Face to face),Orkan Zeynel Güzelci,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203C 203C,13,13,-,"IAD_LS, ICM_LS",Detail,-
13,24566,ICM 366E,Interior Arch.Desgn Studio III,Physical (Face to face),Shahryar Habıbı,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203C 203C,14,14,-,"IAD_LS, ICM_LS",Detail,-
14,24569,ICM 368E,Dsgn Prins of Intr. Fins. Sys,Physical (Face to face),Enes Yaşa,MMB,Friday,14:00/18:59,212,80,77,-,"IAD_LS, ICM_LS",-,-
15,24570,ICM 374,Meslek Pratiği,Physical (Face to face),Gülfer Oraz,MMB,Tuesday,08:30/12:29,215,70,51,-,ICM_LS,-,-
16,24572,ICM 4014,İç Mimarlıkta Tekstil,Physical (Face to face),Belgin Görgün,MMB,Friday,10:30/12:29,302,25,25,-,ICM_LS,-,-
17,24571,ICM 4025E,Health and Design,Physical (Face to face),Ervin Garip,MMB,Monday,10:30/12:29,313,15,15,-,"IAD_LS, ICM_LS",-,-
18,24574,ICM 4029E,Interior Space in Cinema,Physical (Face to face),Demet Arslan Dinçay,MMB,Wednesday,10:30/12:29,123A,28,25,-,"IAD_LS, ICM_LS",-,-
19,24580,ICM 4032,Mimari Üsluplar,Physical (Face to face),"Deniz Çalışır Pençe , Ahmet Erdem Tozoğlu",MMB,Thursday,10:30/12:29,319,17,16,-,ICM_LS,-,-
20,24579,ICM 4035E,"Social Transform.,Gender&Space",Physical (Face to face),Emine Görgül,MMB,Wednesday,10:30/12:29,307,30,28,-,"EUTE_LS, IAD_LS, ICM_LS",-,-
21,24575,ICM 4041E,Urban Interiors,Physical (Face to face),Ahmet Erdem Tozoğlu,MMB,Wednesday,13:30/15:29,319,20,20,-,"IAD_LS, ICM_LS",Detail,-
22,25290,ICM 4042E,Yacht Interioris Design,Physical (Face to face),Mert Ünnü,MMB,Friday,10:30/12:29,303,23,24,-,"IAD_LS, ICM_LS",-,-
23,24582,ICM 408E,Comm Design In Interior Arch.,Physical (Face to face),Seniye Banu Garip,MMB,Monday,10:30/12:29,216,80,69,-,"IAD_LS, ICM_LS",-,-
24,25509,ICM 447E,Prdgms&Cse Std in Adpt.Re-Use,Ek Sınav,Özge Cordan,-,-,-/-,-,0,1,-,-,Detail,-
25,24567,ICM 449E,Interior Arch.Desgn Studio IV,Physical (Face to face),Orkan Zeynel Güzelci,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203C 203C,3,4,-,"IAD_LS, ICM_LS",Detail,-
26,24792,ICM 449E,Interior Arch.Desgn Studio IV,Physical (Face to face),Shahryar Habıbı,MMB MMB,Monday Thursday,13:30/17:29 13:30/17:29,203C 203C,5,5,-,"IAD_LS, ICM_LS",Detail,-
27,24583,ICM 4902,Diploma Projesi,Physical (Face to face),Ahmet Gün,-,-,-/-,-,10,11,-,ICM_LS,Detail,-
28,24586,ICM 4902,Diploma Projesi,Physical (Face to face),Ahmet Gün,-,-,-/-,-,10,10,-,ICM_LS,Detail,-
29,24588,ICM 4902,Diploma Projesi,Physical (Face to face),Ahmet Gün,-,-,-/-,-,20,11,-,ICM_LS,Detail,-
30,24589,ICM 4902E,Graduation Project,Physical (Face to face),Ahmet Gün,-,-,-/-,-,10,10,-,"IAD_LS, ICM_LS",Detail,-
