,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22632,INS 101,Teknik Resim,Physical (Face to face),Şehriban Şen,INB,Friday,09:30/12:29,D201,30,26,-,INS_LS,-,-
1,22638,INS 101E,Technical Drawing,Physical (Face to face),Sibel Gürel,INB,Thursday,13:30/16:29,D201,30,24,-,"INS_LS, INSE_LS",-,-
2,22675,INS 102,Statik,Physical (Face to face),Nihal Eratlı,INB INB,Tuesday Wednesday,13:30/15:29 12:30/14:29,B307 B308,40,38,-,INS_LS,Detail,-
3,22677,INS 102,Statik,Physical (Face to face),Bahattin Kimençe,INB INB,Tuesday Wednesday,13:30/15:29 10:30/12:29,A204 B305,40,36,-,INS_LS,Detail,-
4,22678,INS 102,Statik,Physical (Face to face),Abdul Hayır,INB INB,Wednesday Friday,10:30/12:29 10:30/12:29,B102 A305,40,17,-,INS_LS,Detail,-
5,22680,INS 102E,Statics,Physical (Face to face),Semih Küçükarslan,INB INB,Thursday Friday,10:30/12:29 14:00/15:59,D203 B104,46,45,-,"INS_LS, INSE_LS",Detail,-
6,22683,INS 102E,Statics,Physical (Face to face),Osman Bulut,INB INB,Thursday Friday,10:30/12:29 14:00/15:59,A304 A102,46,49,-,"INS_LS, INSE_LS",Detail,-
7,22646,INS 107E,Int. to Prog. Lang. (Python),Virtual (Online),Fırat Doğu Akın,INB,Friday,14:00/16:59,--,75,72,-,"INS_LS, INSE_LS",-,-
8,25007,INS 112,İnşaat Mühendisleri İçin Yer Bilimi,Physical (Face to face),Yılmaz Mahmutoğlu,INB,Wednesday,08:30/10:29,A302,63,63,-,INS_LS,-,-
9,25008,INS 112,İnşaat Mühendisleri İçin Yer Bilimi,Physical (Face to face),Şaziye Özge Dinç Göğüş,INB,Thursday,08:30/10:29,A305,63,63,-,INS_LS,-,-
10,25009,INS 112,İnşaat Mühendisleri İçin Yer Bilimi,Physical (Face to face),Enes Zengin,INB,Friday,08:30/10:29,A104,63,56,-,INS_LS,-,-
11,25010,INS 112E,Earth Science for Civil Engineers,Physical (Face to face),Kayhan Develi,INB,Tuesday,08:30/10:29,A204,63,62,-,"INS_LS, INSE_LS",-,-
12,25011,INS 112E,Earth Science for Civil Engineers,Physical (Face to face),Kayhan Develi,INB,Wednesday,08:30/10:29,D202,63,55,-,"INS_LS, INSE_LS",-,-
13,22723,INS 202E,Numerical Methods inCivil Eng.,Physical (Face to face),Atila Sezen,INB,Monday,10:30/12:29,B101,75,81,-,"INS_LS, INSE_LS",Detail,-
14,22688,INS 210,İnşaat Mühendisleri için Matematik,Physical (Face to face),Elif Kartal,INB,Tuesday,10:30/12:29,A102,50,46,-,INS_LS,Detail,-
15,22691,INS 210E,Mathematics for Civil Engineers,Physical (Face to face),Taha Yüksel,INB,Tuesday,10:30/12:29,B103,50,50,-,"INS_LS, INSE_LS",Detail,-
16,22782,INS 214E,Partial Differential Equations,Physical (Face to face),Teoman Özer,INB,Tuesday,09:30/12:29,B206,55,39,-,"INS_LS, INSE_LS",-,-
17,22720,INS 215E,Materials Science,Physical (Face to face),Ayda Şafak Ağar Özbek,INB,Wednesday,09:30/12:29,A202,70,70,-,"INS_LS, INSE_LS",Detail,-
18,22693,INS 217,Mukavemet I,Physical (Face to face),Teoman Özer,INB INB,Wednesday Thursday,13:30/15:29 10:30/12:29,B203 A105,50,56,-,INS_LS,Detail,-
19,22697,INS 217E,Strength of Materials I,Physical (Face to face),Pınar Özdemir Çağlayan,INB INB,Thursday Friday,10:30/12:29 14:00/15:59,B201 B201,50,44,-,"INS_LS, INSE_LS",Detail,-
20,22738,INS 218,Mukavemet II,Physical (Face to face),Abdul Hayır,INB INB,Wednesday Friday,13:30/15:29 14:00/15:59,A102 A204,45,41,-,INS_LS,Detail,-
21,22756,INS 218,Mukavemet II,Physical (Face to face),Fethi Kadıoğlu,INB INB,Wednesday Friday,13:30/15:29 14:00/15:59,A201 A205,45,53,-,INS_LS,Detail,-
22,22762,INS 218,Mukavemet II,Physical (Face to face),Abdullah Gedikli,INB INB,Thursday Friday,10:30/12:29 10:30/12:29,A202 A202,45,20,-,INS_LS,Detail,-
23,22765,INS 218E,Strength of Materials II,Physical (Face to face),Hale Ergün,INB INB,Wednesday Friday,13:30/15:29 10:30/12:29,B201 B203,45,44,-,"INS_LS, INSE_LS",Detail,-
24,22774,INS 218E,Strength of Materials II,Physical (Face to face),Ünal Aldemir,INB INB,Tuesday Friday,13:30/15:29 10:30/12:29,B303 B303,45,13,-,"INS_LS, INSE_LS",Detail,-
25,22778,INS 226,Mühendis Matematik Model Esas,Physical (Face to face),Yavuz Selim Güçlü,INB,Tuesday,09:30/12:29,B205,55,55,-,INS_LS,-,-
26,22786,INS 230,Yapı Malzemesi,Physical (Face to face),Hasan Nuri Türkmenoğlu,INB,Thursday,13:30/16:29,B201,45,46,-,INS_LS,Detail,-
27,22789,INS 230,Yapı Malzemesi,Physical (Face to face),Hasan Yıldırım,INB,Thursday,13:30/16:29,B205,45,51,-,INS_LS,Detail,-
28,22791,INS 230,Yapı Malzemesi,Physical (Face to face),Ünal Anıl Doğan,INB,Wednesday,09:30/12:29,B201,45,33,-,INS_LS,Detail,-
29,22796,INS 230E,Building Materials,Physical (Face to face),Özkan Şengül,INB,Wednesday,09:30/12:29,A205,45,16,-,"INS_LS, INSE_LS",Detail,-
