,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22886,JEO 121,Yer Bilimlerinde Tas. Geometri,Physical (Face to face),Şenel Özdamar,MDB,Friday,08:30/11:29,A301,60,30,-,JEF_LS,-,-
1,22420,JEO 204E,Petrog. of Magmatic Rocks,Physical (Face to face),Mehmet Keskin,MDB,Tuesday,08:30/11:29,A201,30,19,-,"JEO_LS, JEO_YD, JEOE_LS",Detail,-
2,22549,JEO 204E,Petrog. of Magmatic Rocks,Physical (Face to face),"Şafak Altunkaynak , Alp Ünal",MDB,Tuesday,13:30/16:29,A105,30,24,-,"JEO_LS, JEO_YD, JEOE_LS",Detail,-
3,22406,JEO 211,Mineraloji,Physical (Face to face),Bala Ekinci Şans,MDB,Monday,08:30/11:29,B204,30,31,-,JEO_LS,Detail,-
4,22410,JEO 211,Mineraloji,Physical (Face to face),Fatma Gülmez Yıldırım,MDB,Thursday,14:30/17:29,A203,30,8,-,JEO_LS,Detail,-
5,24982,JEO 222,Jeomekanik,Physical (Face to face),Yılmaz Mahmutoğlu,MDB,Friday,08:30/12:29,A101,60,17,-,"JEF_LS, JEO_LS",Detail,-
6,22552,JEO 256E,Structural Geology,Physical (Face to face),Şule Gürboğa,MDB,Wednesday,12:30/15:29,B205,80,48,-,"JEO_LS, JEO_YD, JEOE_LS",Detail,-
7,22554,JEO 262E,Stratigraphy,Physical (Face to face),Cengiz Zabcı,MDB,Thursday,08:30/10:29,A203,72,72,-,"JEO_LS, JEO_YD, JEOE_LS",-,-
8,22870,JEO 263,Ölçme Bilgisi,Physical (Face to face),Büşra Kartal,INB,Monday,13:30/16:29,A303,70,51,-,JEO_LS,-,-
9,22559,JEO 311,Şev Stabilitesi Analizleri,Physical (Face to face),Erkan Bozkurtoğlu,MDB,Thursday,14:30/17:29,315,20,7,-,JEO_LS,-,-
10,22625,JEO 312,Saha Jeoloji,Physical (Face to face),Gürsel Sunal,MDB,Monday,13:30/17:29,A205,30,10,-,"JEO_LS, JEO_YD",Detail,-
11,22887,JEO 315,Jeolojide Arz. ve Hrta Tekn.,Physical (Face to face),Ufuk Tarı,MDB,Wednesday,12:30/15:29,A302,60,48,-,JEF_LS,-,-
12,22627,JEO 322,Hidrojeoloji,Physical (Face to face),Erkan Bozkurtoğlu,MDB,Tuesday,09:30/13:29,A302,60,9,-,"JEO_LS, JEO_YD",Detail,-
13,22556,JEO 330,Maden Yatakları,Physical (Face to face),"Emin Çiftçi , Mustafa Kaya",MDB,Monday,08:30/12:29,B208,60,55,-,JEO_LS,Detail,-
14,22560,JEO 335,Uygulamalı Zemin Mekaniği,Physical (Face to face),Erkan Bozkurtoğlu,MDB,Thursday,08:30/11:29,B204,20,9,-,JEO_LS,-,-
15,22550,JEO 348,Sedimenter Kayaç Petrografisi,Physical (Face to face),Kürşad Kadir Eriş,MDB,Wednesday,08:30/11:29,B204,31,30,-,"JEO_LS, JEO_YD",Detail,-
16,22551,JEO 348,Sedimenter Kayaç Petrografisi,Physical (Face to face),Hüsnü Serdar Akyüz,MDB,Friday,08:30/11:29,B206,30,9,-,"JEO_LS, JEO_YD",Detail,-
17,22558,JEO 355E,Sedimentology,Physical (Face to face),Gülsen Uçarkuş,MDB,Wednesday,10:30/12:29,A202,60,38,-,"JEO_LS, JEO_YD, JEOE_LS",-,-
