,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21829,KON 218,Ölçme Tekniği ve Algılayıcılar,Physical (Face to face),Yücel Aydın,EEB,Friday,08:30/12:29,5202,75,39,-,"EHB_LS, ELK_LS, KOM_LS, MKN_LS",-,-
1,21830,KON 218E,Measurement and Sensors,Physical (Face to face),Onur Akbatı,EEB,Friday,08:30/12:29,5204,80,85,-,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, MKN_LS",-,-
2,21831,KON 218E,Measurement and Sensors,Physical (Face to face),Onur Akbatı,EEB,Thursday,08:30/12:29,6309,80,110,-,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, MKN_LS",-,-
3,25657,KON 224,Ölçme ve Enstrümantasyon,Ek Sınav,Yücel Aydın,-,-,-/-,-,0,1,-,-,-,-
4,25286,KON 224E,Measurement&Instrumentation,Physical (Face to face),Yücel Aydın,BBB,Tuesday,13:30/16:29,Z-20,60,8,-,"BLG_LS, BLGE_LS, CEN_LS",-,-
5,21832,KON 301E,System Modelling&Simulation,Physical (Face to face),Abdurrahman Yılmaz,EEB,Friday,08:30/12:29,5105,50,44,EEE_LS/10/9 | Diğer/40/35,"EEE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",-,-
6,21833,KON 306,Bilgisayar Kontrollü Sistemler,Physical (Face to face),Ahmet Onat,EEB EEB,Tuesday Wednesday,15:30/17:29 12:30/14:29,5102 5304,80,81,-,"KOM_LS, ROS_LS",Detail,-
7,21834,KON 306E,Computer Controlled Systems,Physical (Face to face),Mahdi Baradarannia,EEB EEB,Tuesday Wednesday,15:30/17:29 12:30/14:29,5104 6309,80,70,-,"EEE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",Detail,-
8,25653,KON 309E,Microcontroller Systems,Ek Sınav,Emre Dincel,-,-,-/-,-,0,1,-,-,Detail,-
9,21836,KON 313E,Feedback Control Systems,Physical (Face to face),Kemal Uçak,EEB,Tuesday,12:30/15:29,5302,80,80,-,"CEN_LS, EEE_LS, EHB_LS, EHBE_LS, EHS_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, MKN_LS",Detail,-
10,21839,KON 313E,Feedback Control Systems,Physical (Face to face),Tufan Kumbasar,EEB,Tuesday,12:30/15:29,5304,80,84,-,"CEN_LS, EEE_LS, EHB_LS, EHBE_LS, EHS_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, MKN_LS",Detail,-
11,21843,KON 314,Kontrol Sistem Tasarımı,Physical (Face to face),Mehmet Turan Söylemez,EEB EEB,Monday Thursday,12:30/14:29 15:30/17:29,2104 6307,70,70,-,"KOM_LS, ROS_LS",Detail,-
12,21858,KON 314E,Control System Design,Physical (Face to face),İlker Üstoğlu,EEB EEB,Monday Friday,12:30/14:29 15:30/17:29,2106 6307,70,59,-,"EEE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",Detail,-
13,21862,KON 315,Elektronik Enstrümantasyon,Physical (Face to face),Yücel Aydın,EEB,Friday,14:00/17:59,5202,50,9,-,KOM_LS,Detail,-
14,21869,KON 318E,Introduction to Robotics,Physical (Face to face),Hakan Temeltaş,EEB,Tuesday,12:30/15:29,6309,85,89,-,"KOM_LS, KOME_LS",-,-
15,21872,KON 324E,Sensors&Transducers in Contr.,Physical (Face to face),Ali Fuat Ergenç,EEB,Thursday,12:30/15:29,5205,50,40,END_LS/2/0 | ENDE_LS/3/2 | Diğer/45/38,"EEE_LS, END_LS, ENDE_LS, KOM_LS, KOME_LS, MKN_LS, ROS_LS, ROSE_LS",-,-
