,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23508,BBL 514E,Pattern Recognition&Analysis,Physical (Face to face),Abdulkerim Çapar,BEB,Wednesday,09:30/12:29,--,45,42,-,-,-,-
1,24907,BBL 536E,Data Science,Physical (Face to face),"Sefer Baday , Volkan Müjdat Tiryaki",BEB,Tuesday,13:30/16:29,--,40,39,-,-,-,-
2,23519,BBL 540E,Quantum Data Structures and Algorithms,Physical (Face to face),Deniz Türkpençe,BEB,Friday,09:30/12:29,--,15,13,-,-,-,-
3,23517,BBL 588E,Advanced Topics in Image Analysis,Physical (Face to face),Volkan Müjdat Tiryaki,BEB,Tuesday,09:00/11:59,--,30,26,-,-,-,-
4,23512,BBL 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Abdulkerim Çapar,BEB,Wednesday,13:30/15:29,--,30,20,-,-,-,-
5,25313,BBL 598,Proje,Physical (Face to face),Muammer Altan Çakır,-,-,-/-,-,5,1,-,-,-,-
6,23521,BBL 606,Veri Madenciliği,Physical (Face to face),Nisa Özge Önal Tuğrul,BEB,Thursday,13:30/16:29,--,30,24,-,-,-,-
7,23514,BBL 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Abdulkerim Çapar,BEB,Wednesday,15:30/17:29,--,30,1,-,-,-,-
8,23530,BBL DRT,Tez Çalışması,Physical (Face to face),Sefer Baday,-,-,-/-,-,200,4,-,-,-,-
9,23535,BBL YET,Yeterlik Aşaması,Physical (Face to face),Sefer Baday,-,-,-/-,-,200,3,-,-,-,-
10,23524,BBL YLT,Tez Çalışması,Physical (Face to face),Sefer Baday,-,-,-/-,-,200,31,-,-,-,-
