,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25450,BLG 501E,Discrete Mathematics,Physical (Face to face),İbrahim Özkol,undeclared,Tuesday,13:00/15:59,--,0,9,-,-,-,-
1,21323,BLG 506E,Computer Vision,Physical (Face to face),Uluğ Bayazıt,BBB,Wednesday,13:30/16:29,Z-23,25,15,-,-,-,-
2,25445,BLG 506E,Computer Vision,Physical (Face to face),Yusuf Hüseyin Şahin,undeclared,Wednesday,09:00/11:59,İlgili Bölümce Açıklanacak,0,25,-,-,-,-
3,21317,BLG 514E,Computer Networ. Basic Protoc.,Physical (Face to face),Abdül Halim Zaim,BBB,Wednesday,09:30/12:29,Z-23,25,11,-,-,-,-
4,25448,BLG 514E,Computer Networ. Basic Protoc.,Physical (Face to face),Abdül Halim Zaim,undeclared,Tuesday,09:00/11:59,--,0,8,-,-,-,-
5,21339,BLG 517E,Modeling&Perfor.Anal.of Net.,Physical (Face to face),Mehmet Akif Yazıcı,BBB,Thursday,09:30/12:29,KON1,35,16,-,-,-,-
6,25444,BLG 517E,Modeling&Perfor.Anal.of Net.,Physical (Face to face),Mehmet Akif Yazıcı,undeclared,Friday,14:00/16:59,--,0,5,-,-,-,-
7,21340,BLG 519E,Wireless Network Protocols,Physical (Face to face),Gökhan Seçinti,BBB,Thursday,13:30/16:29,Z-23,25,12,-,-,-,-
8,21291,BLG 520E,Cryptography,Physical (Face to face),Sıddıka Berna Örs Yalçın,BBB,Monday,12:30/15:29,102,25,21,-,-,-,-
9,25451,BLG 520E,Cryptography,Physical (Face to face),Mehmet Tahir Sandıkkaya,undeclared,Tuesday,13:00/15:59,--,0,12,-,-,-,-
10,21308,BLG 521E,Artificial Intelligence,Physical (Face to face),Yavuz Köroğlu,BBB,Tuesday,09:30/12:29,Z-21,47,46,BLG_BG_YL/35/35 | BLG_BG_DR/5/1 | Diğer/7/10,"BLG_BG_DR, BLG_BG_YL",-,-
11,21336,BLG 527E,Machine Learning,Physical (Face to face),Yusuf Yaslan,BBB,Thursday,09:30/12:29,Z-23,45,31,BLG_BG_DR/5/0 | BLG_BG_YL/35/26 | Diğer/5/5,"BLG_BG_DR, BLG_BG_YL",-,-
12,25446,BLG 527E,Machine Learning,Physical (Face to face),Mehmet Keskinöz,undeclared,Thursday,09:00/11:59,--,0,12,-,-,-,-
