,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23410,BLU 501,Elektronik Haberleşme Düzen.,Physical (Face to face),Ertuğrul Karaçuha,BEB,Tuesday,14:00/16:59,--,25,8,-,-,-,-
1,23510,BLU 505,İş Süreçleri Yönetimi,Physical (Face to face),Kevser Şimşek,BEB,Monday,09:00/11:59,--,25,15,-,-,-,-
2,23483,BLU 513E,Fuzzy Log.Pr.for Sci.&En.App.,Physical (Face to face),Gülcihan Özdemir,BEB,Thursday,13:30/16:29,--,15,10,-,-,-,-
3,23507,BLU 520,Katılımcı Demokrasi ve Siyasette Bilişim,Physical (Face to face),Alper Özkök,BEB,Friday,09:00/11:59,--,25,1,-,-,-,-
4,23532,BLU 526E,Mathem.Meth.for Signal Proc.,Physical (Face to face),Hakan Alakoca,BEB,Tuesday,13:30/16:29,--,25,11,-,-,-,-
5,23525,BLU 539E,Spec.Topics in Applied Infor.,Physical (Face to face),Rıza Babaei,BEB,Friday,13:30/16:29,--,25,4,-,-,-,-
6,23522,BLU 546,Adli Bilişim,Physical (Face to face),Vedat Delican,BEB,Thursday,13:30/16:29,--,25,3,-,-,-,-
7,23476,BLU 602E,Smart Anten.for Wirele.Com.,Physical (Face to face),Vasil Tabatadze,BEB,Monday,09:30/12:29,--,25,4,-,-,-,-
8,23478,BLU 614E,Method of Moment in Electroma.,Physical (Face to face),Vasil Tabatadze,BEB,Tuesday,09:30/12:29,--,25,1,-,-,-,-
9,23504,BLU 615,Gizlilik&Kişisel Veri.Korunma.,Physical (Face to face),Çiçek Ersoy Kekevi,BEB,Friday,14:00/16:59,--,25,6,-,-,-,-
10,23490,BLU 621E,Computational Neuroscience,Physical (Face to face),Murat Okatan,BEB,Monday,09:30/12:29,--,25,1,-,-,-,-
11,24934,BLU 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Volkan Müjdat Tiryaki,BEB,Wednesday,15:30/17:29,--,15,3,-,-,-,-
12,23546,BLU DRT,Tez Çalışması,Physical (Face to face),Behçet Uğur Töreyin,-,-,-/-,-,200,8,-,-,-,-
13,23547,BLU YET,Yeterlik Aşaması,Physical (Face to face),Behçet Uğur Töreyin,-,-,-/-,-,200,1,-,-,-,-
14,23548,BLU YLT,Tez Çalışması,Physical (Face to face),Behçet Uğur Töreyin,-,-,-/-,-,200,12,-,-,-,-
