,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23683,BVT 503,Bilim Aletler.Tarih.Gelişimi,Physical (Face to face),"Burak Barutçu , Murat Çakan",ENB,Wednesday,14:30/17:29,--,15,4,-,-,-,-
1,23678,BVT 507E,Sc.Te.in the Mis.Ac.in Mi.E.,Physical (Face to face),Mehmet Ali Doğan,FEB,Friday,08:30/11:29,--,15,3,-,-,-,-
2,23674,BVT 508E,Scien.&Tec.during the Ind.Rev.,Physical (Face to face),Saltuk Duran,FEB,Thursday,14:30/17:29,--,15,8,-,-,-,-
3,23677,BVT 511,Tarihte Mühendislik,Physical (Face to face),Aytekin Çökelez,FEB,Wednesday,08:30/11:29,--,15,8,-,-,-,-
4,23686,BVT 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Aytekin Çökelez,FEB,Monday,08:30/10:29,--,15,3,-,-,-,-
5,22839,BVT 608,Bilim&Tekn.Tarihin.Metodoloji,Physical (Face to face),Aytekin Çökelez,FEB,Wednesday,11:30/14:29,--,15,3,-,-,-,-
6,22846,BVT 613E,History of Medicine,Physical (Face to face),Tuncay Zorlu,FEB,Tuesday,11:30/14:29,--,15,6,-,-,-,-
7,22851,BVT 614E,History of Nuclear Energy,Physical (Face to face),Mehmet Kerim Ramazanoğlu,FEB,Thursday,11:30/14:29,L300,15,6,-,-,-,-
8,22857,BVT 624,Matematik Tarihi II,Physical (Face to face),Baha Zafer,FEB,Tuesday,08:30/11:29,--,15,5,-,-,-,-
9,22908,BVT 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Aytekin Çökelez,FEB,Wednesday,15:30/17:29,--,15,1,-,-,-,-
10,22911,BVT DRT,Tez çalışması,Physical (Face to face),Aytekin Çökelez,-,-,-/-,-,200,21,-,-,-,-
11,22912,BVT YET,Yeterlik Aşaması,Physical (Face to face),Aytekin Çökelez,-,-,-/-,-,200,2,-,-,-,-
12,23691,BVT YLT,Tez çalışması,Physical (Face to face),Aytekin Çökelez,-,-,-/-,-,200,6,-,-,-,-
