,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23858,CBM 503E,Fate&Trans.of Poll.in the Env.,Physical (Face to face),"Melike Gürel , Elif Pehlivanoğlu",INB,Wednesday,12:30/15:29,--,50,22,-,-,-,-
1,23859,CBM 505E,Advanc.in Biolo.Proce.&Treat.,Physical (Face to face),"Emine Çokgör , Hayrettin Güçlü İnsel",INB,Monday,13:30/16:29,--,30,7,-,-,-,-
2,23861,CBM 508E,Anae.Trea.for Ind.&Mun.Wastew.,Physical (Face to face),Mahmut Altınbaş,INB,Friday,09:30/12:29,--,30,5,-,-,-,-
3,23863,CBM 534,Su Yönetiminde Özel Konular,Physical (Face to face),Tuğba Evrim Maden,INB,Friday,09:30/12:29,--,30,5,-,-,-,-
4,23864,CBM 543,Su Kimyası,Physical (Face to face),Nuray Işık Kabdaşlı,INB,Monday,09:30/12:29,B102,30,3,-,-,-,-
5,23866,CBM 544E,Waste Min.Recycl.&Clean Techn.,Physical (Face to face),Fatma Fatoş Babuna,INB,Friday,14:00/16:59,--,30,26,-,-,-,-
6,23868,CBM 549E,Industrial Ecol.&Sustain.Eng.,Physical (Face to face),Fatma Fatoş Babuna,INB,Thursday,08:30/11:29,--,30,12,-,-,-,-
7,23871,CBM 556E,Sustainable Development and Sustainable Cities,Physical (Face to face),Börte Köse Mutlu,INB,Tuesday,09:30/12:29,--,15,19,-,-,-,-
8,23873,CBM 558E,Nutr.&Water Cycl.in Circ.Econ.,Physical (Face to face),"Mustafa Evren Erşahin , Mahmut Ekrem Karpuzcu , Hale Özgün Erşahin",INB,Thursday,13:30/16:29,--,30,12,-,-,-,-
9,23878,CBM 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Çiğdem Gömeç,INB,Wednesday,09:30/11:29,--,30,7,-,-,-,-
10,23881,CBM 608,Çevre Müh. Membran Prosesler,Physical (Face to face),"İsmail Koyuncu , Vahıd Vatanpour Sargheın , Türker Türken",INB,Tuesday,13:30/16:29,--,30,7,-,-,-,-
11,23884,CBM 618E,Atmospheric Chemistry,Physical (Face to face),Burçak Kaynak Tezel,INB,Friday,09:30/12:29,--,30,3,-,-,-,-
12,23886,CBM 630E,Valor.of Was./Was.W.w.Bio.App.,Physical (Face to face),Mahmut Altınbaş,INB,Thursday,12:30/15:29,--,30,8,-,-,-,-
13,23906,CBM DRT,Tez Çalışması,Physical (Face to face),Osman Atilla Arıkan,-,-,-/-,-,200,28,-,-,-,-
14,23915,CBM YET,Yeterlik Aşaması,Physical (Face to face),Osman Atilla Arıkan,-,-,-/-,-,200,5,-,-,-,-
15,23922,CBM YLT,Tez Çalışması,Physical (Face to face),Osman Atilla Arıkan,-,-,-/-,-,200,24,-,-,-,-
