,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24143,CHZ 501E,Chemistry Of Flotation&Floccul,Physical (Face to face),"Gülay Bulut , Orhan Özdemir",MDB,Monday,09:30/12:29,--,20,5,-,-,-,-
1,24147,CHZ 518,Cevher Hazırlama Tesis.Projele,Physical (Face to face),Kudret Tahsin Perek,MDB,Wednesday,09:30/12:29,--,20,7,-,-,-,-
2,24148,CHZ 524,Cevher Hazır.Bilg.Uygu.&Progr.,Physical (Face to face),"Kudret Tahsin Perek , Emrah Tuğcan Tuzcu",MDB,Thursday,09:30/12:29,--,20,3,-,-,-,-
3,24149,CHZ 526E,Glass Raw Materials&Enrichment,Physical (Face to face),Murat Olgaç Kangal,MDB,Monday,13:30/16:29,--,20,6,-,-,-,-
4,24151,CHZ 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Feridun Boylu,MDB,Wednesday,13:30/15:29,--,20,2,-,-,-,-
5,24166,CHZ 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Feridun Boylu,MDB,Wednesday,15:30/17:29,--,20,1,-,-,-,-
6,24163,CHZ 604,Aglomerasyon Teknolojileri,Physical (Face to face),"Alim Gül , Şükriye Beste Aydın",MDB,Friday,13:30/16:29,--,10,1,-,-,-,-
7,24171,CHZ 608,Cevher Hazırl.Endüst.Sürdür.,Physical (Face to face),Hüseyin Baştürkcü,MDB,Monday,13:30/16:29,--,10,5,-,-,-,-
8,24172,CHZ 612,Zenginleş.İşlem.Model.&Simul.,Physical (Face to face),"Yusuf Enes Pural , Feridun Boylu",MDB,Friday,13:30/16:29,--,10,3,-,-,-,-
9,24184,CHZ DRT,Tez Çalışması,Physical (Face to face),Feridun Boylu,-,-,-/-,-,200,8,-,-,-,-
10,24187,CHZ YLT,Tez Çalışması,Physical (Face to face),Feridun Boylu,-,-,-/-,-,200,18,-,-,-,-
