,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22598,CKY 504,Bina Tip.Bağlı Aydınlat.Sorunl,Physical (Face to face),Feride Şener Yılmaz,MMB,Monday,09:30/12:29,123B,15,9,-,-,-,-
1,22594,CKY 506,Yapma Çevrede Enerji Korunumu,Physical (Face to face),Gülten Manioğlu,MMB,Tuesday,09:30/12:29,136B,10,8,-,-,-,-
2,22581,CKY 515,Bina Tipolojisi. Bağ.Akus.Srnl,Physical (Face to face),Tarık Serhat Bozkurt,MMB,Friday,09:30/12:29,3506,15,9,-,-,-,-
3,22580,CKY 522,Mim.Bitirme Malz.ve Uygulam.,Physical (Face to face),Mehmet Serkan Yatağan,MMB,Thursday,13:30/16:29,319,20,11,-,-,-,-
4,22573,CKY 528E,Users Requir.&Built.Env.Stand.,Physical (Face to face),"Seden Acun Özgünler , Nuri Serteser , Hülya Kuş",MMB,Tuesday,09:30/12:29,319,28,24,-,-,-,-
5,22577,CKY 529,Proje II,Physical (Face to face),Halet Almıla Büyüktaşkın,MMB,Monday,09:30/12:29,302,30,15,-,-,-,-
6,22575,CKY 533,Proje I,Physical (Face to face),Halet Almıla Büyüktaşkın,MMB,Monday,13:30/16:29,123B,30,9,-,-,-,-
7,22591,CKY 536E,Ecological Building Materials,Physical (Face to face),Leyla Tanaçan,MMB,Thursday,09:30/12:29,123B,11,11,-,-,-,-
8,22590,CKY 546,Hasarlı Yapıların Güçlendiril.,Physical (Face to face),Necdet Torunbalcı,MMB,Tuesday,13:30/16:29,134,15,11,-,-,-,-
9,22579,CKY 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Cenk Üstündağ,MMB,Wednesday,15:30/17:29,315,25,11,-,-,-,-
10,22599,CKY YLT,Tez Çalışması,Physical (Face to face),Halet Almıla Büyüktaşkın,-,-,-/-,-,200,22,-,-,-,-
