,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24803,DTM 511,Açık Deniz Yapılarına Etkileyen Hidrodinamik Dalga Kuvvetleri,Physical (Face to face),Hakan Akyıldız,MEDC,Tuesday,09:00/11:59,2D11,20,3,-,-,-,-
1,25175,DTM 518E,Dynamics of Ocean Waves,Physical (Face to face),Deniz Bayraktar Bural,MEDC,Monday,09:30/12:29,2D17,20,16,-,-,-,-
2,22025,DTM 523E,Bio.Tech.&Risk Asses.in Mar.R.,Physical (Face to face),Burak Karacık,MEDC,Thursday,14:30/17:29,2D15,20,4,-,-,-,-
3,22027,DTM 525E,Risk Analy.in Ship&Mar.Tech.,Physical (Face to face),Ayhan Menteş,MEDC,Wednesday,10:30/13:29,1D4,20,4,-,-,-,-
4,22031,DTM 528E,Gemi&Deniz Tekno.Müh.Özel Kon.,Virtual (Online),Bülent Düz,Online/Çevrimiçi,Friday,16:30/19:29,(Tanımsız),20,9,-,-,-,-
5,22029,DTM 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Ebru Sarıöz,MEDC,Wednesday,15:30/17:29,3BİL1,20,7,-,-,-,-
6,22050,DTM 612E,Stabili.&Safe.Anal.of Flo.Obj.,Physical (Face to face),Hakan Akyıldız,INB,Monday,13:30/16:29,A201,20,1,-,-,-,-
7,22051,DTM 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Sevil Deniz Yakan Dündar,MEDC,Wednesday,15:30/17:29,1D3,20,1,-,-,-,-
8,22052,DTM DRT,Tez Çalışması,Physical (Face to face),Serdar Aytekin Köroğlu,-,-,-/-,-,200,12,-,-,-,-
9,22053,DTM YET,Yeterlik Aşaması,Physical (Face to face),Serdar Aytekin Köroğlu,-,-,-/-,-,200,4,-,-,-,-
10,22055,DTM YLT,Tez Çalışması,Physical (Face to face),Serdar Aytekin Köroğlu,-,-,-/-,-,200,8,-,-,-,-
