,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22267,DUM 501E,Engineering Mathematics,Physical (Face to face),Bayram Barış Kızılsaç,DZB-SEM,Monday,11:30/14:29,--,20,11,-,-,-,-
1,22268,DUM 505E,Maritime Organizations,Physical (Face to face),Fırat Bolat,DZB-SEM,Wednesday,14:30/17:29,--,20,10,-,-,-,-
2,22269,DUM 511,Gemilerde Enerji Yönetimi,Physical (Face to face),Veysi Başhan,DZB-SEM,Monday,14:30/17:29,--,20,2,-,-,-,-
3,22270,DUM 517E,Spec. Topi.in Marit.Trans.Eng.,Physical (Face to face),Yasin Arslanoğlu,DZB-SEM,Wednesday,08:30/11:29,--,20,6,-,-,-,-
4,22271,DUM 518,Denizcilikte Risk Yönetimi,Physical (Face to face),"Burak Zincir , Özcan Durukan",DZB-SEM,Tuesday,14:30/17:29,--,20,11,-,-,-,-
5,22274,DUM 525E,Rese.Metho.in Marit.Trans.Eng.,Physical (Face to face),Esma Uflaz,DZB-SEM,Thursday,11:30/14:29,--,20,4,-,-,-,-
6,22272,DUM 526E,Maritime Environment Manage.,Physical (Face to face),"Yasin Arslanoğlu , Buğra Arda Zincir",DZB-SEM,Wednesday,11:30/14:29,--,20,2,-,-,-,-
7,22273,DUM 538E,Advanced Maritime Chemistry,Physical (Face to face),Emrah Şık,DZB-SEM,Thursday,08:30/11:29,--,20,3,-,-,-,-
8,22276,DUM 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Tayfun Uyanık,DZB-SEM,Tuesday,10:30/12:29,--,20,5,-,-,-,-
9,22278,DUM 612,Deniz Kazaları Analizi,Physical (Face to face),Ahmet Lutfi Tunçel,DZB-SEM,Monday,14:30/17:29,--,10,5,-,-,-,-
10,22279,DUM 615E,Adv.Top.in Mariti.Transp.Eng.,Physical (Face to face),Burak Zincir,DZB-SEM,Wednesday,11:30/14:29,--,10,2,-,-,-,-
11,22280,DUM 618,Türk Boğazları Çalışmaları,Physical (Face to face),"Özcan Arslan , Fırat Bolat",DZB-SEM,Monday,11:30/14:29,--,10,4,-,-,-,-
12,22282,DUM 624E,Modelling&Simulati.in Mariti.,Physical (Face to face),Hakan Demirel,DZB-SEM,Tuesday,10:30/13:29,--,10,1,-,-,-,-
13,22284,DUM 626E,Analy.of Tech.Ship.Manag.Proc.,Physical (Face to face),"Özcan Arslan , Esma Uflaz",DZB-SEM,Tuesday,08:30/11:29,--,10,3,-,-,-,-
14,22283,DUM 628E,Maritime Organization Manage.,Physical (Face to face),Leyla Tavacıoğlu,DZB-SEM,Tuesday,11:30/14:29,--,10,4,-,-,-,-
15,22277,DUM 636,Deniz ve Diğer Yüzer Yapılı Güneş Enerji Sistemleri,Physical (Face to face),Zuhal Er,DZB-SEM,Tuesday,13:30/16:29,--,10,2,-,-,-,-
16,22285,DUM 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Burak Zincir,DZB-SEM,Wednesday,15:30/17:29,--,10,6,DUM_DU_DR/10/6 | Diğer/0/0,DUM_DU_DR,-,-
17,22288,DUM DRT,Tez Çalışması,Physical (Face to face),Tayfun Uyanık,-,-,-/-,-,200,28,-,-,-,-
18,22287,DUM YET,Yeterlik Aşaması,Physical (Face to face),Tayfun Uyanık,-,-,-/-,-,200,5,-,-,-,-
19,22286,DUM YLT,Tez Çalışması,Physical (Face to face),Tayfun Uyanık,-,-,-/-,-,200,15,-,-,-,-
