,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23175,EBT 501E,Engineering Mathematics,Physical (Face to face),Coşkun Fırat,ENB,Tuesday,09:30/12:29,--,50,26,-,-,-,-
1,23180,EBT 502E,Advanced Fluid Dynamics,Physical (Face to face),"Senem Şentürk Lüle , Sevan Karabetoğlu",ENB,Thursday,13:30/16:29,--,20,6,-,-,-,-
2,23183,EBT 505E,Advanced Heat&Mass Transfer,Physical (Face to face),Hanife Tuba Okutucu Özyurt,ENB,Wednesday,09:30/12:29,--,20,11,-,-,-,-
3,25295,EBT 506,Isı Değiştiricileri,Physical (Face to face),Adnan Midilli,ENB,Wednesday,09:30/12:29,--,10,5,-,-,-,-
4,23189,EBT 510,Temiz Yanma Teknolojileri,Physical (Face to face),"Nilgün Yavuz , Sevan Karabetoğlu",ENB,Monday,13:30/16:29,--,20,4,-,-,-,-
5,23193,EBT 523E,Advanced Solid State Physics,Physical (Face to face),Nilgün Baydoğan,ENB,Tuesday,13:30/16:29,--,20,2,-,-,-,-
6,23201,EBT 526,Yakıt Hücreleri,Physical (Face to face),"Nilgün Yavuz , Mehmet Suha Yazıcı",ENB,Tuesday,13:30/16:29,--,20,7,-,-,-,-
7,23206,EBT 530E,Energy Efficient Buildi.Design,Physical (Face to face),Hatice Sözer,ENB,Tuesday,09:30/12:29,--,20,10,-,-,-,-
8,23208,EBT 534,Biyokütle ve Dönüşüm Teknoloji,Physical (Face to face),"Serdar Yaman , Hanzade Açma",KMB,Wednesday,09:30/12:29,D202,10,10,-,-,-,-
9,23213,EBT 536,Enerji Ormancılığı ve Biokütle,Physical (Face to face),"Serdar Yaman , Hanzade Açma",KMB,Monday,09:30/12:29,D305,10,7,-,-,-,-
10,23217,EBT 538,Enerji Ekonomisi ve Politikala,Physical (Face to face),"Mehmet Özgür Kayalıca , Sermin Onaygil",ENB,Tuesday,09:30/12:29,--,30,28,-,-,-,-
11,23221,EBT 542,Foto-Voltaik Güç Sistemleri,Physical (Face to face),"Burak Barutçu , Zehir Fatih Öztürk",ENB,Monday,13:30/16:29,--,20,3,-,-,-,-
12,23226,EBT 544,Enerji Verimli Aydınlat.Tekn.,Physical (Face to face),"Önder Güler , Sermin Onaygil",ENB,Thursday,09:30/12:29,--,20,3,-,-,-,-
13,23233,EBT 547,Ener.Sistem.Ölçme Teknikleri,Physical (Face to face),"Burak Barutçu , Önder Güler , Sevan Karabetoğlu",ENB,Tuesday,13:30/16:29,--,35,31,-,-,-,-
14,23243,EBT 566E,Battery Technologies and Sustainability,Physical (Face to face),Neslihan Yuca Doğdu,ENB,Wednesday,13:30/16:29,--,20,13,-,-,-,-
15,23245,EBT 567,Elektromanyetik Enerji Hasatlama,Physical (Face to face),Bilal Tütüncü,ENB,Tuesday,13:30/16:29,--,10,1,-,-,-,-
16,23250,EBT 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Mustafa Kemal Kaymak,ENB,Friday,14:30/16:29,--,20,12,-,-,-,-
17,23263,EBT 609E,Electrochemical Energy Conversion and Storage,Physical (Face to face),Mehmet Suha Yazıcı,ENB,Wednesday,09:30/12:29,--,25,5,-,-,-,-
18,23287,EBT 617,Enerji Bilim&Tek.İleri Konular,Physical (Face to face),Mehmet Özgür Kayalıca,ENB,Monday,09:30/12:29,--,25,2,-,-,-,-
19,23291,EBT 618E,Radiation Damage in Mater.,Physical (Face to face),Nilgün Baydoğan,ENB,Thursday,13:30/16:29,--,20,2,-,-,-,-
20,23293,EBT 628,Organ.-İnorg. Hibr. Güneş Hüc.,Physical (Face to face),"Nilgün Yavuz , Recep İşçi , Gökçen Gökçeli Kahveci",ENB,Wednesday,09:30/12:29,--,20,5,-,-,-,-
21,23295,EBT 629E,Artif.Int.Ap.&Mac.Le.in E.S.M.,Physical (Face to face),Mustafa Berker Yurtseven,ENB,Monday,13:30/16:29,--,26,24,-,-,-,-
22,25473,EBT 629E,Artif.Int.Ap.&Mac.Le.in E.S.M.,Virtual (Online),Mustafa Berker Yurtseven,Online/Çevrimiçi,Tuesday,13:30/16:29,--,10,2,-,-,-,-
23,23296,EBT 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Mustafa Kemal Kaymak,ENB,Wednesday,15:30/17:29,--,20,3,-,-,-,-
24,23299,EBT DRT,Tez Çalışması,Physical (Face to face),Burak Barutçu,-,-,-/-,-,200,19,-,-,-,-
25,23298,EBT YET,Yeterlik Aşaması,Physical (Face to face),Burak Barutçu,-,-,-/-,-,200,2,-,-,-,-
26,23297,EBT YLT,Tez Çalışması,Physical (Face to face),Burak Barutçu,-,-,-/-,-,200,36,-,-,-,-
