,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21081,ELK 501E,Power System Analysis,Physical (Face to face),Veysel Murat İstemihan Genç,EEB,Friday,14:30/17:29,5301,35,33,-,-,-,-
1,25453,ELK 501E,Power System Analysis,Physical (Face to face),Veysel Murat İstemihan Genç,undeclared,Wednesday,09:00/11:59,--,0,9,-,-,-,-
2,21094,ELK 502E,A.Neur.Netwoks for Syst.Identf,Physical (Face to face),Şahin Serhat Şeker,EEB,Tuesday,09:30/12:29,5306,15,15,-,-,-,-
3,21084,ELK 504E,Dynamics of Electric. Machines,Physical (Face to face),Lale Ergene,EEB,Friday,09:00/11:59,5101,40,38,-,-,-,-
4,25456,ELK 504E,Dynamics of Electric. Machines,Physical (Face to face),Lale Ergene,undeclared,Monday,09:00/11:59,--,0,12,-,-,-,-
5,21088,ELK 508E,Comput.Relaying for Power Syst,Physical (Face to face),Ömer Usta,EEB,Tuesday,09:30/12:29,5206,35,8,-,-,-,-
6,21090,ELK 509E,High Voltage Measurement Technique,Physical (Face to face),Suat İlhan,EEB,Wednesday,09:30/12:29,5306,15,7,-,-,-,-
7,21091,ELK 510,Elekt.Müh.Sonlu Eleman Yönt.,Physical (Face to face),Özcan Kalenderli,EEB,Monday,13:30/16:29,5105,15,16,-,-,-,-
8,21093,ELK 514,Güç Sistemlerinde Optimizasyon,Physical (Face to face),Belgin Türkay,EEB,Thursday,13:00/15:59,5306,15,6,-,-,-,-
9,25458,ELK 516,Senkron Mak.Bilg.Destekli Tas.,Physical (Face to face),Güven Kömürgöz Kırış,undeclared,Monday,13:00/15:59,--,0,8,-,-,-,-
10,21087,ELK 518,Enerji Sistemlerinin Kararlılığı,Physical (Face to face),Hatice Lale Zeynelgil,EEB,Monday,13:30/16:29,1303,35,19,-,-,-,-
11,25459,ELK 519E,Resonant Power Converters,Physical (Face to face),Deniz Yıldırım,undeclared,Monday,13:00/15:59,--,0,5,-,-,-,-
12,25455,ELK 571,Elek.Mak.Durum İz.&Arıza Tan.,Physical (Face to face),Şahin Serhat Şeker,undeclared,Wednesday,13:00/15:59,--,0,5,-,-,-,-
13,21098,ELK 585,Güç Sistemleri için Enerji Depolama,Physical (Face to face),Ahmet Cansız,EEB,Monday,09:30/12:29,5107,15,17,-,-,-,-
14,25452,ELK 585E,Energy Stora.for Power Sys.,Physical (Face to face),Ahmet Cansız,undeclared,Friday,09:00/11:59,--,0,15,-,-,-,-
15,21089,ELK 586,Elektrikli Taşıtlarda Enerji Depolama ve Şarj Sistemleri,Physical (Face to face),Murat Yılmaz,EEB,Wednesday,12:30/15:29,5306,15,15,-,-,-,-
16,21103,ELK 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Aydın Tarık Zengin,EEB,Monday,08:30/10:29,1303,35,11,-,-,-,-
17,25460,ELK 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Lale Erdem Atılgan,undeclared,Thursday,13:00/14:59,--,0,4,-,-,-,-
18,21100,ELK 602,Yüksek Gerilimde Yalıtım Koord,Physical (Face to face),Şükran Emel Önal,EEB,Friday,09:30/12:29,5306,15,9,-,-,-,-
19,21101,ELK 604,Enerji Sistem.Geçici Olaylar,Physical (Face to face),Mustafa Bağrıyanık,EEB,Monday,12:30/15:29,5306,15,5,-,-,-,-
20,21092,ELK 606E,Brush.Servom.and their Applic.,Physical (Face to face),Salih Barış Öztürk,EEB,Tuesday,13:00/15:59,5106,15,11,-,-,-,-
21,21102,ELK 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Güven Kömürgöz Kırış,EEB,Wednesday,15:30/17:29,5306,15,1,ELK_EL_DR/15/1 | Diğer/0/0,ELK_EL_DR,-,-
22,21106,ELK DRT,Tez Çalışması,Physical (Face to face),Güven Kömürgöz Kırış,-,-,-/-,-,200,31,-,-,-,-
23,21107,ELK YET,Yeterlik Aşaması,Physical (Face to face),Güven Kömürgöz Kırış,-,-,-/-,-,200,4,-,-,-,-
24,21104,ELK YLT,Tez Çalışması,Physical (Face to face),Güven Kömürgöz Kırış,-,-,-/-,-,200,67,-,-,-,-
