,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24775,END 505,Üretimde Sıralama ve Çizel.,Physical (Face to face),Murat Baskak,MSB,Wednesday,09:30/12:29,B13-B,30,6,-,-,-,-
1,24776,END 509,İnsan Makine Sistemleri Tasar.,Physical (Face to face),Ayşe Elvan Bayraktaroğlu,MSB,Tuesday,14:30/17:29,B02,30,7,-,-,-,-
2,24771,END 516,Lojistik&Tedarik Zinciri Yön.,Physical (Face to face),Şeyda Serdar Asan,MSB,Tuesday,09:30/12:29,B11,30,10,-,-,-,-
3,24781,END 566E,Industrial Data Analytics,Physical (Face to face),Mehmet Güray Güler,ISB,Friday,09:30/12:29,202,30,30,-,-,-,-
4,24767,END 570E,Special Topics in Indus.Eng.,Physical (Face to face),Burhaneddin Sandıkçı,ISB,Monday,09:30/12:29,210,30,10,-,-,-,-
5,24773,END 575E,Advanced Topics in MCDM Appl.,Physical (Face to face),Yusuf İlker Topcu,ISB,Tuesday,14:30/17:29,207,30,20,-,-,-,-
6,24779,END 577,Proje Planlama&Yönetimi,Physical (Face to face),Cahit Ali Bayraktar,MSB,Thursday,09:30/12:29,B12,30,16,-,-,-,-
7,24780,END 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Ayberk Soyer,ISB,Thursday,14:30/16:29,207,30,26,-,-,-,-
8,24770,END 616E,Quantit.Model.for Sup.Cha.Man.,Physical (Face to face),Şule Itır Satoğlu,ISB,Monday,14:30/17:29,206,30,4,-,-,-,-
9,24778,END 620,Endüstri Mühe.Çok değ.İst.An.,Physical (Face to face),Umut Asan,ISB,Thursday,09:30/12:29,210,30,11,-,-,-,-
10,24777,END 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Murat Baskak,ISB,Wednesday,15:30/17:29,--,30,6,-,-,-,-
11,24784,END DRT,Tez Çalışması,Physical (Face to face),Başar Öztayşi,-,-,-/-,-,200,23,-,-,-,-
12,24782,END YET,Yeterlik Aşaması,Physical (Face to face),Başar Öztayşi,-,-,-/-,-,200,6,-,-,-,-
13,24783,END YLT,Tez Çalışması,Physical (Face to face),Başar Öztayşi,-,-,-/-,-,200,26,-,-,-,-
