,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21250,EUT 512E,Directed Studies in Design,Physical (Face to face),Çiğdem Kaya,MMB,Tuesday,13:30/16:29,136A,5,2,-,-,-,-
1,21257,EUT 512E,Directed Studies in Design,Physical (Face to face),Özge Çelikoğlu,MMB,Thursday,13:30/16:29,3506,5,4,-,-,-,-
2,21258,EUT 512E,Directed Studies in Design,Physical (Face to face),Elif Küçüksayraç,MMB,Monday,13:30/16:29,136A,5,2,-,-,-,-
3,25130,EUT 551E,Design for Soci.Innov.&Susta.,Physical (Face to face),Çiğdem Kaya,MMB,Wednesday,09:30/12:29,3506,20,17,-,-,-,-
4,21259,EUT 552E,Theoretical Studies in Design,Physical (Face to face),Meltem Maralcan Gülmen,MMB,Thursday,13:30/16:29,119B,20,19,-,-,-,-
5,21261,EUT 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Layıka Ney Ece Arıburun Kırca,MMB,Wednesday,15:30/17:29,3506,20,7,-,-,-,-
6,25381,EUT 611,Teknoloji Odaklı Tasarım Araştırması,Physical (Face to face),Ahmet Hamurcu,MMB,Tuesday,09:30/12:29,305,10,7,-,-,-,-
7,21263,EUT 622E,Theor.in Discur.Infor.Design,Physical (Face to face),Özge Çelikoğlu,MMB,Tuesday,09:30/12:29,3501,10,6,-,-,-,-
8,21264,EUT 623E,Design Pedagogy,Physical (Face to face),Koray Gelmez,MMB,Wednesday,09:30/12:29,302,15,5,-,-,-,-
9,21262,EUT 624,Kullanıcı Deneyimi Araştırma.,Physical (Face to face),Ekrem Cem Alppay,MMB,Thursday,09:30/12:29,302,20,13,-,-,-,-
10,21265,EUT 696E,"Scien. Research, Ethic&Sem.",Physical (Face to face),Koray Gelmez,MMB,Wednesday,15:30/17:29,3501,20,2,-,-,-,-
11,21267,EUT DRT,Tez Çalışması,Physical (Face to face),Koray Gelmez,-,-,-/-,-,200,23,-,-,-,-
12,21270,EUT YET,Yeterlik Aşaması,Physical (Face to face),Koray Gelmez,-,-,-/-,-,200,2,-,-,-,-
13,21269,EUT YLT,Tez Çalışması,Physical (Face to face),Koray Gelmez,-,-,-/-,-,200,23,-,-,-,-
