,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21885,FIZ 502E,Statistical Physics,Physical (Face to face),Mehmet Özkan,FEB,Tuesday,09:30/12:29,B4_Z05,30,17,-,-,-,-
1,21888,FIZ 508E,Computational Physics,Physical (Face to face),Mehmet Kerim Ramazanoğlu,FEB,Monday,14:30/17:29,OBL2,30,24,-,-,-,-
2,21892,FIZ 515,Klasik Mekanik,Physical (Face to face),Ömer Faruk Dayı,FEB FEB,Monday Wednesday,09:30/11:29 09:30/10:29,B4_Z05 B4_Z05,30,11,-,-,-,-
3,21902,FIZ 516,Kuantum Mekaniği II,Physical (Face to face),Mehmet Cem Güçlü,FEB FEB,Monday Wednesday,11:30/12:29 10:30/12:29,B4_Z05 B4_Z05,30,11,-,-,-,-
4,21904,FIZ 532E,Lasers and Photonics,Physical (Face to face),Yağız Morova,FEB,Tuesday,13:30/16:29,B4_Z05,30,15,-,-,-,-
5,25497,FIZ 532E,Lasers and Photonics,Physical (Face to face),Yağız Morova,undeclared,Thursday,09:00/11:59,--,0,4,-,-,-,-
6,21906,FIZ 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Yağız Morova,FEB,Wednesday,15:00/16:59,--,30,6,-,-,-,-
7,21913,FIZ 621,Evrensel Ölçeklenme&Dalgalanm.,Physical (Face to face),Ahmet Nihat Berker,FEB,Friday,14:00/16:59,B4_Z05,30,3,-,-,-,-
8,21916,FIZ 635E,Advanced Astrophysics,Physical (Face to face),Kazım Yavuz Ekşi,FEB,Thursday,09:30/12:29,B4_Z05,30,11,-,-,-,-
9,21920,FIZ 651E,Speci.Topic.in Conden.Mat.Ph.I,Physical (Face to face),Tahsin Tuğrul Hakioğlu,FEB,Thursday,13:30/16:29,B4_Z05,30,2,-,-,-,-
10,21925,FIZ 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Sevim İşçi Turutoğlu,FEB,Wednesday,15:30/17:29,--,30,4,-,-,-,-
11,21954,FIZ DRT,Tez Çalışması,Physical (Face to face),Sevim İşçi Turutoğlu,-,-,-/-,-,200,15,-,-,-,-
12,21956,FIZ YET,Yeterlik Aşaması,Physical (Face to face),Sevim İşçi Turutoğlu,-,-,-/-,-,200,7,-,-,-,-
13,21957,FIZ YLT,Tez Çalışması,Physical (Face to face),Sevim İşçi Turutoğlu,-,-,-/-,-,200,25,-,-,-,-
