,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22730,GAM 503E,Game Project Studio,Physical (Face to face),Hüseyin Kutay Tinç,MED,Friday,09:30/12:29,B35,30,22,-,-,-,-
1,22735,GAM 5063E,Spec.Topics in Game Des.&Dev.,Physical (Face to face),Seda Güntan,MMB,Monday,13:30/16:29,119A,30,7,-,-,-,-
2,25379,GAM 506E,Spec.Topics in Game Des.&Dev.,Physical (Face to face),Halil İbrahim Erhan,BBB,Thursday,09:00/11:59,--,30,4,-,-,-,-
3,22740,GAM 507E,Artificial Intellig.in Games,Physical (Face to face),Arda İnceoğlu,MED,Tuesday,09:30/12:29,B35,30,11,-,-,-,-
4,22744,GAM 508E,Interact.&Human Expe.in Games,Physical (Face to face),Gökhan İnce,BBB,Monday,09:30/12:29,Z-21,30,12,-,-,-,-
5,22748,GAM 509E,Visualiza.in Virtual Reality,Physical (Face to face),"Oğuz Orkun Doma , Asena Kumsal Şen Bayram",MED,Wednesday,09:30/12:29,B33,30,9,-,-,-,-
6,22753,GAM 514E,Interactive Environments,Physical (Face to face),"Sema Alaçam , Emirhan Coşkun",BBB,Tuesday,13:30/16:29,101,30,6,-,-,-,-
7,22785,GAM 519E,Computer Graphics,Physical (Face to face),Selçuk Sümengen,BBB,Thursday,13:30/16:29,101,30,4,-,-,-,-
8,22772,GAM 520E,Guided Research,Physical (Face to face),Sema Alaçam,BBB,Thursday,09:30/12:29,--,30,2,-,-,-,-
9,22795,GAM 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),"Sema Alaçam , Bülent Arıkan",BBB,Wednesday,13:30/15:29,101,30,11,-,-,-,-
10,22800,GAM YLT,Tez Çalışması,Physical (Face to face),Sema Alaçam,-,-,-/-,-,200,30,-,-,-,-
