,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21200,GEM 502,Gemi Pervaneler.Hidrodinamiği,Physical (Face to face),Şakir Bal,MEDC,Monday,09:30/12:29,1D4,30,3,-,-,-,-
1,25222,GEM 512E,Ship Stability and Safety,Physical (Face to face),Erdem Üçer,MEDC,Monday,10:30/13:29,2D13,30,11,-,-,-,-
2,21202,GEM 514E,A.Exper.Methods in Naval Archt,Physical (Face to face),"Emin Korkut , Gökhan Tansel Tayyar",MEDC,Tuesday,13:30/16:29,3D19,30,13,-,-,-,-
3,21204,GEM 518E,M.Diesel Engines Sim.& Control,Physical (Face to face),Oğuz Salim Söğüt,MEDC,Monday,13:30/16:29,1D4,30,8,-,-,-,-
4,21206,GEM 520E,Hydrodynamics of Float.Bodies,Physical (Face to face),Şakir Bal,MEDC,Friday,09:00/11:59,2D18,30,13,-,-,-,-
5,21207,GEM 532E,Spe.Top.in Nava.Arch.&Mar.Eng.,Physical (Face to face),Mehmet Tantan,MEDC,Monday,09:30/12:29,1D5,30,2,-,-,-,-
6,21209,GEM 534,Gemi Etra.Vis.Ak.Hesa.Anal.,Physical (Face to face),Uğur Oral Ünal,MEDC,Thursday,13:30/16:29,ZD2,30,7,-,-,-,-
7,21214,GEM 540E,Applied Finite Element Methods,Physical (Face to face),Mustafa Erden Yıldızdağ,MEDC,Friday,09:00/11:59,2D16,30,5,-,-,-,-
8,21217,GEM 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Şakir Bal,MEDC,Wednesday,13:30/15:29,2D16,30,7,-,-,-,-
9,21221,GEM 601E,Energy Conversion Sysytems,Physical (Face to face),Murat Emre Demir,MEDC,Thursday,09:30/12:29,1D8,30,3,-,-,-,-
10,21226,GEM 606E,Effect of C.&Noiose on Prol.D.,Physical (Face to face),Emin Korkut,INB,Monday,09:30/12:29,A3,30,2,-,-,-,-
11,21231,GEM 612E,Advanced Topics in Naval Architecture and Marine Engineering,Physical (Face to face),"Uğur Oral Ünal , Selma Ergin",INB,Monday,13:30/16:29,A3,30,3,-,-,-,-
12,21237,GEM 615,Yüzen Yapıların Titreşimi,Physical (Face to face),Mustafa Erden Yıldızdağ,MEDC,Friday,14:30/17:29,2D14,30,4,-,-,-,-
13,21240,GEM 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Şakir Bal,MEDC,Wednesday,15:30/17:29,2D14,30,3,-,-,-,-
14,21243,GEM DRT,Tez Çalışması,Physical (Face to face),Şakir Bal,-,-,-/-,-,200,12,-,-,-,-
15,21245,GEM YET,Yeterlik Aşaması,Physical (Face to face),Şakir Bal,-,-,-/-,-,200,2,-,-,-,-
16,21248,GEM YLT,Tez Çalışması,Physical (Face to face),Şakir Bal,-,-,-/-,-,200,8,-,-,-,-
