,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21142,GEO 506E,Analytical Photogrammetry,Physical (Face to face),Hande Demirel,INB,Tuesday,08:30/11:29,--,50,19,-,-,-,-
1,21145,GEO 511,Bilgi Teknolojileri ve CBS,Physical (Face to face),Serdar Bilgi,INB,Monday,14:30/17:29,--,50,15,-,-,-,-
2,21146,GEO 512E,Satellite Positioning Techn.,Physical (Face to face),Hasan Hakan Yavaşoğlu,INB,Monday,08:30/11:29,--,50,26,-,-,-,-
3,21148,GEO 524E,Land Management,Physical (Face to face),Tahsin Yomralıoğlu,INB,Thursday,09:30/12:29,--,20,7,-,-,-,-
4,21152,GEO 528E,Open Sour.Geoinfor.Sci.&Techn.,Physical (Face to face),Ahmet Özgür Doğru,INB,Tuesday,13:30/16:29,B203,20,7,-,-,-,-
5,21154,GEO 532,Kon.Baz.Sis.&Mobil Har.Ya.Te.,Physical (Face to face),Ramazan Alper Kuçak,INB,Wednesday,12:30/15:29,B102,20,9,-,-,-,-
6,21157,GEO 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Çiğdem Göksel,INB,Monday,12:30/14:29,--,30,11,-,-,-,-
7,21159,GEO 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Rahmi Nurhan Çelik,INB,Wednesday,08:30/11:29,--,20,5,-,-,-,-
8,21161,GEO 602,CBS & Uzaktan Alg.İle Afet Yön,Physical (Face to face),"Şinasi Kaya , Himmet Karaman",INB,Wednesday,12:30/15:29,--,30,13,-,-,-,-
9,21164,GEO 603,Coğrafi Bilg.Sis.Görselleştirm,Physical (Face to face),Nesibe Necla Uluğtekin,INB,Tuesday,13:30/16:29,--,20,8,-,-,-,-
10,21166,GEO 618,Yakın Resim Fotogrametrisi ve Yapay Görüş,Physical (Face to face),Muhammed Enes Atik,INB,Thursday,12:30/15:29,--,10,4,-,-,-,-
11,21170,GEO 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Nebiye Musaoğlu,INB,Wednesday,15:30/17:29,--,25,4,-,-,-,-
12,25229,GEO 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Ayşe Filiz Sunar,INB,Wednesday,15:30/17:29,--,25,1,-,-,-,-
13,21173,GEO DRT,Tez Çalışması,Physical (Face to face),Turan Erden,-,-,-/-,-,200,29,-,-,-,-
14,21174,GEO YET,Yeterlik Aşaması,Physical (Face to face),Turan Erden,-,-,-/-,-,200,2,-,-,-,-
15,21175,GEO YLT,Tez Çalışması,Physical (Face to face),Turan Erden,-,-,-/-,-,200,35,-,-,-,-
