,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22126,GID 502,İstatistik,Physical (Face to face),Derya Kahveci Karıncaoğlu,KMB,Wednesday,12:30/15:29,D305,20,15,-,-,-,-
1,25270,GID 504,Gıda Fermantasyon Prosesleri,Physical (Face to face),Enes Dertli,KMB,Friday,14:00/16:59,--,10,2,-,-,-,-
2,22132,GID 525,Gıda.İle.Du.An.Tek.&Tüke.Test.,Physical (Face to face),Beraat Özçelik,KMB,Monday,09:30/12:29,D106,10,7,-,-,-,-
3,22135,GID 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Fatma Ebru Fıratlıgil,KMB,Thursday,13:30/15:29,D305,20,7,-,-,-,-
4,22136,GID 601E,Food Research&Experim.Design,Physical (Face to face),Gürbüz Güneş,KMB,Friday,09:30/12:29,D305,10,1,-,-,-,-
5,22142,GID 611,Fonksiyonel Gıdalar,Physical (Face to face),"Beraat Özçelik , Aslı Can Karaça , Merve Tomaş",KMB,Tuesday,13:30/16:29,D205,10,5,-,-,-,-
6,22144,GID 612,Mikotoksijenik Küfler,Physical (Face to face),"Hatice Funda Karbancıoğlu Güler , Hayrettin Özer",KMB,Monday,13:30/16:29,D106,10,3,-,-,-,-
7,22147,GID 618E,Food Bioactives,Physical (Face to face),"Esra Çapanoğlu Güven , Gülay Özkan",KMB,Tuesday,09:30/12:29,GZ101,10,5,-,-,-,-
8,22149,GID 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Fatma Ebru Fıratlıgil,KMB,Wednesday,15:30/17:29,D104,20,1,-,-,-,-
9,22152,GID DRT,Tez Çalışması,Physical (Face to face),Fatma Ebru Fıratlıgil,-,-,-/-,-,200,24,-,-,-,-
10,22151,GID YET,Yeterlik Aşaması,Physical (Face to face),Fatma Ebru Fıratlıgil,-,-,-/-,-,200,3,-,-,-,-
11,22153,GID YLT,Tez Çalışması,Physical (Face to face),Fatma Ebru Fıratlıgil,-,-,-/-,-,200,18,-,-,-,-
