,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22325,GIT 502,Konumsal Veri Analizleri,Physical (Face to face),Adalet Dervişoğlu,BEB,Monday,11:30/14:29,--,25,7,-,-,-,-
1,22327,GIT 504E,Advanced GIS,Physical (Face to face),Dursun Zafer Şeker,BEB,Monday,14:30/17:29,--,25,6,-,-,-,-
2,22336,GIT 509E,GIS Programming,Physical (Face to face),Ayda Fıtrıye Aktaş,BEB,Thursday,11:30/14:29,--,20,3,-,-,-,-
3,22329,GIT 510E,WebGIS Technology,Physical (Face to face),Caner Güney,BEB,Thursday,14:30/17:29,--,20,5,-,-,-,-
4,22332,GIT 516,Planlamada CBS,Physical (Face to face),"Fatih Terzi , Nesibe Necla Uluğtekin",BEB,Friday,08:30/11:29,--,20,6,-,-,-,-
5,22333,GIT 518,CBS ile Taşınmaz Değerlemesi,Physical (Face to face),Ezgi Sezgin,BEB,Tuesday,08:30/11:29,--,20,3,-,-,-,-
6,22330,GIT 520E,GIS for Disaster Manage.,Physical (Face to face),Himmet Karaman,BEB,Wednesday,08:30/11:29,--,20,10,-,-,-,-
7,22335,GIT 521E,GIS in Ecology,Physical (Face to face),Nebiye Musaoğlu,BEB,Tuesday,14:30/17:29,--,20,6,-,-,-,-
8,22337,GIT 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Dursun Zafer Şeker,BEB,Monday,12:30/14:29,--,20,2,-,-,-,-
9,22354,GIT 606E,Temporal GIS,Physical (Face to face),Uğur Algancı,INB,Tuesday,14:30/17:29,B304,20,4,-,-,-,-
10,22356,GIT 608E,Project Strategies in GIS,Physical (Face to face),Dursun Zafer Şeker,BEB,Wednesday,08:30/11:29,--,20,3,-,-,-,-
11,22359,GIT 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Nesibe Necla Uluğtekin,BEB,Wednesday,15:30/17:29,--,20,1,-,-,-,-
12,22361,GIT 801E,Introduction to Geomatics,Physical (Face to face),Bihter Erol,BEB,Thursday,08:30/11:29,--,20,4,-,-,-,-
13,22362,GIT DRT,Tez Çalışması,Physical (Face to face),Dursun Zafer Şeker,-,-,-/-,-,200,6,-,-,-,-
14,22364,GIT YET,Yeterlik Aşaması,Physical (Face to face),Dursun Zafer Şeker,-,-,-/-,-,200,2,-,-,-,-
15,22365,GIT YLT,Tez Çalışması,Physical (Face to face),Dursun Zafer Şeker,-,-,-/-,-,200,17,-,-,-,-
