,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23466,HSK 501E,Water Resources Systems,Physical (Face to face),Mehmet Özger,HLB,Tuesday,12:30/15:29,--,20,13,-,-,-,-
1,25077,HSK 503E,Advanced Fluid Mechanics,Physical (Face to face),Veysel Şadan Özgür Kırca,HLB,Wednesday,12:30/15:29,--,20,4,-,-,-,-
2,23468,HSK 508,Kuraklık ve Taşkın Hidrolojisi,Physical (Face to face),İsmail Dabanlı,HLB,Wednesday,10:30/13:29,--,20,1,-,-,-,-
3,23470,HSK 525E,Computational Hydraulics,Physical (Face to face),Mehmet Özger,HLB,Monday,12:30/15:29,--,20,13,-,-,-,-
4,23480,HSK 526,Su Mühendis.Olası.&İstat.,Physical (Face to face),Yavuz Selim Güçlü,HLB,Thursday,09:30/12:29,--,20,9,-,-,-,-
5,23482,HSK 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Mehmet Melih Koşucu,HLB,Monday,10:30/12:29,--,20,8,-,-,-,-
6,25177,HSK 606E,Soft Computational Methods,Physical (Face to face),Cihan Bayındır,HLB,Thursday,13:30/16:29,--,20,1,-,-,-,-
7,23486,HSK 615E,Adv.Top.Hydr.&Water Res.Eng.,Physical (Face to face),Cihan Bayındır,HLB,Wednesday,09:30/12:29,--,20,1,-,-,-,-
8,23491,HSK 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Mehmet Melih Koşucu,HLB,Wednesday,15:30/17:29,--,20,2,-,-,-,-
9,23497,HSK DRT,Tez Çalışması,Physical (Face to face),Yavuz Selim Güçlü,-,-,-/-,-,200,10,-,-,-,-
10,23501,HSK YET,Yeterlik Aşaması,Physical (Face to face),Yavuz Selim Güçlü,-,-,-/-,-,200,2,-,-,-,-
11,23495,HSK YLT,Tez Çalışması,Physical (Face to face),Yavuz Selim Güçlü,-,-,-/-,-,200,9,-,-,-,-
