,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24822,IKE 502E,Microeconomics II,Physical (Face to face),Qian Li,ISB,Monday,14:30/17:29,207,40,16,-,-,-,-
1,24821,IKE 504E,Macroeconomics II,Physical (Face to face),Mete Han Yağmur,ISB,Tuesday,14:30/17:29,109,40,17,-,-,-,-
2,24823,IKE 506E,Research Meth.in Economics II,Physical (Face to face),Osman Doğan,ISB,Tuesday,09:30/12:29,207,40,15,-,-,-,-
3,24926,IKE 507E,International Economics,Physical (Face to face),Serdar Altay,ISB,Monday,09:30/12:29,209,40,14,-,-,-,-
4,24825,IKE 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Osman Doğan,ISB,Wednesday,13:30/15:29,208,40,9,-,-,-,-
5,25269,IKE 598,Proje,Physical (Face to face),Shourjo Chakravorty,-,-,-/-,-,5,1,-,-,-,-
6,25588,IKE 598,Proje,Physical (Face to face),Mete Han Yağmur,-,-,-/-,-,5,1,-,-,-,-
7,24956,IKE 602E,Advanced Macroeconomics,Physical (Face to face),Şerife Genç İleri,ISB,Thursday,14:30/17:29,209,40,3,-,-,-,-
8,24828,IKE 604E,Advanced Econometrics,Physical (Face to face),Bülent Güloğlu,INB,Thursday,09:30/12:29,B304,40,3,-,-,-,-
9,24834,IKE DRT,Tez Çalışması,Physical (Face to face),Bülent Güloğlu,-,-,-/-,-,200,9,-,-,-,-
10,24836,IKE YET,Yeterlik Aşaması,Physical (Face to face),Bülent Güloğlu,-,-,-/-,-,200,1,-,-,-,-
11,24826,IKE YLT,Tez Çalışması,Physical (Face to face),Bülent Güloğlu,-,-,-/-,-,200,10,-,-,-,-
