,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22099,ISL 506,Matematiksel Programlama,Physical (Face to face),Ferhan Çebi,ISB,Tuesday,14:30/17:29,210,35,26,-,-,-,-
1,22101,ISL 532E,Financial Engineering,Physical (Face to face),Ahmet Göncü,MSB,Wednesday,09:30/12:29,B02,30,17,-,-,-,-
2,22104,ISL 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Deniz Tunçalp,ISB,Wednesday,13:30/15:29,202,30,21,-,-,-,-
3,22107,ISL 602E,Research Methods II,Physical (Face to face),Tolga Kaya,MSB,Tuesday,14:30/17:29,210,20,9,-,-,-,-
4,22113,ISL 611E,Sustainability Management,Physical (Face to face),Hatice Camgöz Akdağ,MSB,Tuesday,09:30/12:29,B02,20,16,-,-,-,-
5,22115,ISL 612E,Applied Artificial Intelligence,Physical (Face to face),Osman Taylan,ISB,Thursday,09:30/12:29,208,20,6,-,-,-,-
6,22118,ISL 613E,Sustain.Innov.&Enterpreneur.,Physical (Face to face),Nihan Yıldırım,ISB,Monday,14:30/17:29,107,20,14,-,-,-,-
7,22120,ISL DRT,Tez Çalışması,Physical (Face to face),Tuncay Özcan,-,-,-/-,-,200,19,-,-,-,-
8,22122,ISL YET,Yeterlik Aşaması,Physical (Face to face),Tuncay Özcan,-,-,-/-,-,200,3,-,-,-,-
9,22123,ISL YLT,Tez Çalışması,Physical (Face to face),Tuncay Özcan,-,-,-/-,-,200,36,-,-,-,-
