,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21427,ISS 500E,Quantitative Decision Techniq.,Physical (Face to face),Ferhan Çebi,MSB,Monday,14:30/17:29,210,25,6,-,-,-,-
1,21428,ISS 501,Yöneticiler için İstatistik,Physical (Face to face),Suat Küçükçifçi,ISB,Wednesday,09:30/12:29,208,30,25,-,-,-,-
2,21429,ISS 502,Üretim Yönetimi,Physical (Face to face),Hür Bersam Sidal,ISB,Monday,09:30/12:29,202,40,27,-,-,-,-
3,21430,ISS 504E,Corporate Finance,Physical (Face to face),Oktay Taş,ISB,Tuesday,09:30/12:29,107,27,27,-,-,-,-
4,21431,ISS 507E,Managerial Economics,Physical (Face to face),Ahmet Atıl Aşıcı,ISB,Tuesday,14:30/17:29,208,20,13,-,-,-,-
5,21663,ISS 508E,Organizational Behavior,Physical (Face to face),"Salim Atay , Neşe Gülmez",ISB,Tuesday,14:30/17:29,206,20,15,-,-,-,-
6,21666,ISS 510,Stratejik Planlama ve Yönetim,Physical (Face to face),Fatma Küskü Akdoğan,ISB,Tuesday,09:30/12:29,202,20,11,-,-,-,-
7,21668,ISS 523E,Global Marketing,Physical (Face to face),Huriye Şebnem Burnaz,ISB,Tuesday,09:30/12:29,208,20,9,-,-,-,-
8,21670,ISS 532E,Integrated Marketing Communic.,Physical (Face to face),Elif Karaosmanoğlu,MSB,Tuesday,14:30/17:29,B13-B,20,17,-,-,-,-
9,21672,ISS 534E,Financial Markets&Instutions,Physical (Face to face),Kaya Tokmakçıoğlu,ISB,Thursday,09:30/12:29,202,20,4,-,-,-,-
10,21677,ISS 564E,Digital Marketing Management,Physical (Face to face),Adnan Veysel Ertemel,ISB,Monday,14:30/17:29,202,25,17,-,-,-,-
11,21679,ISS 565E,Green Economics and Green Economic Transformation,Physical (Face to face),Ahmet Atıl Aşıcı,ISB,Tuesday,09:30/12:29,209,20,13,-,-,-,-
12,21701,ISS 604E,Marketing Theory,Physical (Face to face),Huriye Şebnem Burnaz,ISB,Thursday,14:30/17:29,202,10,4,-,-,-,-
13,21703,ISS 606E,Organization Theory,Physical (Face to face),Mehmet Erçek,ISB,Wednesday,09:30/12:29,209,10,3,-,-,-,-
14,21705,ISS 607E,Spec.Topics in Organ.Behavior,Physical (Face to face),İdil Vedia Evcimen,ISB,Monday,09:30/12:29,206,10,3,-,-,-,-
15,21708,ISS 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Ayşe Aylin Bayar,ISB,Wednesday,15:30/17:29,202,20,4,-,-,-,-
16,21711,ISS DRT,Tez Çalışması,Physical (Face to face),Kaya Tokmakçıoğlu,-,-,-/-,-,200,18,-,-,-,-
17,21713,ISS YET,Yeterlik Aşaması,Physical (Face to face),Kaya Tokmakçıoğlu,-,-,-/-,-,200,6,-,-,-,-
18,21688,ISS YLT,Tez Çalışması,Physical (Face to face),Kaya Tokmakçıoğlu,-,-,-/-,-,200,22,-,-,-,-
