,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25033,JDM 507E,Dating Methods in Earth Scien.,Physical (Face to face),Remziye Akdoğan,AYBE,Thursday,13:30/16:29,--,20,1,-,-,-,-
1,25032,JDM 551E,Active Tectonics,Physical (Face to face),"Cengiz Yıldırım , Hüsnü Serdar Akyüz",AYBE,Wednesday,09:30/12:29,--,20,7,-,-,-,-
2,25035,JDM 558E,The Sea Floor,Physical (Face to face),Demet Biltekin,AYBE,Monday,09:30/12:29,--,20,1,-,-,-,-
3,25036,JDM 560E,Topics in Stratigraph.Paleont.,Physical (Face to face),Demet Biltekin,AYBE,Monday,13:30/16:29,--,20,1,-,-,-,-
4,25039,JDM 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Ömer Kamacı,AYBE,Wednesday,13:30/15:29,--,20,2,-,-,-,-
5,25040,JDM 605E,Clastic Depositional Environ.,Physical (Face to face),Alı Mohammadı,AYBE,Monday,09:30/12:29,--,20,3,-,-,-,-
6,25041,JDM 607E,Geodynamics of the Lithosphere,Physical (Face to face),Oğuz Hakan Göğüş,AYBE,Tuesday,13:30/16:29,--,20,3,-,-,-,-
7,25045,JDM 633E,Carbonates and Evaporites,Physical (Face to face),Alı Mohammadı,AYBE,Monday,13:30/16:29,--,20,2,-,-,-,-
8,25048,JDM DRT,Tez Çalışması,Physical (Face to face),Ömer Kamacı,-,-,-/-,-,200,9,-,-,-,-
9,25049,JDM YET,Yeterlik Aşaması,Physical (Face to face),Ömer Kamacı,-,-,-/-,-,200,3,-,-,-,-
10,25047,JDM YLT,Tez Çalışması,Physical (Face to face),Ömer Kamacı,-,-,-/-,-,200,5,-,-,-,-
