,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21370,JEO 559,Arazi Araş.&Ölçüm Teknikleri,Physical (Face to face),Yılmaz Mahmutoğlu,MDB,Thursday,14:30/17:29,--,20,6,-,-,-,-
1,21372,JEO 560,"Kaya Yapıları Mekaniği,T.vePr.",Physical (Face to face),Yılmaz Mahmutoğlu,MDB,Tuesday,14:30/17:29,--,20,2,-,-,-,-
2,21376,JEO 566,Jeoloji Müh.Bilgis.Des.Tasarım,Physical (Face to face),Ömer Ündül,MDB,Tuesday,09:00/11:59,--,15,1,-,-,-,-
3,21387,JEO 570,İleri Metamorfik Petroloji,Physical (Face to face),Şenel Özdamar,MDB,Tuesday,13:30/16:29,--,15,2,-,-,-,-
4,21388,JEO 572E,Advanced Igneous Petrology,Physical (Face to face),"Şafak Altunkaynak , Alp Ünal",MDB,Thursday,14:00/16:59,--,15,4,-,-,-,-
5,21390,JEO 580E,Clay Minerology,Physical (Face to face),Emin Çiftçi,MDB,Tuesday,09:00/11:59,--,20,6,-,-,-,-
6,21397,JEO 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Şaziye Özge Dinç Göğüş,MDB,Wednesday,15:30/17:29,--,10,4,-,-,-,-
7,21401,JEO 602E,Selected Topics in Econ. Jeo.,Physical (Face to face),"Amr Abdelnasser Alı Khalıl , Mustafa Kumral",MDB,Monday,09:30/12:29,--,15,3,-,-,-,-
8,21404,JEO 604E,Principles of Basin Analysis,Physical (Face to face),Kürşad Kadir Eriş,MDB,Tuesday,09:30/12:29,--,15,1,-,-,-,-
9,21406,JEO 616,İzotop Jeolojisi&Jeokronoloji,Physical (Face to face),"Mustafa Kumral , Hüseyin Kocatürk",MDB,Wednesday,09:30/12:29,--,15,2,-,-,-,-
10,21408,JEO 618,Radyoaktif Hammaddeler,Physical (Face to face),"Mustafa Kumral , Ali Tuğcan Ünlüer",MDB,Thursday,09:30/12:29,--,15,2,-,-,-,-
11,21410,JEO 624E,Ore Microscopy,Physical (Face to face),"Emin Çiftçi , Amr Abdelnasser Alı Khalıl",MDB,Monday,13:30/16:29,--,15,5,-,-,-,-
12,21421,JEO 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Yüksel Örgün Tutay,MDB,Wednesday,15:30/17:29,--,20,2,-,-,-,-
13,21424,JEO DRT,Tez Çalışması,Physical (Face to face),Zeynep Döner,-,-,-/-,-,200,10,-,-,-,-
14,21425,JEO YET,Yeterlik Aşaması,Physical (Face to face),Zeynep Döner,-,-,-/-,-,200,3,-,-,-,-
15,21426,JEO YLT,Tez Çalışması,Physical (Face to face),Zeynep Döner,-,-,-/-,-,200,10,-,-,-,-
