,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21326,JFM 504E,Advanced Differential Equat.,Physical (Face to face),Yasir Bashir,MDB,Tuesday,09:30/12:29,D106,15,12,-,-,-,-
1,21328,JFM 506,Gravite ve Manyetik Yorumlama,Physical (Face to face),Turgay İşseven,MDB,Monday,13:30/16:29,D106,10,1,-,-,-,-
2,21329,JFM 507E,Interpret. of Earthq. Seismo.,Physical (Face to face),Seda Yolsal Çevikbilen,MDB,Wednesday,09:30/12:29,D106,10,1,-,-,-,-
3,21330,JFM 510,Deniz Jeofiziği Metodları,Physical (Face to face),Caner İmren,MDB,Wednesday,09:30/12:29,--,10,5,-,-,-,-
4,21327,JFM 515E,General.Inver.Theory in Geophy,Physical (Face to face),Gonca Örgülü,MDB,Monday,09:30/12:29,D106,15,12,-,-,-,-
5,21338,JFM 608E,Spec.Topics in Seismology,Physical (Face to face),Tuna Eken,MDB,Friday,09:30/12:29,315,10,1,-,-,-,-
6,21341,JFM 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Neslihan Ocakoğlu Gökaşan,MDB,Wednesday,15:30/17:29,D106,10,2,-,-,-,-
7,21344,JFM DRT,Tez Çalışması,Physical (Face to face),Neslihan Ocakoğlu Gökaşan,-,-,-/-,-,200,6,-,-,-,-
8,21347,JFM YET,Yeterlik Aşaması,Physical (Face to face),Neslihan Ocakoğlu Gökaşan,-,-,-/-,-,200,0,-,-,-,-
9,21352,JFM YLT,Tez Çalışması,Physical (Face to face),Neslihan Ocakoğlu Gökaşan,-,-,-/-,-,200,7,-,-,-,-
