,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21360,KIM 510E,Organic Chemistry of Polymers,Physical (Face to face),Nesrin Köken,FEB,Monday,09:30/12:29,--,20,6,-,-,-,-
1,21361,KIM 521,Kromatografi,Physical (Face to face),"Nevin Öztekin , Füsun Şeyma Kışkan",FEB,Wednesday,13:30/16:29,--,20,17,-,-,-,-
2,21362,KIM 524,Anorganik Reaksiyon Mekanizm.,Physical (Face to face),Hacer Yasemin Yenilmez,FEB,Tuesday,09:30/12:29,--,20,3,-,-,-,-
3,21363,KIM 529,Çevre Analitik Kimyası,Physical (Face to face),Gülçin Yılmaz,FEB,Wednesday,14:30/17:29,--,20,10,-,-,-,-
4,21364,KIM 530,Organik Yapı Analizi,Physical (Face to face),Abdullah Aydoğan,FEB,Friday,08:30/11:29,--,20,7,-,-,-,-
5,21365,KIM 532,Organik Reaksiyon Mekaniz. 2,Physical (Face to face),Ayşe Özdemir,FEB,Tuesday,08:30/11:29,--,20,15,-,-,-,-
6,21366,KIM 538,Yüzey Aktif Mad.Endüst.Uygula.,Physical (Face to face),Cüneyt Hüseyin Ünlü,FEB,Monday,13:30/16:29,--,20,3,-,-,-,-
7,21367,KIM 556E,The Princ.Gr.Theo&Chem.App.II,Physical (Face to face),Ozan Sanlı Şentürk,FEB,Wednesday,09:30/12:29,--,20,8,-,-,-,-
8,21369,KIM 560E,Validation&Accr.in Anal.Chem.,Physical (Face to face),Zeynep Kalaycıoğlu,FEB,Tuesday,13:30/16:29,--,20,14,-,-,-,-
9,21371,KIM 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Hacer Yasemin Yenilmez,FEB,Friday,08:30/10:29,--,20,8,-,-,-,-
10,21373,KIM 610,Lantanit ve Aktanit Kimyası,Physical (Face to face),Behice Şebnem Sesalan,FEB,Monday,09:30/12:29,--,20,3,-,-,-,-
11,21375,KIM 612E,Supramolecular Chemistry,Physical (Face to face),Şennur Özçelik,FEB,Thursday,13:30/16:29,--,20,7,-,-,-,-
12,21378,KIM 621E,Smart Polymeric Materials,Physical (Face to face),Barış Kışkan,FEB,Friday,14:30/17:29,--,22,20,-,-,-,-
13,21379,KIM 624E,Medicinal Natural Products,Physical (Face to face),Nesrin Köken,FEB,Tuesday,13:30/16:29,--,20,7,-,-,-,-
14,21380,KIM 625,Biyoorganik Kimya,Physical (Face to face),Onur Alptürk,FEB,Wednesday,09:30/12:29,--,20,4,-,-,-,-
15,21381,KIM 628,Polimerik İlaç Salım Sistem.,Physical (Face to face),Çağatay Altınkök,FEB,Tuesday,09:30/12:29,--,20,8,-,-,-,-
16,21382,KIM 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Abdullah Aydoğan,FEB,Wednesday,15:30/17:29,--,20,2,-,-,-,-
17,21383,KIM DRT,Tez Çalışması,Physical (Face to face),Okan Sirkecioğlu,-,-,-/-,-,200,33,-,-,-,-
18,21384,KIM YET,Yeterlik Aşaması,Physical (Face to face),Okan Sirkecioğlu,-,-,-/-,-,200,8,-,-,-,-
19,21385,KIM YLT,Tez Çalışması,Physical (Face to face),Okan Sirkecioğlu,-,-,-/-,-,200,33,-,-,-,-
