,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22628,KMM 504E,Carbon&Carbon Related Mater.,Physical (Face to face),Serdar Yaman,KMB,Monday,13:30/16:29,D304,11,11,-,-,-,-
1,22630,KMM 507E,Surface Chemistry,Physical (Face to face),Nil Özbek,KMB,Wednesday,09:30/12:29,D102,10,8,-,-,-,-
2,22641,KMM 510,Endüstriyel Kristalizasyon,Physical (Face to face),Fatma Elif Genceli Güner,KMB,Wednesday,09:30/12:29,D106,10,9,-,-,-,-
3,22644,KMM 512,Enzim Kinetiği,Physical (Face to face),Fatoş Yüksel Güvenilir,KMB,Tuesday,10:30/13:29,GZ102,10,6,-,-,-,-
4,22655,KMM 520E,Plantwide Process Control,Physical (Face to face),Devrim Barış Kaymak,KMB,Thursday,09:00/11:59,GZ101,10,7,-,-,-,-
5,22672,KMM 542E,Project Manag.in Pro.Eng.,Physical (Face to face),Alper Sarıoğlan,KMB,Friday,09:30/12:29,D106,10,11,-,-,-,-
6,22605,KMM 543E,Advanced Chemical Eng.Ther.,Physical (Face to face),Nil Özbek,KMB,Wednesday,13:30/16:29,D202,60,44,-,-,-,-
7,22611,KMM 544E,Advanced Chem.Reac.Engineering,Physical (Face to face),"Ahmet Sirkecioğlu , Alıreza Khataee",KMB,Tuesday,13:30/16:29,D304,60,41,-,-,-,-
8,22679,KMM 545,Kimya Mühendisli.Özel Konular,Physical (Face to face),Ayşenur Gül,KMB,Monday,09:30/12:29,GZ101,10,1,-,-,-,-
9,22681,KMM 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Hanzade Açma,KMB,Thursday,13:30/15:29,GZ103,40,12,-,-,-,-
10,22689,KMM DRT,Tez Çalışması,Physical (Face to face),Devrim Barış Kaymak,-,-,-/-,-,200,17,-,-,-,-
11,22690,KMM YET,Yeterlik Aşaması,Physical (Face to face),Devrim Barış Kaymak,-,-,-/-,-,200,1,-,-,-,-
12,22692,KMM YLT,Tez Çalışması,Physical (Face to face),Devrim Barış Kaymak,-,-,-/-,-,200,34,-,-,-,-
