,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24977,LEE 901,Akademik Girişimcilik,Physical (Face to face),Erhan Düzgün,undeclared,Wednesday,09:00/11:59,İlgili Bölümce Açıklanacak,0,11,-,-,-,-
1,24976,LEE 901E,Academic Entrepreneurship,Physical (Face to face),Zeynep Erden Bayazıt,FEB,Wednesday,09:30/12:29,D201,36,36,-,-,-,-
2,25288,LEE 903E,Project Cycle Management,Physical (Face to face),Veysel Şadan Özgür Kırca,HLB,Friday,14:30/17:29,--,38,36,-,-,-,-
3,21079,LEE 904,Yönlendirilmiş Çalışmalar,Physical (Face to face),Emre Akyüz,DZB-AKD,Tuesday,11:30/14:29,--,25,12,-,-,-,-
4,24979,LEE 904,Yönlendirilmiş Çalışmalar,Physical (Face to face),Emrah Tuncay Özdemir,MEDC,Thursday,13:30/16:29,2D13,24,24,-,-,-,-
5,24975,LEE 904E,Directed Studies,Physical (Face to face),Aliye Ahu Gülümser,MMB,Friday,09:30/12:29,3503,30,28,-,-,-,-
6,24980,LEE 904E,Directed Studies,Physical (Face to face),Nurullah Ardıç,FEB,Friday,14:30/17:29,B1_428,15,16,-,-,-,-
7,25092,LEE 904E,Directed Studies,Physical (Face to face),Recep Gül,MSB,Monday,12:30/15:29,--,15,12,-,-,-,-
8,25424,LEE 904E,Directed Studies,Physical (Face to face),Hacı Abdullah Taşdemir,undeclared,Monday,09:30/12:29,İlgili Bölümce Açıklanacak,0,6,-,-,-,-
9,24974,LEE 905,İnovas.Teknik.&Patent Süreç.,Physical (Face to face),Adnan Midilli,ENB,Wednesday,13:30/16:29,--,20,12,-,-,-,-
10,25171,LEE 905,İnovas.Teknik.&Patent Süreç.,Physical (Face to face),Tahir Soyugüzel,MEDC,Wednesday,13:30/16:29,1D8,20,19,-,-,-,-
11,24978,LEE 906,Yaratıcı Endüstriler için Blokzincir Teknolojisi,Physical (Face to face),Fatma Belma Oğul,MIAB,Tuesday,09:30/12:29,--,20,16,-,-,-,-
12,24973,LEE 907E,Ethics of Technology,Physical (Face to face),"Gürcan Koçan , Görkem Giray",FEB,Wednesday,09:30/12:29,B3_Z01-Z03,15,14,-,-,-,-
