,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25173,MAK 611,Deneysel Mekanik,Physical (Face to face),Süreyya Ergün Bozdağ,MKB,Monday,09:30/12:29,D359,20,4,-,-,-,-
1,21516,MAK 619E,Fracture Mechanics,Physical (Face to face),Emrecan Söylemez,MKB,Tuesday,09:30/12:29,D380A,30,5,-,-,-,-
2,25423,MAK 619E,Fracture Mechanics,Physical (Face to face),Emrecan Söylemez,undeclared,Thursday,13:30/16:29,İlgili Bölümce Açıklanacak,0,2,-,-,-,-
3,25430,MAK 633,Lineer Olmayan Titreşiler,Physical (Face to face),Akif Yavuz,undeclared,Friday,14:00/16:59,İlgili Bölümce Açıklanacak,0,13,-,-,-,-
4,21521,MAK 639E,Meshless Methods,Physical (Face to face),Ata Muğan,MKB,Thursday,09:30/12:29,D380A,30,9,-,-,-,-
5,21514,MAK 681E,Hydrodynamic Stability,Physical (Face to face),İlyas Bedii Özdemir,MOB,Wednesday,12:30/15:29,212,30,4,-,-,-,-
6,21519,MAK 682,Plak ve Kabuklar Teorisi,Physical (Face to face),Oğuz Altay,MKB,Tuesday,13:30/16:29,D381A,30,2,-,-,-,-
7,21510,MAK 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Abdussamet Subaşı,MKB,Wednesday,15:30/17:29,D381A,30,11,-,-,-,-
8,25433,MAK 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Abdussamet Subaşı,undeclared undeclared,Monday Monday,08:30/09:29 16:30/17:29,-- --,0,4,-,-,-,-
9,21523,MAK DRT,Tez Çalışması,Physical (Face to face),Vahit Mermertaş,-,-,-/-,-,200,57,-,-,-,-
10,21524,MAK YET,Yeterlik Aşaması,Physical (Face to face),Vahit Mermertaş,-,-,-/-,-,200,12,-,-,-,-
