,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22100,MAT 501E,Differential Equations I,Physical (Face to face),Ali Demirci,FEB,Tuesday,12:30/15:29,B1_226,20,5,-,-,-,-
1,22110,MAT 502E,Real Analysis I,Physical (Face to face),Nurettin Cenk Turgay,FEB,Thursday,10:30/13:29,B1_226,20,3,-,-,-,-
2,22103,MAT 505E,Numerical Analysis I,Physical (Face to face),Soner Aydınlık,FEB,Monday,10:30/13:29,B1_428,20,5,-,-,-,-
3,22114,MAT 506E,Numerical Linear Algebra,Physical (Face to face),Ahmet Duran,FEB,Wednesday,11:30/14:29,B1_428,20,14,-,-,-,-
4,22054,MAT 511E,Differential Geometry I,Physical (Face to face),Gülçin Çivi Bilir,FEB,Tuesday,09:30/12:29,B1_226,20,1,-,-,-,-
5,22117,MAT 544,Adi Türev.Dif.Den.İçin Say.An.,Physical (Face to face),Ahmet Kırış,FEB,Tuesday,13:30/16:29,B1_428,20,7,-,-,-,-
6,22058,MAT 557E,Numeri.Partial Diffe.Equa. I,Physical (Face to face),Murat Sarı,FEB,Thursday,14:30/17:29,B1_226,20,5,-,-,-,-
7,22062,MAT 559E,Applied Functional Analysis,Physical (Face to face),Nurhan Çolakoğlu,FEB,Wednesday,08:30/11:29,B1_226,20,7,-,-,-,-
8,22124,MAT 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),İlkay Bakırtaş Akar,FEB,Wednesday,14:30/16:29,D306,20,4,-,-,-,-
9,25378,MAT 605E,Topology,Physical (Face to face),Atabey Kaygun,FEB,Tuesday,13:30/16:29,--,20,2,-,-,-,-
10,22130,MAT 610E,Differential Geometry II,Physical (Face to face),Elif Canfes,FEB,Thursday,10:30/13:29,B1_428,20,1,-,-,-,-
11,22106,MAT 641E,Wave Motion I-Linear Waves,Physical (Face to face),Semra Ahmetolan,FEB,Monday,14:30/17:29,B1_226,20,2,-,-,-,-
12,22056,MAT 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Nalan Antar,FEB,Wednesday,15:30/17:29,B1_226,20,5,-,-,-,-
13,22138,MAT DRT,Tez Çalışması,Physical (Face to face),Füsun Zengin,-,-,-/-,-,200,17,-,-,-,-
14,22140,MAT YET,Yeterlik Aşaması,Physical (Face to face),Füsun Zengin,-,-,-/-,-,200,4,-,-,-,-
15,22133,MAT YLT,Tez Çalışması,Physical (Face to face),Füsun Zengin,-,-,-/-,-,200,5,-,-,-,-
