,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21823,MBG 512E,Microbial Metabolism,Physical (Face to face),Zeynep Petek Çakar,MOBGAM,Wednesday,09:30/12:29,--,30,17,-,-,-,-
1,25076,MBG 515E,Purificat.Tech.for Biomolecul.,Physical (Face to face),Hüseyin Enis Karahan,MOBGAM,Tuesday,13:30/16:29,101,30,19,-,-,-,-
2,21824,MBG 522E,Adv. Mol. Biotechnology,Physical (Face to face),"Abdulhalim Kılıç , Çiğdem Yılmaz Çolak",MOBGAM,Tuesday,09:30/12:29,--,30,15,-,-,-,-
3,21826,MBG 524E,Prok & Eokeryotiç Gene Exp.,Physical (Face to face),Aslı Kumbasar,MOBGAM,Monday,13:30/16:29,--,30,18,-,-,-,-
4,21827,MBG 535E,Laboratory Research,Physical (Face to face),"Gizem Dinler Doğanay , Nevin Gül Karagüler , Pelin Dilsiz Erim , Ayça Sayı Yazgan , Ceren Çıracı Muğan , Zeynep Petek Çakar , Çiğdem Yılmaz Çolak",MOBGAM,Thursday,16:30/19:29,--,30,16,-,-,-,-
5,22057,MBG 554E,Quantitative Methods for Biological Systems,Physical (Face to face),Halil Bayraktar,MOBGAM,Friday,09:30/12:29,--,30,9,-,-,-,-
6,22059,MBG 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Çiğdem Yılmaz Çolak,MOBGAM,Wednesday,15:30/17:29,--,30,21,-,-,-,-
7,22060,MBG 616,Prote.Yapı.&Dina.Bilg.Day.Met.,Physical (Face to face),Bülent Balta,MOBGAM,Thursday,09:30/12:29,--,30,5,-,-,-,-
8,22061,MBG 622E,Microbial Genetics,Physical (Face to face),Ayten Karataş,MOBGAM,Thursday,13:30/16:29,--,30,5,-,-,-,-
9,22063,MBG 630E,Protein Engineering,Physical (Face to face),Merve Öztuğ Kılınç,MOBGAM,Friday,09:30/12:29,--,30,8,-,-,-,-
10,22064,MBG 632E,Guided Research,Physical (Face to face),Gizem Dinler Doğanay,MOBGAM,Tuesday,16:30/19:29,--,30,1,-,-,-,-
11,22065,MBG 643E,Adv.Top.in Mole.Bio.-Gen.&Bio.,Physical (Face to face),Gizem Dinler Doğanay,MOBGAM,Monday,09:30/12:29,--,30,24,-,-,-,-
12,22066,MBG 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Aslı Kumbasar,MOBGAM,Wednesday,15:30/17:29,--,30,3,-,-,-,-
13,22069,MBG DRT,Tez Çalışması,Physical (Face to face),Çiğdem Yılmaz Çolak,-,-,-/-,-,200,11,-,-,-,-
14,22072,MBG YET,Yeterlik Aşaması,Physical (Face to face),Çiğdem Yılmaz Çolak,-,-,-/-,-,200,6,-,-,-,-
15,22073,MBG YLT,Tez Çalışması,Physical (Face to face),Çiğdem Yılmaz Çolak,-,-,-/-,-,200,46,-,-,-,-
