,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22237,MBL 512,Mimari Tasarımda Üretken Sis.,Physical (Face to face),Begüm Hamzaoğlu,MMB,Tuesday,13:30/16:29,131,22,22,-,-,-,-
1,22235,MBL 514E,Digital Archite.Design Studio,Physical (Face to face),"Meryem Birgül Çolakoğlu , Sevil Yazıcı",MMB,Monday,09:30/12:29,BIM1,22,23,-,-,-,-
2,22240,MBL 531E,Computer Program. in Archit.,Physical (Face to face),Mıchael Stefan Bıttermann,MMB,Thursday,09:30/12:29,BIM1,20,18,-,-,-,-
3,22239,MBL 537E,Architectural Design Futures,Physical (Face to face),İmdat As,MMB,Thursday,09:30/12:29,119A,15,6,-,-,-,-
4,22236,MBL 540E,Animation in Architec.Design,Physical (Face to face),Hakan Tong,MMB,Monday,13:30/16:29,BIM1,25,25,-,-,-,-
5,22242,MBL 549E,Special Top.in Arch.Des.Comp.,Physical (Face to face),Can Uzun,MMB,Thursday,13:30/16:29,--,15,15,-,-,-,-
6,22248,MBL 559E,Machine Learn.for Arch.Design,Physical (Face to face),Orkan Zeynel Güzelci,MMB,Friday,14:00/16:59,BIM1,17,17,-,-,-,-
7,22238,MBL 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),"Mine Özkar Kabakçıoğlu , Ethem Gürer , Derya Güleç Özer",MMB,Wednesday,13:30/15:29,134,15,5,-,-,-,-
8,22228,MBL 601,Mimari Tasarım. Evrimsel Yakla,Physical (Face to face),Ethem Gürer,MMB,Thursday,13:30/16:29,131,9,9,-,-,-,-
9,22223,MBL 606E,Comp.Theo&Models in Arc.Design,Physical (Face to face),Mine Özkar Kabakçıoğlu,MMB,Wednesday,09:30/12:29,131,8,3,-,-,-,-
10,22227,MBL 608E,Visual-Spatial Cognition,Physical (Face to face),Elif Sezen Yağmur Kilimci,MMB,Thursday,09:30/12:29,134,8,4,-,-,-,-
11,22224,MBL 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),"Leman Figen Gül , Ahmet Gün",MMB,Wednesday,15:30/17:29,131,8,4,-,-,-,-
12,22230,MBL DRT,Tez Çalışması,Physical (Face to face),Leman Figen Gül,-,-,-/-,-,200,40,-,-,-,-
13,22232,MBL YET,Yeterlik Aşaması,Physical (Face to face),Leman Figen Gül,-,-,-/-,-,200,8,-,-,-,-
14,22233,MBL YLT,Tez Çalışması,Physical (Face to face),Leman Figen Gül,-,-,-/-,-,200,31,-,-,-,-
