,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21272,MBM 502E,Phsysics of Solids,Physical (Face to face),Kübra Onbaşlı,KMB,Thursday,10:30/13:29,D106,30,9,-,-,-,-
1,21273,MBM 504,Malzemelerin Mekanik Özel.,Physical (Face to face),"Hüseyin Çimenoğlu , Murat Baydoğan",KMB,Thursday,14:30/17:29,D102,70,66,-,-,-,-
2,25471,MBM 504,Malzemelerin Mekanik Özel.,Virtual (Online),"Murat Baydoğan , Faiz Muhaffel",Online/Çevrimiçi,Tuesday,18:00/20:59,--,0,7,-,-,-,-
3,25496,MBM 504,Malzemelerin Mekanik Özel.,Physical (Face to face),Faiz Muhaffel,undeclared,Monday,09:00/11:59,--,0,9,-,-,-,-
4,25498,MBM 505E,Speci.Topi.in Mate.Sci.&Eng.,Physical (Face to face),Berna Morova,undeclared,Thursday,16:00/18:59,--,0,9,-,-,-,-
5,21274,MBM 507,Polimer Kimyası,Physical (Face to face),Fatma Seniha Güner,KMB,Monday,14:00/16:59,D203,30,8,-,-,-,-
6,25384,MBM 513E,Cicular Economy and Advanced Polymer Recycling Technologies,Physical (Face to face),Yonca Alkan Göksu,KMB,Tuesday,10:30/13:29,D102,30,4,-,-,-,-
7,21276,MBM 514,Biyomalzemeler,Physical (Face to face),Gültekin Göller,KMB,Monday,09:30/12:29,D302,30,7,-,-,-,-
8,21277,MBM 515E,Modern Surface Modif.Tech.,Physical (Face to face),Muhammet Kürşat Kazmanlı,KMB,Thursday,14:30/17:29,GZ101,30,6,-,-,-,-
9,21279,MBM 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Yonca Alkan Göksu,KMB,Wednesday,15:30/17:29,D102,30,8,-,-,-,-
10,21281,MBM 604E,Design of Experiments,Physical (Face to face),Özgül Keleş,KMB,Wednesday,08:30/11:29,D203,30,12,-,-,-,-
11,21285,MBM 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Erçin Çağan Duran,KMB,Wednesday,15:30/17:29,D203,30,1,-,-,-,-
12,21287,MBM DRT,Tez Çalışması,Physical (Face to face),Duygu Ağaoğulları,-,-,-/-,-,200,9,-,-,-,-
13,21289,MBM YET,Yeterlik Aşaması,Physical (Face to face),Duygu Ağaoğulları,-,-,-/-,-,200,5,-,-,-,-
14,21290,MBM YLT,Tez Çalışması,Physical (Face to face),Duygu Ağaoğulları,-,-,-/-,-,200,22,-,-,-,-
