,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23017,MDP 604E,Compositon Project 2,Physical (Face to face),Emmanouıl Ekmektsoglou,MIAB,Tuesday,14:30/17:29,--,40,2,-,-,-,-
1,23024,MDP 604E,Compositon Project 2,Physical (Face to face),Reuben De Lautour,MIAB,Tuesday,14:30/17:29,--,40,1,-,-,-,-
2,23029,MDP 606E,Composition Project 4,Physical (Face to face),Reuben De Lautour,MIAB,Friday,14:30/17:29,--,40,1,-,-,-,-
3,23033,MDP 606E,Composition Project 4,Physical (Face to face),Emmanouıl Ekmektsoglou,MIAB,Friday,14:30/17:29,--,40,1,-,-,-,-
4,23038,MDP 610E,Recital 2,Physical (Face to face),Cem Önertürk,MIAB,Monday,08:30/11:29,--,40,1,-,-,-,-
5,23054,MDP 612E,Recital 4,Physical (Face to face),Jerfi Aji,MIAB,Tuesday,11:30/14:29,--,40,1,-,-,-,-
6,23058,MDP 614E,Individual Research Top.Musc 2,Physical (Face to face),Reuben De Lautour,MIAB,Tuesday,08:30/11:29,--,40,1,-,-,-,-
7,23064,MDP 629E,Advan.Electronic Music Compo.,Physical (Face to face),Reuben De Lautour,MIAB,Monday,11:30/14:29,--,40,1,-,-,-,-
8,23066,MDP 633E,Advanced Chamber Music 3,Physical (Face to face),Yelda Özgen Öztürk,MIAB,Thursday,14:30/17:29,--,40,2,-,-,-,-
9,23071,MDP 636E,Advanced Mixing,Physical (Face to face),Taylan Özdemir,MIAB,Tuesday,14:30/17:29,--,40,2,-,-,-,-
10,23093,MDP 655E,Individ.Res.Topics in Music-3,Physical (Face to face),Emine Şirin Özgün Tanır,MIAB,Thursday,11:30/14:29,--,40,1,-,-,-,-
11,23105,MDP 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Emine Şirin Özgün Tanır,MIAB,Wednesday,15:30/17:29,--,40,1,-,-,-,-
12,23139,MDP DRT,Tez Çalışması,Physical (Face to face),Jerfi Aji,-,-,-/-,-,200,18,-,-,-,-
13,23146,MDP YET,Yeterlik Aşaması,Physical (Face to face),Jerfi Aji,-,-,-/-,-,200,6,-,-,-,-
