,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21586,MIA 501E,Engineering Mathematics,Physical (Face to face),Hakan Öksüzoğlu,MKB,Friday,14:30/17:29,D368A,70,70,-,-,-,-
1,21588,MIA 502E,Num.Meth.In Fluid Flow&Heat T,Physical (Face to face),"Hasan Güneş , Sertaç Çadırcı",MKB,Friday,09:30/12:29,D368B,50,35,-,-,-,-
2,25416,MIA 503E,Advanced Fluid Dynamics,Physical (Face to face),Hasan Güneş,undeclared,Tuesday,13:30/16:29,İlgili Bölümce Açıklanacak,0,7,-,-,-,-
3,25491,MIA 503E,Advanced Fluid Dynamics,Physical (Face to face),Hasan Güneş,undeclared,Tuesday,09:00/11:59,--,0,4,-,-,-,-
4,25030,MIA 504,İleri Isı ve Kütle Geçişi,Physical (Face to face),İsmail Yalçın Uralcan,MKB,Wednesday,09:30/12:29,D359,40,27,-,-,-,-
5,25417,MIA 504E,Advanced Heat&Mass Transfer,Physical (Face to face),İsmail Yalçın Uralcan,undeclared,Monday,13:30/16:29,İlgili Bölümce Açıklanacak,0,5,-,-,-,-
6,25484,MIA 504E,Advanced Heat&Mass Transfer,Physical (Face to face),İsmail Yalçın Uralcan,undeclared,Monday,09:00/11:59,--,0,5,-,-,-,-
7,21593,MIA 506,Isı Işınımı,Physical (Face to face),Ersin Sayar,MKB,Monday,13:30/16:29,D359,30,13,-,-,-,-
8,25031,MIA 507,Isı Akışkanda Özel Konular,Physical (Face to face),Abdussamet Subaşı,MKB,Wednesday,12:30/15:29,D359,40,11,-,-,-,-
9,25419,MIA 507E,Special Topics in Heat Fluid,Physical (Face to face),Abdussamet Subaşı,undeclared,Tuesday,09:30/12:29,İlgili Bölümce Açıklanacak,0,5,-,-,-,-
10,25418,MIA 509,Isı-Akış Olaylarında Den. Yönt,Physical (Face to face),Bayram Şahin,undeclared,Friday,09:30/12:29,İlgili Bölümce Açıklanacak,0,9,-,-,-,-
11,25492,MIA 515,Isı İletimi,Physical (Face to face),Sertaç Çadırcı,undeclared,Tuesday,13:00/15:59,--,0,4,-,-,-,-
12,21596,MIA 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Ali İhsan Koca,MKB,Wednesday,13:30/15:29,D378,30,31,-,-,-,-
13,25420,MIA 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Abdussamet Subaşı,undeclared,Wednesday,17:30/19:29,--,0,14,-,-,-,-
14,21598,MIA YLT,Tez Çalışması,Physical (Face to face),Abdussamet Subaşı,-,-,-/-,-,200,53,-,-,-,-
