,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21749,MIT 510,20.Yüzyıl Türkiye Mimarlığı,Physical (Face to face),"Zeynep Kuban Tokgöz , Özlem Özcan",MMB,Tuesday,14:30/17:29,123B,15,7,-,-,-,-
1,21767,MIT 512E,Ancient Architecture - Ancient Cities,Physical (Face to face),"Zeynep Kuban Tokgöz , Bilge Ar , Umut Almaç , Görkem Günay",MMB,Wednesday,10:30/13:29,3505,12,9,-,-,-,-
2,21734,MIT 518E,Readings on Hist. of Arch. II,Physical (Face to face),"Mehmet Murat Gül , Vesile Gül Cephanecigil , Mıyukı Aokı Gırardellı",MMB,Wednesday,12:30/15:29,123B,10,2,-,-,-,-
3,21744,MIT 520,Mimarlık Tarihinde Alan Araş.,Physical (Face to face),"Aygül Ağır , Nejat Turgut Saner",MMB,Friday,14:30/17:29,123A,10,4,-,-,-,-
4,21769,MIT 523E,Special Topics in Archit.Hist.,Physical (Face to face),Bilge Ar,MMB,Monday,13:30/16:29,131,10,2,-,-,-,-
5,21745,MIT 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Bilge Ar,MMB,Wednesday,13:30/15:29,136B,10,4,-,-,-,-
6,21776,MIT 607,Mimar Sinan ve Osmanlı Kültürü,Physical (Face to face),Aras Neftçi,MMB,Tuesday,09:30/12:29,D380,10,3,-,-,-,-
7,21781,MIT 617E,Advanced Topics in Architectural History,Physical (Face to face),Mıyukı Aokı Gırardellı,MMB,Thursday,13:30/16:29,123A,10,7,-,-,-,-
8,21770,MIT 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Mıyukı Aokı Gırardellı,MMB,Wednesday,15:30/17:29,--,10,3,-,-,-,-
9,21786,MIT DRT,Tez Çalışması,Physical (Face to face),Vesile Gül Cephanecigil,-,-,-/-,-,200,27,-,-,-,-
10,21787,MIT YET,Yeterlik Aşaması,Physical (Face to face),Vesile Gül Cephanecigil,-,-,-/-,-,200,3,-,-,-,-
11,21788,MIT YLT,Tez Çalışması,Physical (Face to face),Vesile Gül Cephanecigil,-,-,-/-,-,200,7,-,-,-,-
