,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25421,MKC 501E,Engineering Mathematics,Physical (Face to face),Hacı Abdullah Taşdemir,undeclared,Thursday,09:30/12:29,İlgili Bölümce Açıklanacak,0,33,-,-,-,-
1,25649,MKC 501E,Engineering Mathematics,Physical (Face to face),Hacı Abdullah Taşdemir,undeclared,Thursday,16:30/19:29,İlgili Bölümce Açıklanacak,0,12,-,-,-,-
2,21601,MKC 516,Kompozit Malzemelerin Mekaniği,Physical (Face to face),Ekrem Tüfekci,MKB,Thursday,09:30/12:29,D361B,40,28,-,-,-,-
3,25488,MKC 517E,Special Topi.in Solid Mechan.,Physical (Face to face),Alaeddin Burak İrez,undeclared,Thursday,09:00/11:59,--,0,5,-,-,-,-
4,21605,MKC 523,Katı Cisim Mekaniği.Temel.,Physical (Face to face),Mesut Kırca,MKB,Monday,13:30/16:29,D361B,40,35,-,-,-,-
5,25489,MKC 523E,Foundations of Solid Mechanics,Physical (Face to face),Emrecan Söylemez,undeclared,Thursday,17:00/19:59,--,0,23,-,-,-,-
6,21609,MKC 524,Sürekli Ortamlar Mek. Giriş,Physical (Face to face),Mehmet Salih Dokuz,MKB,Tuesday,13:30/16:29,D361B,30,9,-,-,-,-
7,21606,MKC 525E,Finite Element Analys.in Engin,Physical (Face to face),Ata Muğan,MKB,Monday,09:30/12:29,D355,50,38,-,-,-,-
8,25422,MKC 525E,Finite Element Analys.in Engin,Physical (Face to face),Şafak Yılmaz,undeclared,Wednesday,09:30/12:29,İlgili Bölümce Açıklanacak,0,14,-,-,-,-
9,25483,MKC 525E,Finite Element Analys.in Engin,Physical (Face to face),Şafak Yılmaz,undeclared,Wednesday,13:00/15:59,--,0,20,-,-,-,-
10,25485,MKC 596E,"Scientific Research, Ethic and Seminar",Physical (Face to face),Hacı Abdullah Taşdemir,undeclared,Monday,17:00/18:59,--,0,23,-,-,-,-
11,21612,MKC YLT,Tez Çalışması,Physical (Face to face),Emin Sünbüloğlu,-,-,-/-,-,200,71,-,-,-,-
