,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21804,MKM 506E,Modelling&Control of Mech.Sys.,Physical (Face to face),Onur Keskin,MKB,Thursday,09:30/12:29,R354,50,35,-,-,-,-
1,21809,MKM 510E,Design&App.of Ind.Elec.Systems,Physical (Face to face),Yücel Aydın,EEB,Monday,09:30/12:29,5206,30,4,-,-,-,-
2,21812,MKM 511,Mekatronik Mühendis.Özel Kon.,Physical (Face to face),Abdülkadir Ünal,EEB,Monday,13:30/16:29,Z1,30,10,-,-,-,-
3,21806,MKM 512,Mekatronik Sistem Tasarımı,Physical (Face to face),Volkan Sezer,EEB,Tuesday,09:30/12:29,5203,40,22,-,-,-,-
4,21808,MKM 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Gülay Öke Günel,EEB,Friday,14:30/16:29,5206,20,11,-,-,-,-
5,21815,MKM 610E,Soft Robotics,Physical (Face to face),Merve Acer Kalafat,MKB,Wednesday,12:30/15:29,D376,20,9,-,-,-,-
6,21992,MKM 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Zeki Yağız Bayraktaroğlu,MKB,Wednesday,15:30/17:29,--,30,3,-,-,-,-
7,21820,MKM DRT,Tez Çalışması,Physical (Face to face),Merve Acer Kalafat,-,-,-/-,-,200,12,-,-,-,-
8,21821,MKM YET,Yeterlik Aşaması,Physical (Face to face),Merve Acer Kalafat,-,-,-/-,-,200,3,-,-,-,-
9,21819,MKM YLT,Tez Çalışması,Physical (Face to face),Merve Acer Kalafat,-,-,-/-,-,200,27,-,-,-,-
