,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21615,MMI 566,İleri İmalat Yöntemleri,Physical (Face to face),Turgut Gülmez,MKB,Friday,09:30/12:29,D353,30,19,-,-,-,-
1,25486,MMI 566,İleri İmalat Yöntemleri,Physical (Face to face),Turgut Gülmez,undeclared,Monday,13:00/15:59,--,0,8,-,-,-,-
2,21617,MMI 568E,Comp.Integrated Manufacturing,Physical (Face to face),Ramazan Murat Tabanlı,MKB,Wednesday,09:30/12:29,D351,30,24,-,-,-,-
3,21618,MMI 570,Hasar Analizi,Physical (Face to face),Ali Gökşenli,MKB,Tuesday,09:30/12:29,D360,30,16,-,-,-,-
4,21620,MMI 572,Kaynak Mühendisliği,Physical (Face to face),Murat Tosun,MKB,Tuesday,13:30/16:29,D353,30,14,-,-,-,-
5,25432,MMI 575E,Plastisite Teorisi&Uygulama.,Physical (Face to face),Raşid Ahmed Yıldız,undeclared,Wednesday,12:30/15:29,İlgili Bölümce Açıklanacak,0,8,-,-,-,-
6,25431,MMI 581E,Special Top.in Mater.&Manu.,Physical (Face to face),Fahrettin Öztürk,undeclared,Thursday,09:30/12:29,İlgili Bölümce Açıklanacak,0,5,-,-,-,-
7,25490,MMI 581E,Special Top.in Mater.&Manu.,Physical (Face to face),Metin Kayıtmazbatır,undeclared,Thursday,13:00/15:59,--,0,2,-,-,-,-
8,21622,MMI 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Metin Kayıtmazbatır,MKB,Wednesday,13:30/15:29,D357,34,33,-,-,-,-
9,21624,MMI YLT,Tez Çalışması,Physical (Face to face),Ali Gökşenli,-,-,-/-,-,200,12,-,-,-,-
