,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24248,MTO 502E,Advanced Synoptic Meteorology,Physical (Face to face),"Bahtiyar Efe , Şeyda Tilev",MEDC,Tuesday,13:30/16:29,2D17,25,24,-,-,-,-
1,24245,MTO 504,Atmosferde Işınım Geçişi,Physical (Face to face),"Hatice Sema Topçu , Deniz Demirhan",MEDC,Monday,13:30/16:29,2D17,25,21,-,-,-,-
2,24243,MTO 575,İklim Risk Yönetimi,Physical (Face to face),Mikdat Kadıoğlu,MEDC,Monday,09:30/12:29,2D15,20,12,-,-,-,-
3,24250,MTO 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Barış Önol,MEDC,Wednesday,11:30/13:29,1D7,20,6,-,-,-,-
4,24258,MTO 602E,Atmospheric Convection,Physical (Face to face),Zafer Aslan,MEDC,Friday,09:30/12:29,2D15,20,3,-,-,-,-
5,24256,MTO 604E,Nonlinear Time Series Analysis,Physical (Face to face),Kasım Koçak,MEDC,Thursday,13:30/16:29,2D16,20,7,-,-,-,-
6,24247,MTO 606,İleri Hava Kirliliği Meteorol.,Physical (Face to face),Hüseyin Toros,MEDC,Tuesday,09:30/12:29,2D16,20,10,-,-,-,-
7,24251,MTO 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Barış Önol,MEDC,Wednesday,15:30/17:29,2D15,20,3,-,-,-,-
8,24263,MTO DRT,Tez Çalışması,Physical (Face to face),Yurdanur Ünal,-,-,-/-,-,200,18,-,-,-,-
9,24265,MTO YET,Yeterlik Aşaması,Physical (Face to face),Yurdanur Ünal,-,-,-/-,-,200,3,-,-,-,-
10,24266,MTO YLT,Tez Çalışması,Physical (Face to face),Yurdanur Ünal,-,-,-/-,-,200,20,-,-,-,-
