,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22159,MTS 505E,Qualitative&Quant.Mthd.Archite,Physical (Face to face),"Dilek Yıldız Özkan , Göksenin İnalhan , Mıchael Stefan Bıttermann",MMB,Tuesday,13:30/16:29,307,40,35,-,-,-,-
1,22165,MTS 507E,Architecture in Context,Physical (Face to face),Bihter Almaç,MMB,Thursday,09:30/12:29,3506,15,14,-,-,-,-
2,22168,MTS 511E,Project I,Physical (Face to face),Ozan Önder Özener,MMB,Monday,13:30/16:29,134,5,1,-,-,-,-
3,22170,MTS 514,Mimarlık ve Ütopya,Physical (Face to face),"Sıdıka Aslıhan Şenel , Nizam Onur Sönmez",MMB,Monday,09:30/12:29,136B,28,28,-,-,-,-
4,22172,MTS 521,Çevresel Estetik,Physical (Face to face),Hakan Tüzün Şengün,MMB,Tuesday,09:30/12:29,131,20,20,-,-,-,-
5,22173,MTS 527E,Project II Dissertation Design,Physical (Face to face),Fatma Erkök,MMB,Wednesday,09:30/12:29,119A,40,23,-,-,-,-
6,22175,MTS 538,Mimarlıkta Tipomorfo. Çözüm.,Physical (Face to face),Tan Kamil Gürer,MMB,Friday,09:30/12:29,119A,15,10,-,-,-,-
7,22176,MTS 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Meltem Aksoy,MMB,Wednesday,13:30/15:29,131,40,2,-,-,-,-
8,22177,MTS 605,"Mimar.Tas.Kuram, Süreç&Dil İlş",Physical (Face to face),Nesip Ömer Erem,MMB,Monday,09:30/12:29,136A,10,4,-,-,-,-
9,22178,MTS 608,Mimarlık ve Bilim,Physical (Face to face),"Yüksel Demir , Oğuz Haşlakoğlu",MMB,Wednesday,12:30/15:29,119A,10,4,-,-,-,-
10,22179,MTS 621E,Special Topics in Archit.Des.,Physical (Face to face),Mehmet Emin Şalgamcıoğlu,MMB,Tuesday,09:30/12:29,3506,10,9,-,-,-,-
11,22181,MTS 625,"Mima.Tas.Mal.:Kuram,Ele.&Kült.",Physical (Face to face),Funda Uz,MMB,Thursday,09:30/12:29,131,15,15,-,-,-,-
12,22182,MTS 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Bihter Almaç,MMB,Wednesday,15:30/17:29,--,40,7,-,-,-,-
13,22184,MTS DRT,Tez Çalışması,Physical (Face to face),Sıdıka Aslıhan Şenel,-,-,-/-,-,200,57,-,-,-,-
14,22185,MTS YET,Yeterlik Aşaması,Physical (Face to face),Sıdıka Aslıhan Şenel,-,-,-/-,-,200,10,-,-,-,-
15,22183,MTS YLT,Tez Çalışması,Physical (Face to face),Sıdıka Aslıhan Şenel,-,-,-/-,-,200,38,-,-,-,-
