,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22768,MYE 5010E,History of Electronic Music,Physical (Face to face),"Emmanouıl Ekmektsoglou , Reuben De Lautour",MIAB,Thursday,14:30/17:29,--,40,6,-,-,-,-
1,22990,MYE 5012E,Electronic Music Composition,Physical (Face to face),Reuben De Lautour,MIAB,Thursday,08:30/11:29,--,40,1,-,-,-,-
2,23001,MYE 5013E,Audio Programming,Physical (Face to face),Ozan Sarıer,MIAB,Wednesday,14:30/17:29,--,40,4,-,-,-,-
3,23007,MYE 5022E,Hist.of Eu.Art Mus.1 (un.1720),Physical (Face to face),Paul Alister Whitehead,MIAB,Tuesday,14:30/17:29,--,40,4,-,-,-,-
4,23008,MYE 5032E,Psychology&Neurosci.of Music,Physical (Face to face),Jane Ellen Harrıson,MIAB,Wednesday,14:30/17:29,--,40,2,-,-,-,-
5,23012,MYE 5038E,Film Sound Analysis&Practice,Physical (Face to face),Taylan Özdemir,MIAB,Tuesday,11:30/14:29,--,40,1,-,-,-,-
6,23072,MYE 503E,Eurogenetic Music Theory,Physical (Face to face),Jerfi Aji,MIAB,Friday,14:30/17:29,--,40,2,-,-,-,-
7,23075,MYE 504E,Musics of the World,Physical (Face to face),Emine Şirin Özgün Tanır,MIAB,Monday,08:30/11:29,--,40,8,-,-,-,-
8,23076,MYE 507E,Foundation of Ethnomusicology,Physical (Face to face),Robert Olıver Beahrs,MIAB,Tuesday,11:30/14:29,--,40,1,-,-,-,-
9,23078,MYE 508E,Transcrip.&Analys.in Ethno-Mus,Physical (Face to face),Robert Olıver Beahrs,MIAB,Thursday,11:30/14:29,--,40,3,-,-,-,-
10,23080,MYE 5096E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Emine Şirin Özgün Tanır,MIAB,Wednesday,11:30/13:29,--,40,2,-,-,-,-
11,23082,MYE 527E,Independent Study 1,Physical (Face to face),Emine Şirin Özgün Tanır,MIAB,Tuesday,08:30/11:29,--,40,1,-,-,-,-
12,23086,MYE 527E,Independent Study 1,Physical (Face to face),Eray Altınbüken,MIAB,Wednesday,08:30/11:29,--,40,2,-,-,-,-
13,23088,MYE 535E,Improvisation 1,Physical (Face to face),Amy Terese Salsgiver,MIAB,Monday,11:30/14:29,--,40,1,-,-,-,-
14,23090,MYE 543E,Composition-Individual Inst.1,Physical (Face to face),Emmanouıl Ekmektsoglou,MIAB,Tuesday,08:30/11:29,--,40,1,-,-,-,-
15,23091,MYE 544E,Independent Study 2,Physical (Face to face),Paul Alister Whitehead,MIAB,Wednesday,08:30/11:29,--,40,1,-,-,-,-
16,23092,MYE 544E,Independent Study 2,Physical (Face to face),Oğuz Öz,MIAB,Wednesday,08:30/11:29,--,40,4,-,-,-,-
17,23096,MYE 545E,Composition-Individual Inst.3,Physical (Face to face),Amy Terese Salsgiver,MIAB,Tuesday,11:30/14:29,--,40,1,-,-,-,-
18,23099,MYE 549E,Advanced Orchestration,Physical (Face to face),Emmanouıl Ekmektsoglou,MIAB,Monday,14:30/17:29,--,40,2,-,-,-,-
19,23137,MYE 552E,Computer Music 1,Physical (Face to face),Sair Sinan Kestelli,MIAB,Monday,14:30/17:29,--,40,3,-,-,-,-
20,23141,MYE 561E,The Devel.of West.Mus.Style 1,Physical (Face to face),Paul Alister Whitehead,MIAB,Thursday,08:30/11:29,--,40,2,-,-,-,-
21,23144,MYE 563E,Composer Studies,Physical (Face to face),Jerfi Aji,MIAB,Friday,08:30/11:29,--,40,2,-,-,-,-
22,23148,MYE 567E,Legal Aspects of the Music Ind,Physical (Face to face),Yakup Dağhan Baydur,MIAB,Thursday,11:30/14:29,--,40,2,-,-,-,-
23,23151,MYE 569E,Music Marketing&Promotion,Physical (Face to face),Hakan Kurşun,MIAB,Thursday,14:30/17:29,--,40,1,-,-,-,-
24,23156,MYE 573E,Multi Track Recording&Mixing,Physical (Face to face),Can Karadoğan,MIAB,Monday,11:30/14:29,--,40,1,-,-,-,-
25,23159,MYE 581E,Location Recording,Physical (Face to face),Gökhan Deneç,MIAB,Thursday,14:30/17:29,--,40,1,-,-,-,-
26,23165,MYE 589E,Mastering,Physical (Face to face),Ozan Sarıer,MIAB,Friday,08:30/11:29,--,40,4,-,-,-,-
27,23171,MYE YLT,Tez Çalışması,Physical (Face to face),Jerfi Aji,-,-,-/-,-,200,14,-,-,-,-
