,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,20925,MYL 5010E,History of Electronic Music,Physical (Face to face),"Emmanouıl Ekmektsoglou , Reuben De Lautour",MIAB,Monday,18:00/20:59,--,40,12,-,-,-,-
1,20956,MYL 5012E,Electronic Music Composition,Physical (Face to face),Reuben De Lautour,MIAB,Wednesday,18:00/20:59,--,40,4,-,-,-,-
2,20957,MYL 5013E,Audio Programming,Physical (Face to face),Ozan Sarıer,MIAB,Friday,18:00/20:59,--,40,5,-,-,-,-
3,20958,MYL 5018E,Songwriting,Physical (Face to face),Eray Altınbüken,MIAB,Monday,18:00/20:59,--,40,4,-,-,-,-
4,20959,MYL 5022E,Hist.of Eu.Art Mus.1 (un.1720),Physical (Face to face),Paul Alister Whitehead,MIAB,Tuesday,18:00/20:59,--,40,13,-,-,-,-
5,20960,MYL 5032E,Psychology&Neurosci.of Music,Physical (Face to face),Emine Şirin Özgün Tanır,MIAB,Wednesday,21:00/23:59,--,40,3,-,-,-,-
6,20961,MYL 5036E,Secondary Inst.Indivi.Inst.1,Physical (Face to face),Amy Terese Salsgiver,MIAB,Tuesday,21:00/23:59,--,40,1,-,-,-,-
7,20962,MYL 5036E,Secondary Inst.Indivi.Inst.1,Physical (Face to face),Sıtkı Kandemir Basmacıoğlu,MIAB,Tuesday,21:00/23:59,--,40,2,-,-,-,-
8,20963,MYL 5038E,Film Sound Analysis&Practice,Physical (Face to face),Taylan Özdemir,MIAB,Monday,18:00/20:59,--,40,2,-,-,-,-
9,20964,MYL 503E,Eurogenetic Music Theory,Physical (Face to face),Jerfi Aji,MIAB,Thursday,18:00/20:59,--,40,12,-,-,-,-
10,20965,MYL 504E,Musics of the World,Physical (Face to face),Emine Şirin Özgün Tanır,MIAB,Wednesday,18:00/20:59,--,40,16,-,-,-,-
11,20966,MYL 507E,Foundation of Ethnomusicology,Physical (Face to face),Robert Olıver Beahrs,MIAB,Wednesday,18:00/20:59,--,40,1,-,-,-,-
12,20968,MYL 527E,Independent Study 1,Physical (Face to face),Mehmet Cevdet Erek,MIAB,Tuesday,18:00/20:59,--,40,1,-,-,-,-
13,20970,MYL 529E,Instrument Individual Inst.1,Physical (Face to face),Ali Cihat Aşkın,MIAB,Wednesday,18:00/20:59,--,40,1,-,-,-,-
14,20971,MYL 535E,Improvisation-1,Physical (Face to face),Amy Terese Salsgiver,MIAB,Saturday,09:30/12:29,--,40,3,-,-,-,-
15,20972,MYL 543E,Composition-Individual Inst.1,Physical (Face to face),Emmanouıl Ekmektsoglou,MIAB,Saturday,12:30/15:29,--,40,2,-,-,-,-
16,20974,MYL 543E,Composition-Individual Inst.1,Physical (Face to face),Reuben De Lautour,MIAB,Saturday,12:30/15:29,--,40,2,-,-,-,-
17,20975,MYL 544E,Independent Study 2,Physical (Face to face),Oğuz Öz,MIAB,Tuesday,21:00/23:59,--,40,3,-,-,-,-
18,25274,MYL 544E,Independent Study 2,Physical (Face to face),Yelda Özgen Öztürk,MIAB,Thursday,21:00/23:59,--,40,1,-,-,-,-
19,20976,MYL 545E,Composition-Individual Inst.3,Physical (Face to face),Emmanouıl Ekmektsoglou,MIAB,Thursday,21:00/23:59,--,40,1,-,-,-,-
20,20977,MYL 545E,Composition-Individual Inst.3,Physical (Face to face),-,-,-,-/-,-,0,0,-,-,-,-
21,20978,MYL 545E,Composition-Individual Inst.3,Physical (Face to face),Reuben De Lautour,MIAB,Thursday,21:00/23:59,--,40,1,-,-,-,-
22,20979,MYL 549E,Advanced Orchestration,Physical (Face to face),Emmanouıl Ekmektsoglou,MIAB,Friday,18:00/20:59,--,40,1,-,-,-,-
23,20981,MYL 552E,Computer Music 1,Physical (Face to face),Sair Sinan Kestelli,MIAB,Monday,21:00/23:59,--,40,1,-,-,-,-
24,20983,MYL 561E,The Devel.of West.Mus.Style 1,Physical (Face to face),Paul Alister Whitehead,MIAB,Thursday,18:00/20:59,--,40,1,-,-,-,-
25,20985,MYL 563E,Composer Studies,Physical (Face to face),Jerfi Aji,MIAB,Monday,18:00/20:59,--,40,1,-,-,-,-
26,20987,MYL 567E,Legal Aspects of the Music Ind,Physical (Face to face),Yakup Dağhan Baydur,MIAB,Saturday,12:30/15:29,--,40,1,-,-,-,-
27,20988,MYL 569E,Music Marketing&Promotion,Physical (Face to face),Hakan Kurşun,MIAB,Monday,18:00/20:59,--,40,5,-,-,-,-
28,20989,MYL 573E,Multi Track Recording&Mixing,Physical (Face to face),Can Karadoğan,MIAB,Wednesday,18:00/20:59,--,40,6,-,-,-,-
29,20991,MYL 581E,Location Recording,Physical (Face to face),Gökhan Deneç,MIAB,Tuesday,18:00/20:59,--,40,3,-,-,-,-
30,20992,MYL 586E,Current Influen.in Ethnomusico,Physical (Face to face),Robert Olıver Beahrs,MIAB,Friday,18:00/20:59,--,40,3,-,-,-,-
31,20994,MYL 589E,Mastering,Physical (Face to face),Ozan Sarıer,MIAB,Thursday,18:00/20:59,--,40,6,-,-,-,-
32,20995,MYL 591E,16th Century Counterpoint,Physical (Face to face),Paul Alister Whitehead,MIAB MIAB,Tuesday Friday,21:00/22:29 18:00/19:29,-- --,40,3,-,-,-,-
33,20998,MYL 595E,Introd.to Post Tonal Theory,Physical (Face to face),Ozan Baysal,MIAB,Monday,21:00/23:59,--,40,1,-,-,-,-
34,20999,MYL 596E,Film Scoring,Physical (Face to face),Eray Altınbüken,MIAB,Tuesday,18:00/20:59,--,40,4,-,-,-,-
35,21000,MYL 599E,Term Project,Physical (Face to face),Jerfi Aji,-,-,-/-,-,100,15,-,-,-,-
