,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22078,MZJ 501,Karşılaştır. Müzik Teorileri,Physical (Face to face),"Ozan Baysal , Gözde Çolakoğlu Sarı",TMB,Tuesday,09:30/12:29,--,20,7,-,-,-,-
1,22088,MZJ 503E,"Music, Culture, Creativity",Physical (Face to face),Fatma Belma Oğul,TMB,Wednesday,13:30/16:29,--,20,6,-,-,-,-
2,22079,MZJ 512,Müzik Felsefesi,Physical (Face to face),Yalçın Çetinkaya,TMB,Thursday,09:30/12:29,--,20,1,-,-,-,-
3,22091,MZJ 515E,Performance Theories,Physical (Face to face),Zeynep Gonca İncedere,TMB,Thursday,13:30/16:29,--,20,4,-,-,-,-
4,22092,MZJ 516E,Critical Appro.to Popul.Music,Physical (Face to face),Songül Karahasanoğlu,TMB,Wednesday,09:30/12:29,--,20,3,-,-,-,-
5,22080,MZJ 518,Alan Araştır.Güncel Tartışma.,Physical (Face to face),Burcu Yıldız Ataş,TMB,Thursday,13:30/16:29,--,20,2,-,-,-,-
6,22082,MZJ 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),"Eray Cömert , Atilla Coşkun Toksoy , Gözde Çolakoğlu Sarı",TMB,Wednesday,13:30/15:29,--,20,1,-,-,-,-
7,22084,MZJ 801,Müzik Teorisi,Physical (Face to face),Eray Altınbüken,TMB,Monday,09:30/12:29,--,20,2,-,-,-,-
8,22085,MZJ 803,Makam Teorisi,Physical (Face to face),Şirin Karadeniz,TMB,Friday,14:00/16:59,--,20,4,-,-,-,-
9,22086,MZJ 805,Müzik Tarihi,Physical (Face to face),Atilla Coşkun Toksoy,TMB,Thursday,13:30/16:29,--,20,4,-,-,-,-
10,22094,MZJ 807E,Research Methods in Music,Physical (Face to face),Şeyma Ersoy Çak,TMB,Thursday,09:30/12:29,--,20,4,-,-,-,-
11,22096,MZJ YLT,Tez Çalışması,Physical (Face to face),Eray Cömert,-,-,-/-,-,200,7,-,-,-,-
